amnt,income,dti,rate,state
25200.0,450000.0,12.56,16.99,FL
8000.0,57000.0,15.05,8.18,NJ
4000.0,80000.0,24.0,10.64,NY
8600.0,24000.0,26.19,17.86,VA
35000.0,115000.0,21.55,14.30,PA
35000.0,110000.0,14.46,21.98,WA
10800.0,70000.0,25.42,12.39,MS
8000.0,40000.0,20.96,12.69,NY
32200.0,78000.0,16.36,14.99,CA
12800.0,50844.0,28.42,22.99,FL
35000.0,125000.0,26.95,14.48,NJ
4000.0,35500.0,28.4,14.49,FL
15000.0,52000.0,17.98,10.99,AZ
7000.0,62000.0,17.09,14.99,PA
14000.0,115000.0,5.71,16.78,NJ
26000.0,68973.0,14.91,20.49,OH
30000.0,155000.0,15.93,8.18,IL
25000.0,95000.0,26.91,10.99,LA
15000.0,63624.0,14.18,16.20,CA
15000.0,41800.0,22.02,14.98,MD
30000.0,239000.0,6.1,15.61,NY
35000.0,80000.0,19.59,13.18,IL
6000.0,19200.0,5.69,7.14,WV
10000.0,58000.0,28.44,14.33,NY
6000.0,23000.0,24.27,14.47,OH
16000.0,98000.0,21.2,8.90,FL
18000.0,43000.0,18.7,13.99,VA
28000.0,120000.0,20.18,7.89,CA
7500.0,30000.0,28.2,7.89,MI
11500.0,59000.0,17.45,19.52,AZ
5000.0,79000.0,0.33,9.17,MI
16600.0,131587.0,18.06,7.49,MN
13800.0,55000.0,17.06,12.49,TX
15000.0,125000.0,15.19,18.49,CA
15000.0,168000.0,34.69,15.61,SC
16800.0,65000.0,5.58,15.88,VA
21000.0,75639.72,18.55,9.17,VT
16025.0,36500.0,18.25,13.98,DE
25000.0,96000.0,17.64,11.14,FL
12000.0,75000.0,28.8,12.99,CT
30000.0,300000.0,15.82,12.59,IL
10000.0,60000.0,18.16,22.70,HI
7500.0,69000.0,1.67,7.51,NY
15000.0,64000.0,26.76,10.15,CA
13350.0,70000.0,19.0,12.69,NY
12375.0,45000.0,11.73,13.11,TX
16800.0,149000.0,17.25,17.86,AR
35000.0,125000.0,14.37,27.31,SC
25000.0,75000.0,24.41,13.35,NY
25000.0,140000.0,7.13,8.90,CA
8400.0,50000.0,17.64,11.53,AZ
35000.0,180000.0,10.51,16.89,TX
4200.0,38000.0,17.81,10.49,TX
35000.0,125000.0,22.08,15.61,CA
18375.0,80000.0,14.51,17.57,FL
8400.0,51996.0,12.44,13.99,CA
10000.0,42000.0,5.77,9.99,OR
12800.0,40000.0,14.55,11.99,WI
25000.0,88000.0,10.15,21.48,CT
20000.0,53000.0,32.68,12.29,CA
15000.0,90000.0,21.82,6.03,MA
32000.0,112000.0,21.25,7.12,TX
20000.0,72000.0,32.43,16.78,TX
17625.0,55000.0,33.77,11.14,NC
23000.0,91440.0,14.59,6.54,MD
12000.0,35000.0,11.35,9.99,NY
2500.0,33000.0,22.76,15.61,IL
5600.0,42000.0,22.17,10.65,NY
