amnt,income,dti,rate,state
35000.0,125417.0,36.35,20.99,AK
20000.0,50000.0,20.69,15.88,AK
4800.0,66000.0,30.53,14.31,AK
2000.0,35000.0,23.39,13.33,AK
10000.0,60000.0,26.82,11.44,AK
3000.0,88977.0,23.17,18.85,AK
23000.0,80850.0,27.17,21.49,AK
16575.0,41628.19,33.29,21.67,AK
26375.0,60000.0,19.36,25.89,AK
8000.0,25000.0,13.54,11.55,AK
9175.0,30000.0,9.0,11.99,AK
16800.0,40000.0,26.13,27.31,AK
6325.0,30000.0,23.4,7.62,AK
2500.0,41000.0,14.52,14.99,AK
35000.0,125000.0,17.42,18.25,AK
13000.0,65000.0,34.84,12.85,AK
10000.0,40280.0,27.17,12.99,AK
14550.0,54995.0,16.56,7.89,AK
18000.0,68500.0,15.29,13.18,AK
18000.0,88675.0,25.38,10.16,AK
10000.0,35000.0,22.39,17.86,AK
10000.0,30000.0,11.2,12.29,AK
20000.0,98148.0,10.67,6.62,AK
7000.0,72304.0,39.84,18.25,AK
28000.0,110500.0,14.09,7.26,AK
15400.0,70000.0,33.29,18.99,AK
17500.0,70000.0,26.78,14.09,AK
24475.0,65000.0,21.18,20.20,AK
30350.0,69000.0,37.83,20.99,AK
29400.0,70000.0,37.3,18.25,AK
20000.0,60000.0,12.66,8.90,AK
8925.0,30000.0,17.0,24.50,AK
20000.0,122000.0,11.6,7.89,AK
10000.0,65000.0,19.81,9.17,AK
10000.0,42500.0,17.6,7.89,AK
35000.0,150000.0,29.76,18.24,AK
30000.0,180000.0,8.94,13.98,AK
12000.0,115000.0,19.61,21.48,AK
19475.0,47000.0,22.19,15.61,AK
25000.0,72000.0,7.33,10.99,AK
28000.0,275000.0,6.76,8.67,AK
7500.0,85000.0,10.87,14.30,AK
17500.0,168000.0,9.58,10.16,AK
5000.0,41000.0,37.04,10.15,AK
12000.0,30000.0,9.04,10.15,AK
9600.0,30912.0,17.16,11.53,AK
24000.0,120000.0,13.59,9.17,AK
18600.0,62000.0,11.94,27.31,AK
30550.0,70000.0,18.11,18.25,AK
25000.0,83000.0,37.75,13.18,AK
30000.0,225000.0,14.66,12.29,AK
15000.0,52000.0,24.32,9.17,AK
15000.0,100000.0,18.05,9.99,AK
28800.0,150000.0,28.93,14.99,AK
35000.0,72400.0,19.09,13.99,AK
24000.0,96000.0,11.41,18.25,AK
17000.0,71000.0,10.33,15.61,AK
14075.0,32000.0,35.88,12.29,AK
10000.0,43000.0,2.37,8.18,AK
29850.0,73000.0,21.17,20.99,AK
18000.0,90000.0,15.36,16.29,AK
12000.0,77000.0,10.94,13.98,AK
3050.0,34000.0,29.66,9.99,AK
24000.0,125000.0,19.46,8.90,AK
12000.0,42000.0,11.24,14.65,AK
22000.0,62738.0,6.48,6.24,AK
21000.0,100000.0,21.96,6.24,AK
21000.0,94500.0,12.17,8.67,AK
33600.0,102000.0,27.29,15.59,AK
15500.0,70000.0,18.7,18.75,AK
