amnt,income,dti,rate,state
24000.0,160000.0,15.77,6.03,AL
15400.0,33497.4,30.31,9.99,AL
18875.0,52736.68,17.37,17.57,AL
25000.0,56508.0,22.74,19.05,AL
10075.0,41000.0,19.5,12.69,AL
2800.0,70000.0,12.99,15.80,AL
18000.0,51000.0,20.64,14.48,AL
20150.0,55000.0,20.54,15.61,AL
10000.0,72452.0,17.13,11.44,AL
3600.0,65000.0,16.63,17.76,AL
16000.0,48119.0,26.34,13.99,AL
9200.0,80000.0,21.42,12.35,AL
9100.0,26000.0,25.44,15.61,AL
12000.0,60000.0,18.54,13.18,AL
20000.0,70000.0,29.61,18.25,AL
19000.0,67000.0,1.09,6.39,AL
11500.0,51000.0,16.02,16.59,AL
7200.0,56160.0,26.47,10.99,AL
30000.0,75000.0,30.16,11.48,AL
12000.0,55000.0,36.33,11.67,AL
10000.0,120000.0,7.86,17.99,AL
30000.0,72000.0,33.57,21.98,AL
20000.0,90400.0,12.62,17.57,AL
14400.0,48000.0,12.67,9.17,AL
24000.0,68000.0,27.07,12.85,AL
4800.0,38000.0,3.98,13.33,AL
17050.0,38000.0,15.82,12.99,AL
10000.0,42000.0,19.63,18.25,AL
10000.0,75000.0,12.57,13.99,AL
10000.0,56000.0,23.06,14.49,AL
16000.0,85000.0,24.32,6.24,AL
12000.0,83000.0,26.4,13.11,AL
5000.0,62500.0,13.32,11.36,AL
1800.0,17500.0,18.93,20.31,AL
14000.0,40000.0,35.16,13.33,AL
35000.0,102254.0,26.57,15.61,AL
11200.0,81700.0,13.23,12.59,AL
6850.0,19864.08,36.68,12.29,AL
10750.0,31516.92,24.07,17.57,AL
35000.0,121284.96,17.42,18.24,AL
18000.0,70000.0,14.95,17.86,AL
2000.0,25000.0,30.87,14.65,AL
9000.0,43680.0,13.6,7.90,AL
26450.0,58500.0,31.2,16.99,AL
16000.0,60500.0,23.77,16.99,AL
20000.0,130000.0,8.34,6.92,AL
20000.0,109000.0,30.44,14.98,AL
24500.0,70000.0,24.05,7.69,AL
8000.0,50000.0,20.81,5.93,AL
8000.0,67000.0,22.71,10.99,AL
20000.0,150000.0,24.45,16.29,AL
28775.0,85000.0,20.49,16.59,AL
6400.0,60000.0,9.28,14.09,AL
30000.0,145000.0,30.43,15.61,AL
7000.0,39000.0,32.74,13.05,AL
20000.0,82500.0,14.15,23.13,AL
17600.0,51362.4,18.18,12.99,AL
18675.0,52000.0,27.97,18.25,AL
7575.0,48000.0,28.28,16.29,AL
10000.0,40000.0,11.7,12.49,AL
2500.0,40000.0,12.06,13.99,AL
16000.0,40000.0,32.85,24.99,AL
20000.0,60000.0,32.82,22.15,AL
11200.0,130000.0,20.49,12.69,AL
4950.0,18000.0,21.13,14.09,AL
17625.0,52000.0,21.86,19.52,AL
21000.0,51000.0,16.4,12.99,AL
12000.0,48645.0,13.64,10.25,AL
15000.0,96000.0,6.36,8.67,AL
13800.0,85000.0,14.37,17.57,AL
20850.0,47400.0,25.42,16.55,AL
12800.0,116000.0,21.83,9.99,AL
10000.0,29000.0,21.23,14.65,AL
10800.0,60000.0,19.08,12.69,AL
16000.0,50000.0,27.34,13.68,AL
16800.0,70000.0,21.98,23.43,AL
5275.0,42000.0,16.46,17.86,AL
1500.0,28000.0,22.55,16.55,AL
15000.0,60000.0,5.3,10.16,AL
17000.0,66280.0,13.11,15.31,AL
8000.0,49596.0,28.33,14.49,AL
8400.0,90000.0,8.4,6.03,AL
20000.0,62500.0,19.49,18.25,AL
13100.0,63000.0,19.07,18.49,AL
9600.0,80316.0,18.09,11.44,AL
6275.0,47235.0,23.04,15.61,AL
10000.0,138000.0,18.52,7.62,AL
20000.0,60600.0,13.86,19.05,AL
18400.0,52000.0,30.95,19.24,AL
11850.0,35000.0,17.59,13.35,AL
10000.0,32000.0,17.59,12.29,AL
3500.0,28000.0,7.46,9.17,AL
17000.0,42000.0,27.16,14.65,AL
2000.0,30000.0,3.0,18.25,AL
21000.0,60000.0,31.2,15.80,AL
20000.0,74000.0,37.64,17.57,AL
20000.0,170000.0,10.52,9.99,AL
16000.0,100000.0,14.99,11.67,AL
8000.0,95000.0,7.67,12.69,AL
15000.0,72072.0,13.22,12.29,AL
35000.0,95000.0,17.9,22.99,AL
