amnt,income,dti,rate,state
16800.0,149000.0,17.25,17.86,AR
3250.0,28000.0,7.46,17.57,AR
9000.0,25000.0,16.95,21.99,AR
12500.0,56000.0,24.24,14.99,AR
1600.0,55000.0,17.46,13.99,AR
9800.0,34000.0,30.53,13.11,AR
6600.0,32000.0,34.55,16.24,AR
11050.0,32000.0,22.69,17.14,AR
6000.0,40000.0,17.59,10.99,AR
7600.0,20000.0,31.81,11.22,AR
6000.0,43200.0,6.58,12.87,AR
10000.0,170000.0,4.23,7.90,AR
2750.0,36000.0,20.4,12.69,AR
14000.0,98000.0,6.7,6.62,AR
25000.0,50000.0,35.53,13.67,AR
4800.0,38000.0,4.09,14.65,AR
21000.0,105687.5,13.07,15.27,AR
15000.0,51000.0,16.66,7.69,AR
5000.0,15000.0,9.6,25.89,AR
16000.0,64000.0,28.99,7.12,AR
16000.0,40000.0,30.28,11.99,AR
1000.0,28176.0,23.51,9.63,AR
32250.0,240000.0,18.89,15.61,AR
30800.0,80000.0,21.19,12.29,AR
12700.0,120000.0,0.68,18.25,AR
8000.0,85000.0,21.97,7.26,AR
15000.0,160000.0,9.92,6.89,AR
15000.0,71000.0,31.25,12.59,AR
33300.0,100000.0,18.66,24.70,AR
20000.0,130000.0,7.15,25.57,AR
4000.0,85000.0,14.58,19.20,AR
7000.0,28000.0,25.42,8.18,AR
18325.0,80000.0,20.81,12.12,AR
12275.0,105000.0,10.85,15.59,AR
15000.0,36180.0,39.9,13.33,AR
17775.0,77366.0,27.83,19.19,AR
11400.0,39659.0,6.22,13.33,AR
15000.0,50000.0,32.5,10.15,AR
4325.0,20000.0,14.23,17.57,AR
13775.0,61800.0,33.63,22.99,AR
11000.0,59000.0,10.64,13.99,AR
26000.0,65000.0,33.92,14.48,AR
21000.0,117719.0,22.06,8.18,AR
3200.0,31700.0,3.22,7.90,AR
25000.0,60000.0,19.52,10.99,AR
25000.0,63000.0,31.18,23.70,AR
20000.0,65000.0,33.83,7.89,AR
6000.0,30000.0,22.32,6.99,AR
10400.0,37000.0,9.57,13.99,AR
10000.0,24000.0,17.45,16.99,AR
18000.0,60000.0,17.78,15.31,AR
14825.0,58000.0,32.34,16.24,AR
7200.0,29340.8,35.66,15.61,AR
8175.0,95000.0,0.57,19.19,AR
15025.0,85000.0,19.71,18.25,AR
8100.0,39000.0,24.0,13.35,AR
10000.0,107000.0,18.2,12.49,AR
20800.0,89000.0,16.26,12.99,AR
9600.0,54000.0,13.11,13.11,AR
10700.0,38000.0,26.49,14.33,AR
18500.0,84200.0,33.02,17.86,AR
8725.0,29495.0,35.69,17.57,AR
