amnt,income,dti,rate,state
15000.0,52000.0,17.98,10.99,AZ
11500.0,59000.0,17.45,19.52,AZ
8400.0,50000.0,17.64,11.53,AZ
18000.0,49000.0,11.78,16.99,AZ
6250.0,30000.0,13.04,15.61,AZ
10000.0,50626.0,12.04,13.33,AZ
14525.0,68000.0,10.61,25.57,AZ
14250.0,38400.0,30.13,15.61,AZ
12000.0,65000.0,12.28,8.90,AZ
35000.0,85000.0,21.06,16.99,AZ
6500.0,45000.0,15.09,22.47,AZ
19200.0,65000.0,18.88,12.49,AZ
35000.0,180000.0,5.87,8.18,AZ
15000.0,37000.0,18.26,10.99,AZ
22000.0,76666.0,17.81,20.99,AZ
4125.0,15000.0,25.6,14.09,AZ
30000.0,116000.0,14.94,9.17,AZ
35000.0,82800.0,19.52,18.55,AZ
12300.0,33900.0,10.48,12.29,AZ
15500.0,75000.0,15.65,10.99,AZ
12800.0,65000.0,16.1,8.39,AZ
12000.0,95000.0,27.83,12.99,AZ
21000.0,149000.0,8.43,13.98,AZ
30000.0,79000.0,14.51,17.86,AZ
1200.0,39000.0,21.52,12.39,AZ
24000.0,90000.0,11.61,12.99,AZ
20000.0,55800.0,19.76,7.89,AZ
4000.0,47588.16,39.47,14.31,AZ
14375.0,62000.0,24.76,14.65,AZ
7125.0,60000.0,17.3,16.99,AZ
28000.0,185000.0,22.85,5.32,AZ
27000.0,60000.0,28.4,21.98,AZ
15000.0,55000.0,31.22,6.99,AZ
16000.0,50000.0,19.8,10.99,AZ
12350.0,50000.0,16.86,7.89,AZ
12000.0,35000.0,16.65,10.74,AZ
15000.0,85000.0,19.8,6.89,AZ
21700.0,72000.0,36.78,12.69,AZ
25000.0,58000.0,26.59,14.16,AZ
35000.0,80000.0,31.49,14.99,AZ
19000.0,38000.0,32.94,18.84,AZ
5000.0,33996.0,2.22,12.18,AZ
16750.0,51000.0,24.08,23.63,AZ
1600.0,30000.0,4.2,11.99,AZ
10000.0,54000.0,23.07,12.69,AZ
33600.0,120000.0,18.54,8.39,AZ
20000.0,60000.0,18.85,13.99,AZ
28000.0,85000.0,16.52,22.99,AZ
14425.0,52000.0,20.15,18.55,AZ
15000.0,50000.0,18.8,18.25,AZ
35000.0,250000.0,25.24,12.99,AZ
10500.0,65000.0,21.49,9.80,AZ
5000.0,85000.0,18.4,15.59,AZ
8000.0,46000.0,8.24,9.99,AZ
6000.0,35000.0,8.61,13.11,AZ
3000.0,35500.0,17.95,12.99,AZ
24000.0,66000.0,23.65,17.86,AZ
35000.0,120000.0,10.81,11.99,AZ
16000.0,160000.0,10.29,6.68,AZ
12000.0,80000.0,30.93,15.59,AZ
14025.0,140000.0,19.49,9.67,AZ
12500.0,70000.0,7.13,7.90,AZ
20000.0,111000.0,31.77,11.44,AZ
3500.0,120000.0,14.17,10.64,AZ
15000.0,49211.0,34.4,8.18,AZ
