amnt,income,dti,rate,state
32200.0,78000.0,16.36,14.99,CA
15000.0,63624.0,14.18,16.20,CA
28000.0,120000.0,20.18,7.89,CA
15000.0,125000.0,15.19,18.49,CA
15000.0,64000.0,26.76,10.15,CA
25000.0,140000.0,7.13,8.90,CA
35000.0,125000.0,22.08,15.61,CA
8400.0,51996.0,12.44,13.99,CA
20000.0,53000.0,32.68,12.29,CA
15000.0,50000.0,19.18,17.57,CA
3000.0,105000.0,7.27,13.11,CA
8000.0,44000.0,25.65,14.64,CA
6000.0,59000.0,4.65,7.12,CA
30000.0,95000.0,14.1,9.99,CA
20000.0,80000.0,32.49,11.22,CA
16500.0,50000.0,33.87,12.99,CA
8000.0,35000.0,18.86,10.99,CA
12250.0,40000.0,20.76,10.99,CA
21000.0,99000.0,16.67,13.66,CA
10000.0,63000.0,19.14,12.59,CA
20000.0,88000.0,7.53,14.65,CA
28000.0,235000.0,4.43,6.99,CA
22200.0,72000.0,33.08,16.49,CA
9000.0,27000.0,14.76,15.61,CA
11100.0,31782.4,13.06,14.09,CA
12000.0,33500.0,20.21,11.67,CA
6500.0,42000.0,7.0,11.71,CA
16000.0,70000.0,31.63,18.49,CA
20000.0,83000.0,14.99,8.38,CA
12800.0,52000.0,21.58,11.99,CA
12000.0,85000.0,3.35,6.24,CA
4375.0,11028.0,22.09,15.61,CA
35000.0,104000.0,24.53,17.57,CA
7200.0,39750.0,13.25,12.29,CA
5825.0,60000.0,11.7,16.55,CA
7200.0,41000.0,29.6,8.19,CA
35000.0,215000.0,8.29,14.79,CA
28000.0,138000.0,27.39,18.55,CA
20000.0,126000.0,22.32,12.49,CA
25000.0,75000.0,5.79,7.12,CA
10725.0,55000.0,26.95,17.86,CA
14000.0,69500.0,15.52,7.89,CA
20000.0,90000.0,4.87,18.99,CA
2500.0,68000.0,24.16,6.39,CA
8000.0,125000.0,34.12,13.99,CA
34400.0,108000.0,21.91,7.49,CA
5000.0,118000.0,11.07,6.03,CA
17000.0,72000.0,5.34,10.74,CA
11500.0,35000.0,15.43,14.09,CA
17100.0,113000.0,7.81,14.99,CA
20000.0,71000.0,3.43,8.39,CA
15000.0,75000.0,21.31,24.50,CA
14000.0,70000.0,13.49,7.26,CA
10000.0,75000.0,7.7,13.68,CA
10000.0,71136.0,5.67,21.99,CA
