amnt,income,dti,rate,state
12500.0,60000.0,24.02,16.29,CO
35000.0,115000.0,24.89,21.70,CO
23000.0,87000.0,27.71,10.99,CO
10850.0,32000.0,26.44,17.57,CO
20000.0,120000.0,9.15,7.89,CO
2800.0,12000.0,10.9,13.68,CO
18000.0,110000.0,27.73,13.99,CO
16500.0,45000.0,11.04,13.35,CO
5400.0,62000.0,12.74,17.57,CO
12000.0,70000.0,16.58,13.99,CO
9000.0,55000.0,3.64,14.65,CO
21000.0,197000.0,21.73,18.49,CO
25000.0,63800.0,14.78,11.36,CO
20000.0,65000.0,15.1,12.18,CO
35000.0,125000.0,13.98,20.50,CO
14225.0,69000.0,2.63,18.84,CO
12000.0,57000.0,17.87,18.20,CO
11000.0,40000.0,35.94,15.61,CO
16750.0,55000.0,16.65,15.22,CO
5950.0,62500.0,3.55,13.35,CO
30000.0,103000.0,6.11,7.69,CO
8000.0,35000.0,8.2,12.39,CO
16000.0,57000.0,5.12,12.99,CO
24000.0,60000.0,16.74,15.61,CO
25000.0,70000.0,11.14,15.20,CO
12000.0,88000.0,13.58,8.18,CO
10000.0,85000.0,17.31,6.39,CO
16000.0,69600.0,12.86,11.99,CO
5400.0,75000.0,18.02,13.68,CO
7200.0,127000.0,9.88,6.62,CO
15000.0,62000.0,37.26,12.69,CO
5000.0,68100.0,16.19,13.67,CO
24000.0,95000.0,18.32,10.49,CO
11200.0,28000.0,14.1,13.33,CO
10400.0,36000.0,19.23,15.61,CO
25000.0,70000.0,16.53,22.95,CO
25000.0,85000.0,20.19,13.98,CO
3500.0,45000.0,23.01,10.15,CO
6000.0,97563.0,12.63,6.03,CO
11825.0,55000.0,19.99,17.86,CO
8000.0,65000.0,3.32,15.80,CO
9000.0,31000.0,17.27,12.99,CO
18000.0,43000.0,32.54,9.99,CO
8000.0,45000.0,24.48,14.49,CO
17100.0,40000.0,19.62,18.55,CO
11200.0,110000.0,22.95,13.67,CO
5875.0,210000.0,5.23,14.99,CO
14400.0,48300.0,10.04,10.99,CO
24000.0,50000.0,22.01,12.29,CO
24000.0,129000.0,21.93,10.99,CO
35000.0,80169.0,15.9,16.99,CO
14125.0,60000.0,24.78,13.49,CO
12800.0,80000.0,14.49,9.76,CO
9000.0,50000.0,4.39,14.65,CO
15000.0,50000.0,10.78,7.26,CO
25000.0,80000.0,11.97,8.90,CO
11000.0,85000.0,14.11,18.92,CO
6000.0,43000.0,9.29,7.89,CO
18000.0,72000.0,21.67,15.61,CO
5850.0,65000.0,16.01,13.18,CO
12000.0,105500.0,14.22,10.16,CO
12600.0,120000.0,3.97,9.99,CO
11500.0,60000.0,22.38,13.11,CO
35000.0,100000.0,32.49,11.53,CO
1000.0,87000.0,17.27,8.18,CO
35000.0,85000.0,15.02,20.50,CO
10000.0,30000.0,21.72,18.25,CO
27575.0,62000.0,20.01,19.05,CO
18000.0,122000.0,20.18,9.99,CO
6050.0,56000.0,14.02,12.29,CO
18400.0,120000.0,23.91,10.64,CO
10800.0,42900.0,23.13,13.99,CO
7000.0,26000.0,32.65,14.64,CO
