amnt,income,dti,rate,state
12000.0,75000.0,28.8,12.99,CT
25000.0,88000.0,10.15,21.48,CT
13225.0,45000.0,25.68,12.49,CT
5800.0,50000.0,33.27,15.31,CT
15000.0,165000.0,5.89,6.89,CT
13500.0,64000.0,20.12,10.99,CT
12000.0,75000.0,9.17,11.44,CT
6225.0,60000.0,11.86,15.31,CT
10000.0,50000.0,27.8,13.65,CT
18000.0,100000.0,24.83,13.99,CT
30000.0,113000.0,10.09,16.29,CT
8800.0,75500.0,9.87,13.35,CT
28000.0,240000.0,8.26,7.90,CT
14500.0,49000.0,10.97,8.18,CT
15600.0,65000.0,16.73,12.69,CT
1600.0,78000.0,8.08,7.89,CT
18700.0,68000.0,22.59,9.49,CT
2000.0,53000.0,26.29,9.99,CT
3000.0,52000.0,10.62,18.49,CT
12850.0,84500.0,9.15,8.39,CT
32625.0,65460.0,31.55,15.99,CT
35000.0,150000.0,22.13,19.19,CT
10000.0,90000.0,14.74,17.86,CT
10400.0,30000.0,28.4,12.29,CT
30000.0,85000.0,4.96,20.62,CT
8000.0,66500.0,16.51,5.93,CT
12500.0,150000.0,10.16,7.69,CT
7200.0,48655.0,23.24,11.49,CT
9000.0,79000.0,8.89,12.35,CT
9000.0,33600.0,14.68,12.61,CT
24000.0,65000.0,15.02,11.44,CT
18000.0,80000.0,13.25,10.15,CT
9000.0,40000.0,19.12,19.05,CT
3600.0,23000.0,15.03,11.44,CT
10000.0,37500.0,18.08,9.17,CT
5800.0,60000.0,6.82,17.99,CT
2200.0,23000.0,2.56,11.14,CT
30000.0,102400.0,20.77,21.99,CT
20000.0,120000.0,5.77,9.17,CT
25000.0,110004.0,12.88,19.04,CT
20000.0,74000.0,23.43,22.45,CT
5100.0,17000.0,6.99,13.24,CT
24000.0,185000.0,12.56,8.90,CT
24000.0,96623.0,16.59,7.89,CT
12000.0,49350.0,19.53,8.67,CT
9250.0,110000.0,19.66,14.16,CT
7075.0,150000.0,2.26,13.99,CT
11325.0,69000.0,14.75,18.99,CT
24000.0,75000.0,10.82,8.90,CT
25000.0,150000.0,4.9,12.69,CT
15000.0,45000.0,22.26,9.49,CT
25000.0,70000.0,29.39,7.89,CT
35000.0,94000.0,22.59,15.80,CT
20000.0,120000.0,20.54,18.84,CT
5750.0,39270.4,22.4,10.64,CT
5000.0,35000.0,25.96,12.99,CT
13000.0,51000.0,19.79,14.65,CT
28100.0,62500.0,14.55,15.88,CT
18050.0,43000.0,34.86,18.25,CT
30000.0,135000.0,20.48,18.20,CT
8000.0,35000.0,23.46,10.49,CT
35000.0,146000.0,20.36,17.57,CT
12000.0,110000.0,14.26,15.59,CT
5250.0,72000.0,21.55,15.61,CT
4875.0,75000.0,9.44,17.57,CT
9600.0,42000.0,13.03,13.33,CT
35000.0,120000.0,15.48,19.19,CT
24000.0,80000.0,6.3,16.78,CT
12000.0,90000.0,23.28,10.64,CT
11000.0,92000.0,4.7,10.15,CT
33425.0,75000.0,22.45,15.80,CT
12875.0,56380.0,13.07,12.12,CT
2900.0,36000.0,8.67,17.86,CT
26000.0,78000.0,21.0,18.25,CT
12000.0,47000.0,20.74,12.29,CT
1200.0,13000.0,19.19,17.57,CT
11200.0,120000.0,6.54,13.99,CT
16000.0,57500.0,19.97,14.33,CT
15000.0,65000.0,20.09,6.89,CT
19200.0,55000.0,17.41,11.99,CT
15000.0,103000.0,8.89,14.47,CT
8000.0,48000.0,18.95,11.99,CT
1200.0,30000.0,11.12,19.05,CT
15000.0,120000.0,12.91,17.10,CT
24000.0,90000.0,13.39,7.90,CT
35000.0,100000.0,19.08,16.11,CT
10000.0,62000.0,16.21,18.24,CT
5000.0,48300.0,3.6,7.89,CT
15000.0,52000.0,13.85,13.99,CT
11200.0,81000.0,20.27,11.36,CT
5500.0,57460.0,20.66,6.89,CT
34875.0,72800.0,23.06,20.20,CT
16100.0,37044.0,21.41,12.12,CT
10000.0,225000.0,4.53,6.68,CT
11400.0,43000.0,24.42,19.05,CT
15000.0,55000.0,12.0,18.25,CT
21000.0,84012.0,25.52,13.35,CT
6000.0,40000.0,28.89,14.99,CT
7000.0,67000.0,13.16,8.67,CT
10000.0,45000.0,28.56,13.18,CT
4000.0,92000.0,1.47,9.99,CT
8000.0,130000.0,8.35,13.11,CT
