amnt,income,dti,rate,state
32000.0,78000.0,30.24,24.08,DC
9000.0,53000.0,12.93,20.50,DC
10500.0,57000.0,14.48,14.47,DC
17000.0,85000.0,16.09,9.99,DC
28000.0,90000.0,16.25,16.29,DC
12000.0,152000.0,18.98,8.19,DC
10500.0,101000.0,5.86,12.35,DC
7500.0,28500.0,11.49,14.16,DC
20000.0,84000.0,23.71,10.99,DC
35000.0,140000.0,6.36,22.99,DC
9000.0,51000.0,24.49,11.55,DC
21000.0,105211.0,17.63,11.99,DC
18500.0,87000.0,21.17,11.22,DC
21000.0,86000.0,21.72,7.89,DC
24000.0,87750.0,15.45,8.18,DC
35000.0,150000.0,20.06,13.98,DC
15000.0,113000.0,19.09,12.42,DC
20000.0,185027.0,17.32,13.11,DC
9000.0,73500.0,22.79,14.27,DC
9750.0,39000.0,14.28,18.25,DC
6500.0,70000.0,15.05,9.67,DC
18000.0,90000.0,13.73,7.12,DC
31450.0,83000.0,23.97,21.18,DC
7800.0,63000.0,16.88,6.03,DC
12000.0,72000.0,10.88,6.92,DC
5500.0,144000.0,3.58,19.13,DC
12000.0,102932.0,9.43,10.99,DC
24000.0,126314.0,23.65,14.31,DC
18000.0,109000.0,17.65,5.32,DC
7500.0,62000.0,23.96,11.99,DC
24000.0,112500.0,9.34,7.89,DC
30000.0,275000.0,5.4,10.15,DC
22000.0,114000.0,11.42,17.77,DC
17050.0,45000.0,19.2,20.99,DC
2000.0,93000.0,21.24,15.23,DC
1400.0,4888.0,17.68,12.84,DC
12125.0,83000.0,15.82,13.99,DC
12000.0,45000.0,6.97,12.12,DC
17850.0,49678.4,23.71,14.99,DC
1800.0,128000.0,13.1,8.38,DC
9625.0,81899.0,12.03,13.11,DC
3000.0,145000.0,4.83,8.18,DC
10000.0,90000.0,14.6,12.59,DC
12000.0,115000.0,8.44,7.89,DC
10000.0,43000.0,17.36,10.15,DC
9600.0,46592.0,15.61,9.49,DC
18000.0,72158.0,6.35,8.67,DC
3000.0,35000.0,9.88,16.55,DC
11000.0,82000.0,8.69,7.89,DC
20000.0,206000.0,10.66,6.03,DC
18000.0,125000.0,10.2,14.16,DC
31000.0,80000.0,10.57,9.17,DC
28000.0,110000.0,8.68,9.99,DC
25000.0,100000.0,5.95,11.14,DC
1200.0,102000.0,17.8,10.99,DC
20000.0,61368.15,18.65,15.10,DC
21000.0,125000.0,14.81,13.66,DC
8000.0,47500.0,11.04,11.53,DC
15000.0,88000.0,4.98,7.62,DC
2500.0,66000.0,21.74,12.99,DC
4800.0,12000.0,16.4,15.61,DC
5000.0,99300.0,11.25,13.33,DC
25000.0,169000.0,13.53,5.93,DC
6000.0,85000.0,7.28,10.00,DC
5000.0,63910.0,18.33,13.66,DC
2400.0,46000.0,18.78,9.91,DC
5000.0,27193.0,19.06,16.78,DC
35000.0,76000.0,9.73,20.99,DC
24000.0,58800.0,18.86,17.99,DC
35000.0,110000.0,14.97,13.99,DC
25000.0,90000.0,9.76,11.44,DC
8400.0,30000.0,18.96,19.99,DC
20000.0,90000.0,17.3,7.26,DC
35000.0,310000.0,7.09,9.49,DC
7200.0,112000.0,12.27,9.67,DC
13000.0,120000.0,11.01,6.39,DC
4000.0,60000.0,26.41,10.99,DC
12500.0,55000.0,6.85,9.49,DC
10000.0,60000.0,24.2,11.22,DC
20000.0,143000.0,21.61,6.89,DC
5000.0,82050.0,12.75,11.53,DC
20000.0,60000.0,25.22,16.99,DC
5000.0,97000.0,11.13,14.99,DC
10000.0,86348.0,8.34,12.39,DC
35000.0,148135.0,20.36,8.19,DC
10000.0,41000.0,15.81,13.65,DC
20575.0,49000.0,16.12,18.25,DC
3000.0,60389.0,2.03,7.12,DC
7200.0,88880.0,17.19,16.29,DC
5000.0,85000.0,13.83,9.17,DC
4000.0,42631.0,15.77,7.69,DC
8500.0,33000.0,9.11,8.90,DC
2325.0,42000.0,23.54,20.99,DC
35000.0,295000.0,27.09,12.29,DC
35000.0,106000.0,1.83,16.99,DC
14000.0,53600.0,8.08,9.99,DC
18550.0,117000.0,16.78,10.74,DC
16000.0,68000.0,11.24,20.50,DC
25000.0,160000.0,9.51,6.24,DC
15000.0,77534.0,5.53,16.24,DC
29675.0,76000.0,6.8,27.31,DC
4500.0,41000.0,1.52,13.98,DC
20000.0,95000.0,23.15,9.17,DC
23275.0,140000.0,21.8,9.99,DC
11800.0,55000.0,30.02,15.61,DC
35000.0,95976.0,25.29,18.25,DC
35000.0,155500.0,2.26,13.99,DC
10000.0,65847.0,5.43,9.17,DC
20000.0,95000.0,21.45,23.76,DC
15000.0,75000.0,11.61,10.15,DC
21600.0,70000.0,10.47,10.16,DC
10000.0,127400.0,8.07,5.32,DC
