amnt,income,dti,rate,state
16025.0,36500.0,18.25,13.98,DE
15000.0,97000.0,29.82,9.99,DE
14000.0,53000.0,18.25,20.99,DE
7500.0,42000.0,5.54,11.11,DE
8000.0,41000.0,19.79,13.99,DE
3600.0,12000.0,18.4,16.99,DE
3000.0,44400.0,20.51,15.28,DE
15000.0,65700.0,15.69,14.64,DE
35000.0,225000.0,12.29,12.99,DE
7000.0,65000.0,28.03,9.17,DE
16000.0,75500.0,19.35,17.88,DE
10000.0,115000.0,6.3,13.66,DE
8250.0,61000.0,15.54,18.24,DE
7200.0,25000.0,24.87,7.69,DE
10000.0,60000.0,5.5,5.32,DE
20000.0,85000.0,19.25,13.05,DE
3000.0,100000.0,26.5,13.18,DE
8000.0,70000.0,22.92,13.99,DE
32400.0,125000.0,10.97,20.49,DE
12000.0,98000.0,16.73,7.91,DE
12000.0,92000.0,25.8,11.99,DE
17800.0,90000.0,16.13,13.33,DE
5125.0,73000.0,7.09,20.99,DE
5400.0,16642.08,27.92,10.99,DE
11000.0,65000.0,26.01,12.12,DE
35000.0,98000.0,25.74,19.52,DE
3000.0,58000.0,12.27,17.57,DE
17600.0,96000.0,14.1,10.99,DE
16950.0,40770.0,7.53,13.11,DE
7000.0,70000.0,28.54,7.90,DE
5000.0,23160.0,30.88,9.17,DE
10000.0,75000.0,28.51,13.33,DE
18000.0,57000.0,11.09,5.32,DE
11500.0,35000.0,28.94,12.99,DE
4500.0,75000.0,20.03,9.49,DE
19000.0,75000.0,22.74,22.70,DE
10000.0,78000.0,15.82,10.99,DE
28000.0,100000.0,16.87,14.47,DE
25600.0,61000.0,25.65,24.08,DE
4800.0,35817.6,31.87,8.18,DE
12800.0,175000.0,16.76,10.49,DE
35000.0,105000.0,20.41,13.33,DE
7000.0,83000.0,21.96,13.99,DE
13175.0,33000.0,16.0,16.29,DE
15000.0,55000.0,29.28,14.99,DE
5000.0,97000.0,13.56,7.69,DE
3000.0,25000.0,14.16,14.74,DE
19000.0,63000.0,9.83,14.33,DE
10775.0,50000.0,27.96,21.99,DE
14500.0,40000.0,20.4,8.19,DE
13500.0,44300.0,20.15,14.33,DE
10400.0,61000.0,19.12,8.39,DE
21000.0,80000.0,17.25,12.29,DE
24000.0,72000.0,21.3,18.25,DE
4000.0,90000.0,26.88,14.30,DE
5000.0,45000.0,14.48,13.49,DE
7675.0,40000.0,7.26,17.99,DE
20000.0,92000.0,22.89,12.69,DE
15600.0,135000.0,2.66,12.99,DE
15075.0,46000.0,17.14,14.99,DE
35000.0,171500.0,10.36,10.99,DE
5000.0,62000.0,21.8,24.08,DE
7200.0,91000.0,33.05,9.17,DE
24000.0,60000.0,28.21,9.76,DE
15000.0,36000.0,19.53,10.15,DE
26500.0,70000.0,17.76,24.08,DE
13575.0,52000.0,32.06,20.99,DE
15000.0,41000.0,24.64,14.64,DE
10075.0,28000.0,38.13,23.99,DE
8000.0,35200.0,28.26,12.29,DE
6275.0,115000.0,1.97,14.49,DE
28000.0,160000.0,11.88,6.24,DE
20000.0,120000.0,8.23,11.44,DE
6000.0,85000.0,19.99,7.90,DE
2200.0,64500.0,19.62,11.53,DE
32400.0,89000.0,14.58,10.99,DE
12000.0,115000.0,32.19,7.89,DE
1500.0,38000.0,15.16,10.62,DE
12400.0,50000.0,10.59,15.61,DE
13150.0,40000.0,31.02,20.20,DE
18000.0,96000.0,20.34,12.39,DE
11000.0,45000.0,28.53,7.89,DE
16750.0,40000.0,24.78,14.64,DE
12000.0,46000.0,26.09,15.59,DE
25000.0,65000.0,17.36,12.69,DE
6000.0,46500.0,23.89,12.12,DE
8400.0,28000.0,14.62,7.12,DE
24200.0,55000.0,36.7,13.99,DE
10200.0,64000.0,19.4,10.15,DE
10000.0,45000.0,25.39,12.99,DE
24725.0,55000.0,27.14,21.67,DE
6000.0,51000.0,12.68,11.44,DE
11625.0,80000.0,0.75,22.99,DE
10625.0,39000.0,29.2,9.99,DE
20000.0,110000.0,14.42,9.17,DE
18000.0,50000.0,24.29,19.72,DE
26000.0,96000.0,20.17,12.69,DE
18000.0,44945.0,21.31,13.35,DE
