amnt,income,dti,rate,state
25200.0,450000.0,12.56,16.99,FL
12800.0,50844.0,28.42,22.99,FL
4000.0,35500.0,28.4,14.49,FL
16000.0,98000.0,21.2,8.90,FL
25000.0,96000.0,17.64,11.14,FL
18375.0,80000.0,14.51,17.57,FL
20000.0,120000.0,8.08,15.61,FL
15000.0,40000.0,5.88,12.39,FL
10000.0,42000.0,22.03,13.67,FL
16800.0,60000.0,18.48,14.99,FL
15000.0,68000.0,19.4,19.22,FL
15000.0,50000.0,3.89,13.98,FL
10850.0,40000.0,26.64,12.99,FL
6000.0,25000.0,6.91,13.33,FL
8000.0,126750.0,23.85,12.59,FL
12800.0,98000.0,18.06,7.89,FL
4000.0,41000.0,9.92,14.49,FL
6000.0,50000.0,13.76,14.30,FL
6000.0,70000.0,26.38,22.15,FL
20000.0,85000.0,27.25,15.22,FL
17925.0,41000.0,15.62,9.99,FL
24500.0,89000.0,7.75,6.03,FL
16800.0,93000.0,14.63,9.67,FL
25000.0,66000.0,2.77,6.24,FL
6525.0,19260.0,12.42,19.99,FL
20000.0,108600.0,18.71,13.33,FL
24000.0,69000.0,16.66,15.61,FL
12000.0,80000.0,19.42,16.20,FL
20000.0,85000.0,21.21,7.91,FL
24000.0,65000.0,14.2,5.32,FL
26375.0,60000.0,13.64,10.99,FL
6500.0,35000.0,29.53,13.33,FL
2600.0,39000.0,5.88,21.48,FL
7975.0,50000.0,26.84,13.98,FL
20000.0,130000.0,6.18,7.89,FL
8000.0,40000.0,13.65,13.11,FL
13000.0,40000.0,23.52,12.69,FL
11900.0,35000.0,37.72,18.49,FL
22400.0,73000.0,23.61,12.99,FL
4400.0,34400.0,28.79,23.99,FL
12000.0,40000.0,22.26,7.89,FL
15000.0,60000.0,21.48,14.09,FL
16000.0,62000.0,12.89,15.59,FL
12000.0,67000.0,3.62,11.67,FL
12000.0,45000.0,8.11,11.14,FL
35000.0,175000.0,17.2,15.61,FL
12000.0,50000.0,28.44,18.24,FL
5000.0,34000.0,14.68,14.99,FL
8000.0,52500.0,10.72,12.29,FL
10000.0,100000.0,10.4,7.89,FL
10000.0,70000.0,23.23,18.99,FL
11775.0,40000.0,28.98,12.99,FL
8000.0,40000.0,14.76,14.49,FL
11200.0,30000.0,30.92,14.09,FL
25000.0,67000.0,31.86,14.30,FL
16500.0,36800.0,12.43,16.29,FL
25000.0,102000.0,22.48,10.99,FL
6000.0,53222.0,12.42,13.18,FL
9975.0,48000.0,3.53,11.99,FL
28000.0,105000.0,14.7,15.61,FL
19575.0,44000.0,30.21,16.78,FL
16000.0,45000.0,30.75,13.99,FL
4475.0,51000.0,1.18,9.67,FL
5075.0,52800.0,16.05,16.24,FL
20000.0,55680.0,11.55,17.99,FL
9800.0,60000.0,14.14,9.17,FL
20000.0,45000.0,17.71,6.62,FL
21000.0,74000.0,25.56,8.18,FL
15000.0,45000.0,18.59,14.33,FL
11950.0,39000.0,23.63,19.52,FL
7000.0,30000.0,9.4,11.67,FL
25000.0,93000.0,13.55,7.89,FL
16800.0,73500.0,15.76,6.03,FL
12000.0,150000.0,28.38,13.99,FL
12000.0,120000.0,23.53,10.74,FL
10200.0,34000.0,34.27,18.54,FL
21000.0,136000.0,15.45,7.26,FL
17850.0,51000.0,16.09,14.30,FL
13000.0,40000.0,32.94,12.85,FL
19725.0,45000.0,8.05,18.84,FL
15000.0,61000.0,12.3,13.99,FL
4000.0,72000.0,20.95,7.62,FL
12000.0,55000.0,20.34,10.99,FL
5000.0,70000.0,24.04,9.99,FL
7000.0,25000.0,10.8,9.99,FL
21000.0,80000.0,17.76,13.98,FL
35000.0,175500.0,10.0,16.99,FL
5000.0,27000.0,17.33,5.42,FL
10000.0,50000.0,24.03,10.99,FL
27000.0,91000.0,23.33,10.49,FL
35000.0,250000.0,10.19,17.27,FL
5500.0,24158.8,21.16,6.03,FL
8000.0,30000.0,30.32,13.33,FL
3000.0,49000.0,30.79,17.57,FL
33600.0,136000.0,20.82,14.16,FL
15700.0,35000.0,12.07,12.49,FL
27000.0,120000.0,5.47,18.24,FL
13000.0,80000.0,12.99,9.17,FL
15000.0,60000.0,23.54,8.18,FL
9000.0,78000.0,10.8,6.62,FL
12000.0,52000.0,20.15,7.26,FL
4000.0,20000.0,15.91,13.67,FL
12000.0,33504.0,20.02,13.11,FL
24000.0,86000.0,31.98,16.55,FL
16700.0,57800.0,26.45,18.84,FL
1600.0,20000.0,36.79,14.31,FL
12000.0,45000.0,7.41,9.99,FL
6500.0,45000.0,12.5,10.99,FL
10000.0,65000.0,13.2,9.17,FL
7975.0,50000.0,23.86,18.92,FL
25200.0,105000.0,30.62,9.99,FL
15000.0,36000.0,12.77,8.18,FL
15000.0,43000.0,8.29,18.55,FL
9000.0,65000.0,20.01,18.49,FL
7500.0,50000.0,14.17,18.75,FL
6600.0,48000.0,26.75,8.39,FL
15000.0,45000.0,31.65,19.99,FL
16000.0,34425.6,14.78,20.99,FL
20000.0,200000.0,10.79,11.99,FL
18000.0,95000.0,18.43,17.57,FL
8875.0,45000.0,30.39,20.99,FL
12225.0,35162.0,24.49,9.99,FL
13000.0,60000.0,18.54,6.03,FL
30000.0,118000.0,11.53,9.67,FL
16000.0,46500.0,23.05,13.66,FL
16000.0,180000.0,29.59,8.38,FL
17000.0,60000.0,21.94,21.00,FL
16000.0,75000.0,25.01,6.62,FL
10000.0,40000.0,10.95,11.99,FL
15000.0,147000.0,5.39,9.76,FL
7000.0,48000.0,7.35,11.53,FL
7000.0,21840.0,8.52,8.18,FL
6000.0,40000.0,23.1,12.69,FL
12000.0,59000.0,11.29,8.90,FL
17000.0,67000.0,15.24,10.99,FL
21650.0,79000.0,26.67,14.33,FL
20000.0,100000.0,26.39,19.22,FL
10000.0,40000.0,13.44,12.29,FL
9200.0,52650.0,28.72,10.74,FL
6000.0,70000.0,9.65,15.27,FL
35000.0,190000.0,7.83,11.53,FL
10000.0,70000.0,12.27,11.14,FL
13000.0,38000.0,31.98,12.59,FL
9000.0,125000.0,15.62,6.39,FL
12000.0,62400.0,34.81,11.99,FL
3000.0,70000.0,12.89,9.67,FL
18000.0,40000.0,12.25,13.11,FL
20000.0,65000.0,20.55,9.17,FL
5000.0,55000.0,24.35,13.67,FL
8000.0,51000.0,18.12,8.18,FL
16000.0,71000.0,11.8,12.99,FL
10000.0,72000.0,5.8,13.99,FL
10500.0,52000.0,23.77,14.16,FL
5000.0,65000.0,7.59,15.80,FL
6000.0,16000.0,18.6,9.76,FL
12000.0,42800.0,37.35,12.39,FL
10500.0,135000.0,21.7,16.29,FL
9000.0,75000.0,12.61,7.14,FL
24000.0,65000.0,10.3,11.22,FL
30000.0,110000.0,25.2,21.99,FL
12000.0,47995.0,14.68,6.03,FL
4000.0,27000.0,8.31,14.65,FL
4450.0,30156.0,27.58,18.55,FL
3500.0,15560.0,16.74,15.41,FL
16000.0,80000.0,12.96,6.39,FL
15350.0,40000.0,10.8,19.05,FL
7000.0,32240.0,27.33,12.99,FL
25000.0,60000.0,38.78,15.61,FL
6500.0,55000.0,16.84,6.49,FL
25000.0,75000.0,21.09,21.98,FL
20000.0,60000.0,19.23,12.39,FL
15000.0,100000.0,7.28,10.99,FL
20000.0,72000.0,9.78,15.61,FL
5000.0,15000.0,16.64,10.15,FL
6500.0,27000.0,26.98,17.77,FL
30000.0,110000.0,22.73,15.77,FL
7000.0,89000.0,6.46,10.99,FL
5600.0,50000.0,5.23,9.17,FL
10000.0,38400.0,15.53,15.41,FL
12000.0,90000.0,14.35,10.99,FL
16000.0,45000.0,14.52,10.99,FL
12300.0,42000.0,16.63,12.49,FL
25000.0,86000.0,17.92,5.32,FL
17000.0,68000.0,27.3,10.99,FL
3500.0,105000.0,11.34,18.55,FL
6000.0,55000.0,36.86,9.17,FL
11000.0,50000.0,18.1,15.61,FL
15400.0,70000.0,23.88,6.89,FL
10575.0,34008.0,15.88,16.59,FL
2875.0,50000.0,16.99,17.57,FL
26400.0,71000.0,6.81,5.32,FL
12000.0,32000.0,18.96,9.99,FL
24000.0,125000.0,21.52,12.35,FL
12000.0,45000.0,14.93,7.69,FL
22675.0,54000.0,23.93,18.25,FL
8000.0,35000.0,18.24,9.91,FL
8000.0,41400.0,13.13,12.69,FL
9525.0,36200.0,9.71,15.61,FL
8000.0,75000.0,13.9,10.99,FL
7275.0,27000.0,26.04,16.99,FL
7200.0,35000.0,37.69,13.99,FL
8000.0,48000.0,9.58,13.99,FL
7500.0,75000.0,2.94,18.25,FL
12800.0,35000.0,34.68,14.65,FL
10000.0,33000.0,17.38,14.64,FL
24000.0,92000.0,26.3,11.99,FL
3600.0,35000.0,21.57,12.69,FL
8400.0,26426.28,26.98,11.53,FL
12000.0,72000.0,14.23,17.14,FL
4000.0,85000.0,15.92,6.97,FL
15000.0,60000.0,9.84,12.85,FL
16975.0,114000.0,14.86,16.55,FL
9550.0,28000.0,5.66,16.55,FL
25000.0,65000.0,28.04,21.99,FL
8975.0,135000.0,8.01,13.33,FL
5375.0,29000.0,30.04,18.55,FL
21000.0,72000.0,15.87,15.61,FL
9000.0,65000.0,21.44,14.64,FL
9600.0,45000.0,9.57,7.49,FL
14625.0,55500.0,13.6,15.61,FL
10000.0,70000.0,7.89,10.99,FL
6000.0,93000.0,24.1,5.32,FL
8475.0,85000.0,11.0,13.99,FL
14125.0,38000.0,10.42,6.03,FL
19200.0,75000.0,14.5,12.39,FL
4000.0,41952.0,8.18,15.31,FL
5375.0,18000.0,20.64,17.76,FL
4500.0,14521.0,8.93,14.99,FL
6400.0,52000.0,22.88,9.17,FL
25000.0,86000.0,18.7,10.99,FL
32000.0,120000.0,11.46,20.49,FL
10000.0,25000.0,19.35,8.18,FL
16000.0,65000.0,29.19,14.65,FL
10800.0,72000.0,12.35,11.22,FL
5000.0,30000.0,18.08,13.98,FL
9000.0,95511.0,18.55,6.39,FL
6000.0,37900.0,13.49,12.29,FL
10000.0,52000.0,13.41,11.14,FL
8000.0,66950.0,8.69,12.12,FL
30000.0,120000.0,8.57,13.35,FL
9600.0,38000.0,14.4,6.62,FL
4850.0,36450.0,26.8,14.99,FL
8000.0,46000.0,5.87,7.49,FL
35000.0,116000.0,23.84,18.49,FL
7000.0,89792.0,14.84,11.99,FL
5500.0,35000.0,15.71,17.57,FL
18000.0,49000.0,26.58,9.17,FL
5000.0,15000.0,22.51,11.53,FL
3275.0,35000.0,7.1,14.99,FL
10000.0,30000.0,14.92,6.03,FL
20000.0,76000.0,20.5,14.09,FL
15000.0,40000.0,14.79,17.57,FL
3600.0,52000.0,25.71,8.18,FL
7825.0,55606.8,6.22,7.49,FL
10000.0,80000.0,14.76,13.68,FL
24000.0,129000.0,20.43,5.93,FL
10000.0,30000.0,27.92,17.57,FL
8125.0,24000.0,9.0,17.76,FL
26400.0,76000.0,10.97,6.24,FL
8000.0,144000.0,13.17,14.16,FL
17075.0,69000.0,22.21,20.99,FL
11500.0,85000.0,10.27,10.16,FL
1600.0,44000.0,18.33,13.35,FL
10000.0,60000.0,3.9,13.99,FL
10000.0,55000.0,33.2,9.99,FL
30000.0,125000.0,23.71,13.33,FL
10000.0,24000.0,19.56,7.89,FL
4800.0,65000.0,22.99,6.24,FL
10125.0,98000.0,24.44,12.49,FL
6000.0,90000.0,16.59,5.42,FL
35000.0,145000.0,29.33,13.99,FL
4200.0,36000.0,31.57,11.49,FL
14100.0,42427.0,20.71,25.80,FL
3600.0,41981.0,13.58,13.35,FL
17000.0,75000.0,24.25,11.55,FL
10000.0,94000.0,17.6,14.33,FL
8000.0,49392.0,22.16,12.99,FL
4000.0,59000.0,10.86,9.99,FL
10000.0,86500.0,12.12,10.25,FL
15000.0,84000.0,12.29,7.89,FL
4000.0,65000.0,27.14,10.99,FL
1000.0,16000.0,36.65,17.57,FL
15000.0,62000.0,20.79,17.86,FL
6250.0,50000.0,17.3,22.20,FL
21000.0,75000.0,20.91,8.90,FL
