amnt,income,dti,rate,state
15000.0,68000.0,19.58,14.33,GA
6400.0,18000.0,11.07,10.37,GA
22000.0,73800.0,21.02,7.62,GA
35000.0,115000.0,13.37,19.97,GA
35000.0,165000.0,13.12,12.39,GA
28000.0,92000.0,15.14,8.90,GA
8750.0,40000.0,24.54,14.16,GA
12000.0,102000.0,23.22,6.49,GA
8000.0,38000.0,17.66,10.99,GA
11825.0,78000.0,2.91,16.59,GA
14400.0,40000.0,28.98,13.99,GA
3000.0,59450.0,11.57,10.38,GA
10000.0,61568.0,20.8,12.99,GA
7000.0,103000.0,13.46,13.53,GA
10800.0,48000.0,22.58,6.89,GA
6300.0,63000.0,10.48,11.49,GA
25000.0,155000.0,11.63,7.26,GA
15000.0,124800.0,15.96,17.14,GA
11000.0,47000.0,20.76,12.12,GA
26400.0,124000.0,21.08,17.57,GA
15000.0,85000.0,14.14,6.24,GA
11600.0,70000.0,22.75,6.91,GA
13600.0,73000.0,17.36,18.24,GA
18000.0,81000.0,23.73,7.90,GA
19000.0,43000.0,20.18,8.90,GA
5800.0,70000.0,34.78,12.29,GA
5000.0,63000.0,18.45,9.99,GA
20000.0,65000.0,12.46,6.03,GA
8125.0,40000.0,9.75,21.00,GA
21000.0,144000.0,6.35,7.62,GA
6000.0,70000.0,13.37,14.65,GA
24000.0,50000.0,7.54,7.49,GA
8500.0,63000.0,19.03,9.76,GA
23325.0,52000.0,27.95,15.31,GA
2000.0,40000.0,7.83,15.41,GA
35000.0,103000.0,29.42,13.33,GA
35000.0,175000.0,17.58,20.99,GA
8000.0,65000.0,4.49,13.11,GA
10000.0,48000.0,16.65,18.25,GA
26000.0,60700.0,18.58,9.99,GA
1000.0,70000.0,12.42,18.25,GA
5000.0,60000.0,21.16,11.99,GA
21000.0,80000.0,24.2,15.61,GA
12000.0,45000.0,21.65,12.85,GA
16000.0,96000.0,21.7,9.17,GA
13225.0,73000.0,32.66,14.99,GA
5000.0,250000.0,5.96,6.03,GA
6000.0,27500.0,15.23,14.33,GA
10000.0,50000.0,16.03,13.33,GA
35000.0,90000.0,19.99,24.50,GA
21000.0,125000.0,17.09,15.59,GA
24000.0,120000.0,9.78,9.17,GA
15800.0,90000.0,21.91,16.55,GA
10250.0,30225.0,35.78,12.29,GA
19200.0,266000.0,14.06,7.26,GA
9000.0,50497.0,3.73,10.99,GA
26775.0,61000.0,22.28,14.98,GA
11325.0,40000.0,22.5,15.61,GA
22000.0,80000.0,10.28,8.90,GA
10000.0,55000.0,14.2,6.24,GA
14975.0,122550.0,11.43,11.55,GA
12000.0,66000.0,23.36,15.81,GA
15000.0,84000.0,12.69,13.35,GA
22100.0,73221.0,23.51,20.31,GA
25000.0,75000.0,22.35,11.55,GA
4800.0,21898.0,10.09,15.61,GA
35000.0,76272.6,18.6,16.99,GA
35000.0,80000.0,24.06,13.33,GA
10000.0,41000.0,10.8,18.25,GA
23150.0,130000.0,8.73,18.20,GA
35000.0,95000.0,24.34,12.69,GA
2800.0,48000.0,7.5,20.20,GA
4800.0,33000.0,20.07,12.42,GA
16500.0,110000.0,13.9,10.16,GA
