amnt,income,dti,rate,state
10000.0,60000.0,18.16,22.70,HI
14400.0,48000.0,23.15,17.57,HI
30000.0,150000.0,22.5,8.18,HI
8000.0,60000.0,14.7,13.65,HI
6250.0,22694.0,30.4,17.27,HI
4000.0,117000.0,26.24,12.99,HI
35000.0,140000.0,29.71,17.86,HI
28000.0,203000.0,7.29,7.90,HI
15000.0,115000.0,23.54,13.99,HI
35000.0,75000.0,30.58,17.57,HI
14000.0,55000.0,18.99,12.39,HI
18000.0,69000.0,23.07,12.29,HI
14000.0,125000.0,20.76,12.49,HI
15000.0,46690.52,37.04,17.57,HI
8000.0,102000.0,12.75,12.69,HI
30000.0,75000.0,19.31,16.55,HI
1750.0,22800.0,24.89,15.70,HI
28000.0,75000.0,8.88,14.64,HI
20000.0,50000.0,36.27,18.99,HI
12400.0,58000.0,23.84,14.16,HI
20000.0,71000.0,15.16,7.69,HI
16325.0,51528.0,23.52,16.59,HI
8500.0,150000.0,25.17,8.90,HI
10000.0,120000.0,11.62,6.97,HI
35000.0,120000.0,9.74,21.98,HI
15000.0,40000.0,18.18,15.96,HI
1500.0,45000.0,16.11,6.49,HI
26000.0,120000.0,12.22,21.98,HI
32025.0,89000.0,29.76,25.78,HI
5000.0,58000.0,4.86,18.24,HI
24000.0,120000.0,7.57,12.69,HI
16875.0,46920.0,17.85,13.99,HI
13200.0,69000.0,18.21,20.99,HI
15000.0,60000.0,20.69,14.33,HI
25000.0,68000.0,20.83,13.65,HI
8000.0,80000.0,9.29,17.27,HI
13250.0,39000.0,26.68,17.57,HI
24925.0,50000.0,32.85,22.15,HI
18000.0,50000.0,18.98,18.55,HI
12000.0,45000.0,30.77,10.99,HI
16700.0,50000.0,25.49,17.14,HI
14000.0,40000.0,16.81,13.99,HI
8000.0,80000.0,0.23,7.26,HI
23675.0,54000.0,18.76,13.11,HI
35000.0,100000.0,9.58,15.61,HI
15000.0,40000.0,23.83,6.68,HI
10000.0,57000.0,16.36,14.98,HI
12000.0,60770.0,26.34,15.31,HI
32350.0,72000.0,14.19,17.76,HI
24000.0,58000.0,12.22,7.12,HI
10000.0,88000.0,23.66,11.67,HI
20000.0,54000.0,34.19,14.99,HI
18000.0,180415.44,2.71,6.17,HI
4000.0,48000.0,14.73,7.89,HI
4800.0,80000.0,7.29,11.44,HI
4525.0,50000.0,19.13,21.00,HI
12000.0,24000.0,34.45,12.59,HI
20000.0,110000.0,27.15,17.57,HI
18000.0,45000.0,33.41,17.27,HI
9700.0,68400.0,11.72,5.32,HI
10000.0,75000.0,13.76,6.03,HI
20000.0,85000.0,3.18,12.99,HI
10500.0,37600.0,31.74,17.77,HI
5000.0,70000.0,10.85,16.55,HI
7025.0,60000.0,14.29,18.99,HI
15000.0,171474.0,20.3,11.99,HI
11000.0,75000.0,14.69,13.99,HI
17000.0,72000.0,18.85,16.78,HI
8000.0,70000.0,11.06,11.14,HI
10000.0,52000.0,11.19,13.66,HI
18000.0,108000.0,15.0,10.99,HI
16000.0,61700.0,7.51,6.68,HI
