amnt,income,dti,rate,state
30000.0,155000.0,15.93,8.18,IL
35000.0,80000.0,19.59,13.18,IL
30000.0,300000.0,15.82,12.59,IL
2500.0,33000.0,22.76,15.61,IL
7000.0,30000.0,13.72,11.22,IL
6000.0,55000.0,7.99,10.65,IL
30000.0,175000.0,7.93,21.48,IL
20000.0,48000.0,31.25,12.69,IL
22500.0,50000.0,23.45,17.56,IL
5000.0,40000.0,29.4,11.53,IL
7000.0,96000.0,17.78,10.99,IL
28000.0,385000.0,4.36,17.57,IL
8000.0,80000.0,24.15,8.18,IL
15400.0,43000.0,7.59,8.18,IL
13200.0,33000.0,14.38,17.86,IL
14000.0,60000.0,21.02,7.88,IL
11200.0,36000.0,24.1,21.98,IL
15000.0,80000.0,15.99,12.99,IL
5000.0,35100.0,6.97,24.99,IL
4800.0,65000.0,3.67,12.99,IL
9500.0,39000.0,11.72,7.90,IL
17625.0,45000.0,15.12,22.47,IL
18000.0,184000.0,5.97,9.71,IL
15000.0,65000.0,12.7,12.29,IL
23425.0,150000.0,30.16,7.26,IL
10500.0,28000.0,27.86,16.24,IL
25000.0,85000.0,18.13,14.99,IL
18000.0,68000.0,12.3,24.50,IL
11200.0,80000.0,18.47,14.16,IL
25000.0,75000.0,16.98,9.17,IL
18150.0,62000.0,15.91,13.66,IL
14400.0,38000.0,17.68,19.72,IL
12000.0,60000.0,11.1,10.99,IL
24000.0,115000.0,4.41,6.24,IL
20000.0,80000.0,17.93,13.99,IL
15000.0,60000.0,36.06,16.99,IL
5000.0,48000.0,10.65,8.18,IL
10625.0,32000.0,23.44,15.10,IL
14400.0,44000.0,26.1,11.67,IL
15000.0,39600.0,11.39,6.92,IL
19475.0,105000.0,30.53,21.18,IL
28000.0,197000.0,9.42,7.26,IL
35000.0,210000.0,16.72,7.89,IL
10000.0,67500.0,6.74,10.64,IL
25000.0,66000.0,8.13,21.99,IL
16000.0,75000.0,9.23,8.18,IL
8325.0,25000.0,11.18,16.29,IL
6500.0,90457.0,10.79,7.89,IL
19200.0,48000.0,13.18,19.99,IL
12000.0,45000.0,12.03,11.49,IL
8000.0,61000.0,14.22,17.76,IL
13000.0,54000.0,26.36,15.31,IL
