amnt,income,dti,rate,state
8000.0,87000.0,11.64,10.15,IN
8800.0,25200.0,23.95,14.65,IN
16800.0,62000.0,31.59,9.17,IN
15000.0,60000.0,12.32,20.99,IN
18000.0,85000.0,20.68,16.29,IN
15000.0,37000.0,31.75,12.69,IN
24000.0,75000.0,20.9,6.92,IN
22250.0,50000.0,24.96,13.35,IN
1000.0,80000.0,33.65,13.67,IN
4850.0,57000.0,4.44,12.49,IN
19800.0,45000.0,9.36,18.20,IN
5375.0,55000.0,16.6,16.99,IN
11000.0,58000.0,22.61,17.57,IN
25000.0,70000.0,21.7,9.99,IN
13000.0,37000.0,21.34,15.61,IN
4800.0,15500.0,9.76,17.57,IN
16800.0,54371.0,23.07,18.55,IN
10000.0,65000.0,17.91,10.99,IN
25000.0,80000.0,11.34,6.49,IN
12500.0,60000.0,23.56,15.61,IN
9550.0,55000.0,21.03,14.09,IN
7500.0,150000.0,10.37,6.03,IN
10925.0,35000.0,34.43,14.65,IN
16000.0,41000.0,18.09,18.54,IN
12800.0,40000.0,8.9,10.99,IN
18000.0,96000.0,18.16,9.25,IN
12000.0,60000.0,5.46,15.99,IN
20000.0,50000.0,15.27,19.52,IN
16500.0,33000.0,20.0,12.29,IN
12000.0,76000.0,23.01,11.14,IN
8575.0,50000.0,14.79,13.98,IN
9125.0,52800.0,22.82,17.57,IN
32500.0,65000.0,15.68,10.15,IN
16000.0,65000.0,8.99,15.80,IN
26375.0,60000.0,35.06,18.84,IN
6400.0,45000.0,6.48,9.99,IN
25000.0,80000.0,19.02,7.89,IN
21000.0,60000.0,17.14,10.64,IN
4000.0,40000.0,19.29,18.25,IN
8000.0,40000.0,13.14,13.33,IN
25000.0,140000.0,10.83,12.29,IN
16000.0,52000.0,26.15,8.90,IN
12000.0,24000.0,18.85,24.99,IN
22200.0,100000.0,15.2,13.65,IN
4750.0,15000.0,37.84,15.61,IN
35000.0,90000.0,4.87,9.67,IN
6025.0,20098.0,13.14,7.26,IN
6000.0,25000.0,10.08,11.99,IN
10000.0,50000.0,15.46,9.99,IN
35000.0,101500.0,21.07,15.31,IN
8400.0,58000.0,15.19,12.29,IN
2000.0,45000.0,25.47,23.40,IN
5000.0,28000.0,16.67,11.99,IN
16800.0,185000.0,12.36,5.32,IN
11225.0,34000.0,28.49,14.33,IN
5000.0,45000.0,15.97,18.24,IN
11125.0,25500.0,33.74,16.99,IN
7275.0,80940.0,11.09,12.12,IN
22600.0,54800.0,26.92,18.25,IN
8925.0,29000.0,11.01,16.49,IN
12000.0,85000.0,26.94,7.26,IN
5375.0,104000.0,9.05,12.05,IN
15100.0,36000.0,17.23,12.99,IN
10800.0,51000.0,15.11,15.61,IN
15000.0,170000.0,14.64,8.39,IN
27500.0,86969.0,20.46,7.89,IN
25000.0,60000.0,32.22,15.61,IN
12000.0,110000.0,15.27,6.03,IN
22700.0,55000.0,29.54,13.35,IN
8000.0,40000.0,22.32,12.99,IN
18000.0,52000.0,23.33,25.80,IN
9175.0,40000.0,5.94,23.63,IN
25600.0,175000.0,30.17,11.53,IN
6000.0,38000.0,10.01,7.26,IN
12600.0,35000.0,23.05,20.99,IN
3200.0,29120.0,23.87,13.99,IN
25000.0,70000.0,24.09,14.16,IN
35000.0,89000.0,25.74,14.16,IN
6000.0,28000.0,12.0,13.98,IN
10800.0,67000.0,6.25,7.90,IN
15000.0,37528.4,38.95,17.86,IN
6000.0,87000.0,13.44,5.32,IN
20000.0,150000.0,3.25,7.69,IN
24000.0,64000.0,33.08,17.86,IN
6500.0,32000.0,12.53,13.98,IN
30000.0,72000.0,19.03,17.57,IN
4000.0,24000.0,12.95,12.29,IN
23000.0,50000.0,14.69,18.99,IN
10000.0,120000.0,8.03,9.99,IN
6000.0,52000.0,5.26,8.18,IN
8000.0,150000.0,27.64,12.69,IN
25000.0,138000.0,13.3,6.68,IN
2875.0,40000.0,34.38,25.80,IN
10625.0,32000.0,15.75,15.80,IN
17000.0,77916.0,19.45,6.62,IN
6000.0,80000.0,24.24,7.26,IN
17050.0,48000.0,20.35,13.53,IN
24925.0,75000.0,24.8,11.14,IN
7200.0,70000.0,28.13,18.92,IN
24000.0,125000.0,15.84,9.17,IN
15000.0,50000.0,15.41,10.99,IN
30000.0,148000.0,9.04,15.61,IN
9000.0,25000.0,26.4,17.57,IN
16850.0,37474.0,26.48,13.05,IN
7000.0,60000.0,15.72,7.90,IN
13200.0,58100.0,16.22,12.99,IN
8000.0,45000.0,16.85,15.61,IN
6000.0,39000.0,20.65,14.99,IN
7850.0,40000.0,28.02,12.12,IN
24000.0,72000.0,21.25,15.61,IN
6825.0,19000.0,18.26,14.65,IN
6000.0,30000.0,7.6,10.99,IN
3000.0,41676.0,4.64,8.18,IN
20000.0,70000.0,15.74,13.18,IN
7900.0,60000.0,8.26,6.24,IN
18000.0,42500.0,20.16,14.47,IN
8000.0,100000.0,15.98,11.99,IN
8000.0,39728.0,23.99,13.35,IN
14400.0,45375.2,24.07,12.29,IN
24900.0,52000.0,25.71,11.22,IN
20000.0,60000.0,5.88,5.32,IN
11000.0,38000.0,22.33,16.20,IN
8000.0,48000.0,5.0,16.78,IN
16000.0,60000.0,18.71,10.99,IN
18650.0,52000.0,21.81,15.88,IN
10000.0,31000.0,23.62,6.24,IN
4800.0,20000.0,33.61,9.99,IN
9950.0,30000.0,31.6,13.05,IN
24000.0,105000.0,5.13,5.32,IN
16000.0,65000.0,15.03,7.89,IN
16000.0,65000.0,17.21,13.66,IN
35000.0,78000.0,17.45,19.52,IN
11250.0,83200.0,15.79,16.99,IN
16000.0,45000.0,29.25,15.80,IN
12000.0,45000.0,19.49,12.29,IN
7500.0,29267.0,26.66,12.29,IN
24000.0,85000.0,5.92,5.93,IN
24000.0,125000.0,5.39,5.32,IN
7500.0,49920.0,35.36,9.76,IN
8000.0,80000.0,21.71,12.49,IN
16800.0,62000.0,15.08,13.99,IN
10000.0,52000.0,31.36,15.61,IN
15000.0,85000.0,9.4,16.55,IN
10250.0,81000.0,19.13,18.25,IN
9600.0,27000.0,28.31,10.64,IN
12500.0,47000.0,9.81,12.39,IN
11225.0,50000.0,21.92,16.29,IN
18000.0,57000.0,5.12,7.69,IN
14100.0,34950.0,37.77,19.99,IN
12000.0,41000.0,14.52,21.60,IN
13500.0,60000.0,14.16,9.99,IN
11200.0,38500.0,22.76,21.48,IN
17000.0,53560.0,29.71,10.99,IN
11200.0,88000.0,17.32,9.99,IN
12000.0,90000.0,26.93,19.99,IN
29700.0,67000.0,20.88,17.27,IN
12500.0,52000.0,21.19,12.49,IN
15000.0,57218.0,18.37,15.61,IN
25000.0,56500.0,28.48,10.15,IN
10000.0,33275.0,27.2,18.25,IN
15000.0,50000.0,19.11,18.55,IN
4300.0,30000.0,16.04,19.52,IN
24000.0,98000.0,19.56,14.99,IN
32000.0,89000.0,22.53,13.99,IN
12000.0,106000.0,18.15,5.32,IN
8000.0,33000.0,11.65,13.99,IN
18000.0,50000.0,18.15,7.12,IN
20275.0,82000.0,22.19,10.99,IN
