amnt,income,dti,rate,state
9325.0,65000.0,6.78,13.33,KS
5000.0,28800.0,5.46,13.22,KS
10000.0,45000.0,27.95,15.61,KS
15000.0,65000.0,27.53,7.89,KS
3000.0,95000.0,12.54,11.99,KS
3000.0,41000.0,13.23,16.99,KS
10000.0,96000.0,17.25,6.39,KS
20000.0,55000.0,16.71,6.03,KS
18000.0,60000.0,17.22,17.77,KS
20000.0,79000.0,7.0,18.75,KS
26000.0,98000.0,23.53,9.17,KS
5000.0,42000.0,12.46,11.99,KS
35000.0,85000.0,20.51,13.66,KS
12300.0,28000.0,25.38,17.57,KS
2400.0,35000.0,36.52,15.61,KS
5550.0,45000.0,20.11,9.99,KS
21000.0,172000.0,10.92,7.90,KS
25000.0,60000.0,18.94,19.05,KS
20750.0,52000.0,33.86,16.59,KS
8375.0,35000.0,16.26,18.54,KS
35000.0,100500.0,21.19,20.49,KS
14000.0,40000.0,23.38,7.89,KS
35000.0,100156.0,23.32,9.17,KS
11300.0,52000.0,17.89,18.25,KS
19000.0,63000.0,10.04,12.29,KS
14000.0,120000.0,11.59,11.53,KS
5900.0,39520.0,2.93,9.17,KS
20675.0,80000.0,17.36,21.99,KS
15000.0,45000.0,31.44,11.53,KS
23500.0,52823.0,20.42,17.56,KS
18875.0,108000.0,12.5,9.17,KS
12000.0,51000.0,25.46,12.69,KS
8375.0,42000.0,20.61,11.67,KS
20000.0,78000.0,20.29,16.99,KS
6000.0,58000.0,16.1,14.16,KS
5000.0,61000.0,20.86,13.98,KS
17975.0,43000.0,33.18,18.25,KS
34475.0,75000.0,11.38,18.92,KS
12500.0,45000.0,16.83,7.62,KS
30000.0,229000.0,9.35,12.12,KS
12925.0,51000.0,38.05,18.55,KS
27575.0,62000.0,18.5,19.05,KS
12950.0,36000.0,32.4,19.24,KS
16500.0,45823.0,12.91,15.61,KS
3000.0,30076.0,8.94,21.49,KS
12000.0,47600.0,25.32,16.99,KS
22000.0,75000.0,31.94,16.29,KS
21600.0,75000.0,24.05,7.90,KS
10000.0,150000.0,3.83,7.90,KS
20000.0,67000.0,11.95,11.83,KS
15000.0,55000.0,21.06,12.29,KS
24000.0,90000.0,16.11,12.99,KS
3500.0,65500.0,20.8,15.61,KS
5000.0,100000.0,31.98,16.55,KS
20000.0,102000.0,10.42,7.49,KS
14000.0,48400.0,19.83,23.50,KS
16800.0,93600.0,10.86,6.49,KS
7600.0,58000.0,18.04,7.69,KS
7000.0,52000.0,23.56,15.99,KS
4800.0,71000.0,1.88,13.49,KS
7500.0,72231.0,22.05,8.90,KS
1000.0,34000.0,15.99,7.62,KS
12000.0,78000.0,18.74,12.99,KS
24000.0,85000.0,26.54,6.24,KS
