amnt,income,dti,rate,state
24000.0,80000.0,33.09,10.16,KY
15425.0,31200.0,14.04,11.49,KY
13000.0,65000.0,9.24,8.18,KY
18000.0,50000.0,19.68,12.29,KY
10000.0,58800.0,18.12,12.99,KY
5500.0,20862.0,18.75,12.12,KY
20000.0,65000.0,12.98,14.33,KY
2000.0,18464.0,6.5,14.33,KY
16500.0,46000.0,15.5,17.86,KY
24000.0,55000.0,17.22,9.17,KY
21625.0,70000.0,31.36,15.61,KY
11400.0,38000.0,28.46,18.25,KY
13750.0,27500.0,19.95,20.99,KY
14000.0,125000.0,4.69,24.99,KY
9000.0,75000.0,5.78,18.49,KY
9000.0,45500.0,27.35,13.53,KY
5000.0,60000.0,2.74,15.13,KY
9000.0,45000.0,11.09,10.64,KY
8000.0,35000.0,3.98,13.33,KY
5000.0,24000.0,26.15,12.29,KY
35000.0,79000.0,29.73,22.95,KY
4200.0,65000.0,13.07,7.89,KY
31000.0,88000.0,13.86,13.33,KY
19550.0,42640.0,2.62,19.99,KY
6000.0,15600.0,23.77,7.12,KY
35000.0,250812.0,8.55,12.69,KY
15000.0,165000.0,8.12,12.61,KY
15000.0,54000.0,36.11,7.89,KY
25000.0,85000.0,10.36,9.76,KY
4000.0,60000.0,33.62,7.12,KY
2150.0,46000.0,30.42,15.88,KY
8525.0,110000.0,4.61,18.54,KY
4200.0,32000.0,19.13,8.67,KY
5700.0,22000.0,22.53,12.29,KY
4800.0,39568.0,17.77,10.99,KY
7000.0,90000.0,25.66,15.61,KY
6750.0,25000.0,22.46,14.09,KY
18950.0,60000.0,9.46,6.03,KY
5000.0,138000.0,8.78,12.99,KY
8000.0,55000.0,25.51,11.53,KY
12000.0,56000.0,12.62,12.12,KY
15000.0,39580.0,25.02,14.99,KY
28000.0,63960.0,26.12,10.15,KY
30000.0,80000.0,16.47,16.55,KY
4800.0,87000.0,7.05,8.18,KY
13000.0,42000.0,30.14,11.99,KY
28000.0,90000.0,32.57,13.35,KY
4200.0,122000.0,24.58,11.55,KY
10000.0,75000.0,7.47,8.39,KY
15950.0,38000.0,19.9,23.99,KY
2500.0,75000.0,19.01,11.53,KY
3000.0,48000.0,25.1,21.48,KY
10300.0,47000.0,16.24,22.99,KY
18000.0,135000.0,10.07,25.57,KY
7000.0,62500.0,19.91,7.26,KY
20000.0,98000.0,31.89,11.99,KY
15000.0,55000.0,16.78,13.33,KY
12875.0,38000.0,10.33,22.15,KY
10000.0,57000.0,3.49,13.67,KY
6000.0,67000.0,20.1,14.65,KY
22000.0,90000.0,13.44,16.99,KY
14125.0,37000.0,24.91,14.33,KY
25000.0,70000.0,16.15,20.99,KY
11100.0,127000.0,15.01,12.85,KY
17625.0,70000.0,23.23,19.22,KY
14000.0,46000.0,4.9,7.89,KY
30000.0,60000.0,32.36,24.99,KY
24000.0,100000.0,20.22,8.19,KY
10000.0,45000.0,11.09,12.12,KY
10000.0,69000.0,12.4,7.62,KY
22500.0,72000.0,10.43,13.11,KY
13000.0,55000.0,10.69,5.32,KY
25000.0,52000.0,25.41,17.86,KY
15000.0,65000.0,30.89,9.99,KY
35000.0,123000.0,20.94,9.17,KY
33000.0,175000.0,24.75,6.99,KY
13000.0,55000.0,19.18,10.99,KY
1600.0,66640.0,7.98,14.47,KY
30000.0,90000.0,19.53,14.99,KY
28000.0,79000.0,25.73,10.64,KY
30000.0,95000.0,19.75,13.67,KY
14400.0,43000.0,26.21,16.59,KY
7000.0,60000.0,18.32,8.18,KY
8400.0,180000.0,24.18,12.99,KY
6000.0,140000.0,9.24,5.32,KY
29500.0,59000.0,33.02,12.29,KY
4800.0,42000.0,11.17,8.18,KY
18000.0,63000.0,18.97,16.29,KY
4375.0,45000.0,14.59,19.52,KY
5000.0,33000.0,3.13,12.69,KY
10000.0,125000.0,16.06,12.29,KY
15700.0,56000.0,37.33,14.49,KY
10000.0,41500.0,14.52,14.33,KY
12000.0,68000.0,16.18,5.32,KY
11400.0,68000.0,24.64,12.69,KY
20000.0,120000.0,12.77,9.17,KY
7800.0,42250.0,15.11,14.47,KY
35000.0,105000.0,26.97,14.49,KY
5000.0,45000.0,7.39,11.53,KY
35000.0,245000.0,9.2,24.50,KY
21000.0,130000.0,10.89,7.90,KY
2500.0,40840.0,23.33,14.49,KY
16000.0,45000.0,29.2,7.12,KY
11200.0,43000.0,33.69,15.99,KY
20000.0,55000.0,29.28,12.59,KY
8400.0,60000.0,20.81,6.39,KY
14000.0,105000.0,18.18,7.89,KY
15000.0,50000.0,38.36,13.66,KY
9500.0,74000.0,23.45,11.53,KY
35000.0,100000.0,20.56,16.99,KY
18750.0,70000.0,17.56,17.86,KY
25000.0,175000.0,30.81,16.49,KY
4000.0,65000.0,18.06,13.35,KY
3500.0,37000.0,24.49,15.61,KY
20000.0,125000.0,15.26,14.99,KY
6000.0,25000.0,2.98,7.89,KY
