amnt,income,dti,rate,state
25000.0,95000.0,26.91,10.99,LA
35000.0,130000.0,9.17,15.59,LA
28000.0,56543.0,25.09,13.33,LA
26025.0,52357.0,26.24,19.19,LA
13000.0,73000.0,5.54,7.90,LA
13975.0,50000.0,12.99,11.99,LA
3900.0,13000.0,32.96,25.99,LA
32000.0,180000.0,12.62,20.99,LA
12000.0,43000.0,21.21,6.39,LA
7000.0,36000.0,7.23,9.99,LA
24000.0,77733.0,19.04,17.57,LA
8725.0,70000.0,12.26,7.62,LA
8000.0,45000.0,4.96,17.57,LA
12250.0,120000.0,7.72,13.33,LA
35000.0,125000.0,16.79,16.29,LA
10000.0,54700.0,20.8,19.52,LA
13200.0,60000.0,4.54,6.62,LA
15000.0,82000.0,9.69,13.99,LA
15000.0,100000.0,18.61,14.30,LA
11800.0,35000.0,10.32,15.31,LA
15000.0,42156.0,28.68,18.25,LA
17625.0,45000.0,17.92,18.55,LA
15000.0,90000.0,7.85,8.19,LA
30000.0,100000.0,21.85,18.25,LA
19125.0,60000.0,24.56,16.99,LA
19825.0,72000.0,25.55,15.61,LA
5600.0,79476.0,30.21,23.83,LA
7000.0,70000.0,26.01,12.29,LA
18800.0,115000.0,8.57,9.17,LA
15675.0,50000.0,28.85,16.49,LA
14400.0,40000.0,31.86,16.29,LA
20000.0,50000.0,20.81,13.99,LA
5000.0,40000.0,13.68,12.29,LA
20400.0,55120.0,39.28,18.25,LA
10000.0,54745.0,15.76,7.26,LA
13750.0,63600.0,13.74,21.70,LA
35000.0,107000.0,24.61,17.86,LA
5000.0,45000.0,10.16,9.99,LA
12475.0,39000.0,27.63,27.31,LA
10000.0,46900.0,12.97,8.18,LA
29000.0,80000.0,26.6,10.49,LA
10000.0,34000.0,30.36,13.33,LA
4000.0,23400.0,3.33,7.49,LA
10000.0,130000.0,5.25,8.90,LA
25000.0,100000.0,17.06,19.99,LA
4800.0,38160.0,8.27,18.75,LA
5275.0,45000.0,21.47,13.99,LA
14400.0,74000.0,12.82,17.86,LA
8000.0,45575.0,23.83,12.12,LA
7475.0,17200.0,16.96,12.39,LA
19000.0,83000.0,36.1,10.99,LA
35000.0,85000.0,28.69,10.99,LA
8000.0,43000.0,22.3,13.33,LA
18775.0,70000.0,17.86,11.14,LA
11200.0,67000.0,14.04,9.17,LA
10000.0,65000.0,14.08,9.76,LA
16000.0,72000.0,16.93,5.32,LA
20000.0,124000.0,14.72,10.74,LA
30000.0,120000.0,24.4,18.25,LA
4025.0,56000.0,26.32,13.67,LA
25000.0,80000.0,12.27,12.69,LA
12000.0,65000.0,16.95,10.64,LA
8100.0,23350.0,18.41,8.90,LA
12800.0,80000.0,11.82,11.55,LA
10000.0,95000.0,9.73,8.90,LA
20000.0,85000.0,31.5,12.69,LA
2200.0,48000.0,9.33,9.17,LA
28000.0,150000.0,9.02,10.99,LA
22500.0,45000.0,20.73,18.99,LA
6400.0,46000.0,27.39,9.80,LA
30000.0,117000.0,20.09,17.57,LA
13200.0,63949.04,17.02,14.33,LA
35000.0,188000.0,26.38,18.55,LA
28000.0,97000.0,24.5,12.49,LA
32000.0,85000.0,30.64,11.44,LA
15000.0,88400.0,16.3,10.99,LA
16000.0,64000.0,29.44,18.92,LA
2000.0,26000.0,17.35,12.99,LA
6000.0,55000.0,14.49,12.99,LA
25000.0,65000.0,21.81,6.49,LA
25000.0,105000.0,9.26,6.49,LA
14200.0,64000.0,26.7,7.12,LA
21475.0,97523.16,18.48,10.99,LA
19000.0,57600.0,20.69,17.93,LA
28000.0,120000.0,26.05,19.19,LA
6000.0,120000.0,5.23,10.37,LA
15000.0,88000.0,21.11,14.99,LA
12000.0,93000.0,16.93,17.57,LA
27425.0,275000.0,21.96,16.55,LA
6000.0,35000.0,16.43,6.39,LA
2000.0,75000.0,23.58,18.25,LA
3000.0,38000.0,17.28,14.65,LA
6000.0,20000.0,21.85,18.25,LA
35000.0,105000.0,17.95,9.99,LA
30000.0,90000.0,11.68,12.69,LA
10000.0,151000.0,31.6,19.52,LA
12000.0,45000.0,17.49,20.99,LA
2650.0,22800.0,12.0,16.78,LA
9600.0,52000.0,19.74,7.90,LA
20000.0,96000.0,11.71,9.17,LA
17500.0,48000.0,24.08,6.99,LA
15000.0,45000.0,24.91,18.55,LA
10475.0,75000.0,14.18,15.61,LA
11900.0,45000.0,27.87,13.98,LA
20000.0,100000.0,20.71,12.29,LA
18000.0,105877.0,27.97,10.49,LA
12000.0,58000.0,23.03,12.69,LA
15000.0,90000.0,18.97,8.90,LA
10000.0,45000.0,24.72,13.98,LA
10000.0,73000.0,24.13,15.61,LA
9000.0,75000.0,19.07,14.33,LA
5200.0,32188.0,26.62,13.33,LA
19000.0,92000.0,29.38,5.32,LA
11950.0,140000.0,15.86,16.55,LA
9500.0,35472.0,30.51,6.89,LA
12000.0,60000.0,17.57,7.90,LA
14400.0,43000.0,13.2,18.99,LA
15000.0,64000.0,18.62,7.26,LA
20000.0,148000.0,13.48,7.26,LA
21000.0,117000.0,9.73,11.53,LA
25000.0,113000.0,22.73,8.19,LA
10000.0,35000.0,24.38,16.29,LA
30000.0,80000.0,20.4,13.99,LA
19125.0,43680.0,31.7,12.99,LA
24000.0,85000.0,11.87,13.33,LA
9450.0,50000.0,17.42,23.83,LA
8400.0,32000.0,28.73,12.85,LA
11200.0,52000.0,27.93,12.29,LA
16600.0,125000.0,10.38,6.24,LA
6000.0,38000.0,24.92,8.67,LA
9000.0,90000.0,14.96,7.62,LA
25000.0,67000.0,22.91,20.99,LA
24000.0,85000.0,3.97,10.99,LA
9175.0,50000.0,29.38,13.99,LA
7800.0,26000.0,37.21,20.99,LA
9000.0,90000.0,13.67,8.39,LA
4000.0,21600.0,10.33,8.07,LA
15850.0,36000.0,33.1,11.55,LA
25000.0,250000.0,4.6,15.61,LA
8000.0,32797.0,16.79,13.98,LA
6000.0,27000.0,21.47,10.99,LA
11750.0,35000.0,24.37,13.99,LA
14500.0,77428.0,17.22,9.17,LA
10000.0,83000.0,14.56,11.99,LA
21000.0,108000.0,25.44,19.52,LA
7000.0,30000.0,24.23,11.22,LA
13600.0,46000.0,12.76,7.26,LA
8500.0,70000.0,12.15,11.67,LA
20225.0,150000.0,28.94,13.99,LA
10000.0,105000.0,5.82,14.09,LA
9325.0,80000.0,14.39,10.16,LA
23400.0,51000.0,14.21,13.99,LA
5000.0,158000.0,15.95,17.76,LA
6000.0,58000.0,30.21,7.62,LA
2500.0,42000.0,4.86,13.98,LA
6300.0,36456.0,9.25,7.49,LA
7000.0,40000.0,23.19,9.67,LA
12025.0,60000.0,12.73,24.99,LA
15000.0,66450.0,31.21,13.98,LA
6000.0,34000.0,20.14,7.89,LA
11675.0,55000.0,31.14,18.25,LA
5500.0,32144.0,12.8,9.17,LA
4125.0,75000.0,22.77,16.55,LA
10000.0,45000.0,19.89,16.29,LA
25000.0,114000.0,29.18,9.80,LA
21000.0,150000.0,19.75,12.29,LA
20000.0,82000.0,28.95,9.17,LA
8400.0,111000.0,21.53,7.26,LA
20000.0,47000.0,24.85,6.68,LA
8000.0,100000.0,9.43,13.68,LA
22675.0,80000.0,23.37,19.99,LA
14000.0,135000.0,19.83,16.49,LA
6000.0,32700.0,35.67,15.61,LA
16000.0,120000.0,15.46,6.03,LA
5000.0,75000.0,15.63,13.35,LA
17000.0,47000.0,12.64,13.99,LA
20000.0,65000.0,13.0,12.29,LA
3000.0,62500.0,4.63,13.92,LA
21000.0,78000.0,16.11,13.68,LA
10000.0,36000.0,10.57,19.52,LA
30000.0,101000.0,16.84,13.33,LA
7000.0,60000.0,4.32,7.89,LA
19600.0,60000.0,17.92,16.55,LA
16000.0,56000.0,18.73,11.14,LA
20000.0,71146.0,27.8,11.44,LA
12700.0,74000.0,14.11,22.47,LA
15000.0,45000.0,38.16,15.41,LA
18000.0,95576.0,26.28,10.99,LA
10000.0,110000.0,29.56,14.33,LA
8400.0,54000.0,19.58,6.68,LA
8000.0,78000.0,17.0,15.61,LA
5400.0,55000.0,26.21,9.17,LA
16000.0,64000.0,20.53,7.26,LA
10500.0,136000.0,1.0,15.61,LA
7000.0,75000.0,5.47,15.28,LA
25000.0,137000.0,22.06,13.11,LA
35000.0,120000.0,24.95,21.99,LA
4525.0,40000.0,25.14,13.11,LA
25000.0,110000.0,15.46,6.89,LA
17000.0,54000.0,16.49,7.26,LA
35000.0,75000.0,6.38,17.57,LA
25000.0,70000.0,20.35,11.44,LA
11850.0,34000.0,16.52,17.77,LA
4800.0,37000.0,6.94,8.39,LA
27000.0,121870.0,18.34,14.33,LA
15000.0,49400.0,22.86,13.33,LA
10000.0,53000.0,14.54,11.22,LA
6400.0,23000.0,24.95,11.99,LA
15000.0,75000.0,29.26,5.93,LA
15000.0,48000.0,33.08,7.89,LA
31300.0,70000.0,19.42,21.15,LA
18000.0,150000.0,22.88,5.32,LA
12250.0,34275.0,22.16,17.57,LA
12000.0,68000.0,3.86,14.33,LA
28775.0,60000.0,19.15,16.29,LA
12000.0,58000.0,13.18,7.69,LA
14000.0,60000.0,30.66,13.18,LA
24800.0,145000.0,22.44,7.89,LA
12800.0,61100.0,35.95,19.99,LA
9750.0,90000.0,13.15,10.99,LA
21000.0,78000.0,19.98,9.17,LA
8400.0,79000.0,10.98,12.99,LA
25000.0,65000.0,21.66,14.09,LA
4800.0,44000.0,16.31,9.76,LA
1200.0,750000.0,6.38,9.17,LA
3925.0,44000.0,21.55,16.24,LA
5000.0,22000.0,16.8,12.49,LA
9000.0,145000.0,3.32,14.99,LA
30000.0,100000.0,18.73,12.85,LA
27900.0,76000.0,16.82,25.57,LA
8000.0,45000.0,22.32,13.67,LA
19200.0,95000.0,11.05,7.89,LA
12000.0,42000.0,16.51,10.64,LA
8400.0,64000.0,35.65,13.99,LA
5200.0,38000.0,18.69,10.74,LA
22000.0,45000.0,31.04,20.99,LA
12000.0,37000.0,31.04,17.77,LA
6000.0,115000.0,22.16,15.31,LA
18000.0,93000.0,25.34,6.24,LA
10000.0,55000.0,12.76,17.57,LA
32475.0,65000.0,28.62,14.65,LA
31950.0,130000.0,19.61,14.65,LA
6275.0,26400.0,15.91,17.86,LA
28000.0,116000.0,9.17,8.39,LA
30000.0,85000.0,29.48,12.29,LA
9600.0,66000.0,9.98,10.99,LA
22400.0,135000.0,23.39,6.03,LA
32000.0,125000.0,33.19,12.59,LA
12000.0,41000.0,19.18,12.12,LA
13475.0,53000.0,16.55,15.31,LA
13600.0,125000.0,8.43,13.66,LA
10000.0,32000.0,38.37,12.69,LA
23000.0,84000.0,20.81,11.99,LA
10000.0,115072.0,11.5,5.93,LA
12150.0,79000.0,16.04,13.98,LA
3000.0,38000.0,6.06,13.98,LA
15000.0,48401.6,20.9,6.89,LA
12375.0,75900.0,18.17,10.16,LA
19800.0,144000.0,28.96,13.33,LA
9000.0,40000.0,11.85,15.61,LA
5000.0,55000.0,28.29,15.61,LA
4575.0,46000.0,20.87,15.59,LA
15000.0,49000.0,21.26,7.69,LA
2500.0,75000.0,33.35,12.69,LA
3125.0,24900.0,4.82,21.98,LA
5325.0,25000.0,18.19,10.99,LA
4000.0,24000.0,22.55,12.87,LA
24000.0,80000.0,26.21,9.99,LA
20000.0,265000.0,7.14,12.73,LA
10000.0,65000.0,15.45,16.99,LA
6000.0,76000.0,23.35,8.90,LA
4000.0,72000.0,31.53,8.90,LA
10000.0,105000.0,19.84,12.29,LA
8400.0,75000.0,13.82,8.18,LA
15000.0,52000.0,19.46,17.86,LA
22800.0,70000.0,28.46,10.15,LA
17000.0,49400.0,24.2,12.59,LA
12000.0,42000.0,3.8,15.22,LA
25000.0,81500.0,18.38,23.13,LA
35000.0,100000.0,14.01,12.69,LA
6100.0,48000.0,3.45,13.67,LA
5500.0,85000.0,12.69,6.76,LA
27100.0,120000.0,8.02,16.99,LA
