amnt,income,dti,rate,state
15000.0,90000.0,21.82,6.03,MA
16000.0,50000.0,13.08,12.12,MA
24000.0,110000.0,14.56,17.57,MA
9000.0,81120.0,17.97,19.99,MA
5000.0,20000.0,22.74,14.46,MA
15000.0,45000.0,12.96,11.14,MA
20000.0,136500.0,34.55,6.89,MA
6025.0,97000.0,2.98,16.99,MA
10000.0,100000.0,24.83,5.93,MA
12000.0,110000.0,12.85,16.99,MA
1925.0,42000.0,18.77,7.62,MA
9000.0,110000.0,20.33,9.17,MA
16000.0,65450.0,19.69,9.17,MA
11200.0,47500.0,16.25,19.52,MA
10500.0,106000.0,16.57,9.99,MA
8000.0,55000.0,10.95,13.11,MA
3500.0,83000.0,20.8,7.69,MA
20150.0,120000.0,29.32,13.18,MA
3600.0,54704.0,9.7,9.17,MA
25000.0,110000.0,16.0,13.11,MA
32000.0,265000.0,30.37,17.57,MA
14000.0,122000.0,7.54,13.48,MA
10000.0,35000.0,14.09,7.26,MA
10000.0,50000.0,13.04,12.12,MA
20000.0,105000.0,2.41,9.17,MA
20000.0,55000.0,16.36,11.53,MA
16800.0,41000.0,24.74,9.99,MA
10000.0,55000.0,15.95,15.61,MA
11000.0,35000.0,13.93,12.88,MA
8000.0,68500.0,12.12,10.62,MA
7000.0,57000.0,11.66,7.14,MA
12000.0,52000.0,19.76,12.69,MA
20000.0,100000.0,16.55,11.14,MA
26000.0,70000.0,20.56,11.99,MA
20000.0,120000.0,30.81,10.78,MA
16000.0,66560.0,12.08,16.29,MA
6525.0,42000.0,27.91,9.99,MA
8400.0,60000.0,4.86,7.29,MA
20000.0,125000.0,6.92,8.18,MA
10000.0,41000.0,6.76,12.29,MA
6800.0,80000.0,17.48,12.69,MA
16800.0,70000.0,6.81,11.53,MA
24200.0,55000.0,29.89,18.55,MA
12000.0,112000.0,21.47,11.14,MA
8000.0,39000.0,16.4,7.69,MA
22000.0,70000.0,27.22,14.65,MA
13000.0,55000.0,19.97,14.49,MA
21000.0,65000.0,25.57,12.12,MA
5000.0,57000.0,18.25,6.92,MA
10000.0,45000.0,11.31,12.69,MA
30000.0,180000.0,3.35,14.65,MA
27775.0,119000.0,17.31,7.90,MA
15000.0,41500.0,22.2,12.69,MA
15000.0,76000.0,28.38,9.17,MA
25000.0,80000.0,17.71,8.19,MA
14950.0,60000.0,18.56,15.80,MA
11400.0,65000.0,13.59,14.33,MA
18000.0,79000.0,9.97,21.49,MA
3000.0,14400.0,7.92,13.43,MA
28000.0,78500.0,23.74,7.89,MA
30000.0,101000.0,10.91,12.49,MA
11100.0,32000.0,14.96,14.33,MA
35000.0,103000.0,18.56,16.55,MA
15000.0,95000.0,17.29,9.99,MA
6600.0,40000.0,24.66,10.99,MA
17200.0,43000.0,32.46,14.99,MA
10000.0,54500.0,14.07,6.62,MA
15000.0,100000.0,19.19,9.67,MA
25000.0,73000.0,12.58,7.69,MA
6250.0,50000.0,13.58,15.31,MA
20400.0,105000.0,14.86,22.95,MA
2800.0,50000.0,19.37,9.17,MA
20000.0,55000.0,20.58,12.29,MA
15000.0,69000.0,14.07,11.67,MA
2750.0,4200.0,0.0,16.95,MA
25200.0,140000.0,14.86,9.17,MA
28000.0,136000.0,13.95,9.99,MA
11500.0,40000.0,1.5,9.17,MA
20000.0,145000.0,5.34,12.99,MA
16000.0,100000.0,14.55,7.89,MA
25000.0,90300.0,13.22,15.61,MA
5000.0,32600.0,6.66,8.90,MA
25000.0,150000.0,11.05,8.60,MA
15000.0,43500.0,25.74,9.99,MA
12000.0,111000.0,5.78,14.16,MA
11000.0,110000.0,14.04,7.89,MA
35000.0,102000.0,14.2,16.99,MA
15000.0,57000.0,16.42,13.33,MA
23200.0,111000.0,16.47,10.49,MA
10000.0,44000.0,21.88,7.49,MA
20000.0,82000.0,15.66,22.40,MA
25000.0,85000.0,16.74,16.99,MA
27000.0,181000.0,7.03,5.32,MA
10000.0,43200.0,6.0,6.03,MA
19000.0,75000.0,10.86,17.57,MA
15000.0,92000.0,10.94,16.99,MA
12725.0,59000.0,13.59,15.59,MA
28000.0,90000.0,18.7,22.99,MA
15000.0,75000.0,5.1,8.18,MA
20950.0,90000.0,15.13,8.90,MA
10000.0,33000.0,23.96,13.98,MA
10000.0,38000.0,20.12,17.10,MA
9000.0,130000.0,32.11,21.98,MA
28000.0,130000.0,5.04,5.93,MA
13250.0,60000.0,13.66,14.85,MA
8000.0,80000.0,14.25,14.30,MA
17900.0,50000.0,10.73,12.69,MA
12000.0,55000.0,22.1,12.99,MA
24000.0,104000.0,7.48,11.55,MA
5000.0,40000.0,9.87,7.89,MA
30000.0,85000.0,24.13,9.99,MA
7025.0,62352.0,26.79,14.65,MA
11900.0,35000.0,27.61,14.33,MA
8400.0,95000.0,20.67,11.55,MA
19200.0,79000.0,24.37,12.59,MA
25000.0,100000.0,18.8,11.99,MA
11550.0,76000.0,35.94,16.99,MA
20000.0,70000.0,20.81,18.24,MA
24000.0,200000.0,6.9,6.49,MA
8000.0,70000.0,14.37,7.90,MA
10000.0,81000.0,13.97,9.17,MA
6025.0,35125.0,14.83,14.48,MA
28000.0,90000.0,26.08,15.88,MA
12000.0,116500.0,18.68,14.98,MA
21000.0,181000.0,23.42,14.30,MA
23450.0,51000.0,11.15,18.55,MA
14000.0,39000.0,17.57,22.90,MA
10000.0,71000.0,15.74,6.68,MA
7200.0,42000.0,10.89,16.77,MA
10000.0,72800.0,8.33,13.33,MA
10000.0,40000.0,6.12,17.57,MA
6300.0,84000.0,26.77,13.11,MA
17850.0,45000.0,36.03,21.99,MA
20000.0,74400.0,18.6,14.65,MA
21850.0,66000.0,32.53,14.09,MA
12550.0,30000.0,39.8,15.61,MA
24000.0,124176.0,15.24,18.25,MA
35000.0,77955.0,19.9,19.72,MA
10000.0,100000.0,34.73,10.99,MA
25000.0,80000.0,11.28,10.99,MA
20000.0,120000.0,4.63,7.89,MA
20000.0,80000.0,13.7,10.99,MA
10200.0,55000.0,13.88,10.15,MA
35000.0,103000.0,11.86,24.89,MA
6500.0,18000.0,7.0,12.49,MA
14675.0,40000.0,14.91,19.19,MA
14000.0,57000.0,16.19,10.99,MA
6100.0,24000.0,7.05,12.49,MA
7225.0,60000.0,20.44,10.99,MA
15000.0,69000.0,5.62,15.61,MA
10750.0,54000.0,23.16,11.67,MA
12000.0,92000.0,8.25,11.67,MA
5000.0,72000.0,11.98,6.49,MA
13375.0,64200.0,26.49,18.84,MA
24000.0,120000.0,25.53,13.11,MA
21000.0,160000.0,17.35,8.90,MA
13000.0,185000.0,16.91,5.93,MA
15000.0,51000.0,22.31,9.67,MA
28000.0,190000.0,21.44,24.50,MA
18250.0,57000.0,20.1,8.90,MA
8000.0,32000.0,21.05,6.89,MA
16000.0,360000.0,7.5,9.49,MA
30000.0,63000.0,15.67,12.99,MA
10000.0,60000.0,10.22,15.61,MA
35000.0,205000.0,7.12,18.92,MA
8000.0,55000.0,17.07,12.49,MA
30000.0,85000.0,29.58,14.65,MA
30000.0,82500.0,15.48,15.61,MA
11500.0,72000.0,22.52,24.50,MA
8125.0,55000.0,14.16,13.33,MA
20800.0,203000.0,3.89,7.69,MA
23925.0,80000.0,14.19,20.49,MA
25000.0,122000.0,23.35,16.55,MA
9000.0,105000.0,12.1,12.29,MA
