amnt,income,dti,rate,state
15000.0,41800.0,22.02,14.98,MD
23000.0,91440.0,14.59,6.54,MD
15250.0,36500.0,29.23,14.16,MD
23000.0,95000.0,16.59,14.47,MD
20000.0,102000.0,6.94,9.17,MD
21000.0,81500.0,14.99,14.33,MD
13425.0,68200.0,15.24,15.61,MD
25000.0,80000.0,7.38,16.99,MD
4000.0,80000.0,10.55,7.69,MD
35000.0,129734.0,15.17,17.86,MD
20000.0,59000.0,18.9,6.62,MD
20000.0,255000.0,14.48,17.57,MD
20000.0,100000.0,24.48,7.69,MD
3675.0,69857.0,17.4,18.75,MD
35000.0,125000.0,23.11,7.12,MD
30000.0,80000.0,10.65,16.55,MD
10000.0,95000.0,29.41,13.53,MD
11000.0,50000.0,14.11,14.49,MD
12000.0,68000.0,11.29,14.33,MD
9600.0,36076.8,27.38,16.55,MD
6000.0,113000.0,19.17,9.99,MD
35000.0,104000.0,9.94,19.97,MD
30000.0,186000.0,11.83,12.05,MD
8000.0,50000.0,9.41,10.16,MD
9000.0,180000.0,12.37,15.99,MD
18000.0,78000.0,5.7,6.03,MD
9000.0,25000.0,8.07,15.61,MD
15000.0,66000.0,27.89,12.12,MD
25000.0,92000.0,27.73,9.49,MD
18000.0,50000.0,6.7,22.47,MD
14400.0,95000.0,20.25,9.17,MD
4875.0,26460.0,7.48,8.90,MD
14750.0,58000.0,21.32,18.25,MD
22825.0,75500.0,31.74,18.25,MD
35000.0,92000.0,23.11,12.59,MD
16000.0,40000.0,11.1,16.02,MD
5000.0,31000.0,14.22,16.99,MD
13000.0,96000.0,18.58,13.98,MD
10000.0,78000.0,13.8,5.32,MD
32000.0,120406.0,7.8,25.57,MD
18900.0,45000.0,25.95,10.99,MD
14000.0,95800.0,21.68,12.99,MD
10650.0,42016.0,33.87,15.61,MD
15000.0,74000.0,20.0,8.18,MD
12000.0,74000.0,16.38,9.99,MD
20000.0,122000.0,7.34,11.53,MD
1200.0,81000.0,13.0,7.90,MD
14000.0,46742.0,16.97,17.57,MD
20000.0,105000.0,13.8,7.89,MD
15000.0,123000.0,7.42,17.86,MD
31200.0,87000.0,16.98,20.20,MD
7500.0,45000.0,12.59,8.90,MD
15000.0,113000.0,14.61,12.99,MD
6000.0,64000.0,28.48,12.69,MD
10000.0,80000.0,25.31,16.55,MD
13000.0,38000.0,27.67,14.64,MD
30000.0,109000.0,20.69,16.29,MD
15000.0,62000.0,29.68,7.26,MD
15000.0,70000.0,13.63,13.35,MD
30000.0,104000.0,23.38,13.33,MD
15000.0,78600.0,14.75,9.99,MD
10000.0,54000.0,23.47,18.55,MD
20000.0,98000.0,17.74,12.35,MD
9500.0,25000.0,30.62,18.99,MD
30000.0,80662.0,19.07,22.90,MD
30000.0,165000.0,4.13,19.99,MD
20000.0,147000.0,11.5,8.90,MD
28000.0,80000.0,11.48,12.49,MD
24925.0,117961.0,23.2,17.27,MD
20000.0,52000.0,29.42,20.49,MD
16000.0,56000.0,28.5,18.49,MD
17000.0,62863.92,13.61,7.62,MD
15000.0,78000.0,10.69,13.66,MD
13750.0,65000.0,11.26,17.57,MD
28000.0,66000.0,15.29,14.65,MD
10000.0,70000.0,5.62,15.61,MD
24000.0,80000.0,21.95,8.19,MD
18300.0,41600.0,18.41,19.47,MD
21000.0,83000.0,8.71,13.99,MD
8750.0,47500.0,26.28,15.61,MD
35000.0,110000.0,19.71,13.33,MD
5000.0,55000.0,32.88,15.61,MD
6000.0,50000.0,8.88,11.49,MD
22050.0,62000.0,16.72,19.22,MD
4625.0,48000.0,12.95,11.22,MD
14150.0,55000.0,6.55,9.99,MD
19550.0,65000.0,26.49,18.92,MD
4800.0,78000.0,7.03,15.81,MD
10000.0,52500.0,19.38,8.18,MD
14000.0,85000.0,15.7,17.86,MD
14450.0,110000.0,29.78,11.99,MD
17125.0,39000.0,38.37,15.61,MD
16500.0,39300.0,36.15,15.61,MD
35000.0,101000.0,27.37,12.29,MD
1175.0,65000.0,2.81,19.99,MD
5000.0,60000.0,12.98,20.20,MD
20000.0,107000.0,12.1,6.24,MD
7100.0,35000.0,17.83,17.57,MD
16450.0,57000.0,5.05,18.54,MD
24000.0,85000.0,7.65,15.80,MD
12000.0,100000.0,19.33,5.32,MD
7000.0,50000.0,16.66,6.39,MD
16525.0,58864.0,21.32,13.67,MD
6550.0,80000.0,35.48,16.99,MD
25000.0,60000.0,26.12,13.99,MD
9000.0,25800.0,26.37,14.49,MD
15850.0,90000.0,16.84,11.14,MD
12000.0,70000.0,8.63,10.99,MD
15700.0,144500.0,19.72,25.80,MD
4000.0,40000.0,14.34,13.53,MD
8625.0,24000.0,24.25,17.57,MD
5000.0,130000.0,7.08,9.17,MD
10000.0,79000.0,13.37,12.99,MD
20000.0,80000.0,24.23,6.89,MD
23150.0,77000.0,34.02,17.57,MD
7000.0,75000.0,5.6,9.99,MD
28000.0,117600.0,18.09,7.69,MD
24000.0,130000.0,12.49,7.62,MD
6800.0,68000.0,30.94,13.11,MD
16700.0,71791.0,28.4,10.49,MD
15000.0,65000.0,2.92,5.32,MD
20000.0,72000.0,32.68,13.99,MD
24000.0,150000.0,21.07,11.53,MD
12000.0,70000.0,15.21,7.49,MD
8000.0,52000.0,27.57,16.55,MD
22400.0,248000.0,8.26,14.99,MD
18050.0,130037.0,10.48,18.99,MD
12000.0,32000.0,23.26,17.14,MD
3350.0,21370.0,9.6,13.67,MD
20000.0,118000.0,5.73,13.11,MD
11875.0,34944.0,12.6,18.49,MD
12000.0,98300.0,32.85,17.86,MD
12000.0,75000.0,11.18,10.99,MD
6000.0,50000.0,25.71,15.61,MD
5000.0,44720.0,35.0,12.29,MD
21000.0,135000.0,15.97,19.99,MD
24000.0,158700.0,23.35,9.99,MD
10575.0,47200.0,19.68,19.47,MD
4000.0,54000.0,23.0,6.62,MD
5500.0,25920.0,14.54,15.61,MD
5000.0,69000.0,9.17,13.98,MD
10000.0,75000.0,11.7,12.99,MD
7500.0,90000.0,6.85,7.26,MD
4200.0,56000.0,20.64,14.09,MD
1300.0,26000.0,9.65,19.97,MD
9600.0,45000.0,21.96,10.15,MD
15000.0,75000.0,12.4,13.35,MD
13000.0,55000.0,28.95,17.27,MD
14400.0,50000.0,19.84,12.12,MD
30000.0,81000.0,21.24,18.25,MD
18000.0,95000.0,11.97,15.61,MD
4200.0,111000.0,20.8,11.14,MD
27000.0,80000.0,10.61,9.99,MD
10600.0,62296.0,13.62,9.76,MD
12000.0,75000.0,12.29,11.53,MD
31375.0,101000.0,16.09,19.52,MD
15000.0,60000.0,8.88,14.27,MD
20000.0,78728.0,26.32,23.43,MD
15000.0,88305.0,8.92,6.89,MD
35000.0,120000.0,10.88,16.20,MD
10000.0,75000.0,17.97,17.27,MD
6250.0,65000.0,26.18,11.55,MD
21075.0,73000.0,14.42,12.69,MD
20400.0,63000.0,15.18,17.56,MD
18200.0,52000.0,15.46,15.80,MD
18000.0,51000.0,14.87,13.67,MD
20000.0,87000.0,19.59,15.59,MD
16750.0,37500.0,18.59,15.31,MD
24000.0,78000.0,11.03,6.89,MD
10000.0,52000.0,27.3,9.17,MD
12000.0,60000.0,3.2,13.35,MD
26000.0,100000.0,14.28,14.49,MD
14175.0,89000.0,9.84,15.61,MD
13200.0,85000.0,7.19,9.99,MD
13200.0,139000.0,9.54,6.92,MD
34875.0,127000.0,13.33,18.84,MD
35000.0,107000.0,5.79,9.17,MD
5000.0,200000.0,3.72,7.43,MD
24000.0,95000.0,12.96,10.99,MD
5000.0,80000.0,7.17,11.99,MD
6500.0,47000.0,6.61,13.66,MD
12500.0,60400.0,21.22,12.29,MD
24000.0,84000.0,14.01,6.03,MD
23000.0,96271.0,25.78,13.53,MD
6000.0,50000.0,23.21,5.32,MD
15000.0,39000.0,29.11,15.61,MD
24000.0,120000.0,14.93,8.90,MD
9000.0,60000.0,7.98,14.99,MD
13000.0,180000.0,25.75,6.03,MD
18000.0,160000.0,26.0,17.86,MD
9600.0,97000.0,16.71,12.49,MD
2000.0,29460.0,5.5,12.99,MD
6000.0,56000.0,9.28,14.09,MD
10200.0,30000.0,15.36,21.67,MD
25000.0,114000.0,23.12,20.16,MD
5725.0,36000.0,12.43,7.89,MD
12500.0,115000.0,11.73,7.62,MD
20000.0,110000.0,8.49,21.48,MD
16975.0,34000.0,11.15,8.19,MD
6000.0,50000.0,24.97,11.67,MD
35000.0,170000.0,17.82,9.99,MD
35000.0,97936.0,18.6,20.20,MD
35000.0,157500.0,23.58,9.99,MD
12000.0,65000.0,7.68,8.18,MD
8400.0,25000.0,10.05,9.49,MD
7200.0,85000.0,9.01,5.32,MD
3000.0,125000.0,5.62,10.99,MD
7000.0,32000.0,34.81,17.86,MD
5500.0,38000.0,21.42,13.66,MD
15600.0,109000.0,6.11,11.14,MD
21600.0,107000.0,16.88,8.18,MD
6000.0,85000.0,11.05,9.17,MD
8000.0,100000.0,16.79,11.53,MD
16500.0,71000.0,22.35,18.25,MD
16000.0,45000.0,21.47,18.49,MD
5000.0,102000.0,14.4,13.33,MD
16000.0,70000.0,14.2,9.17,MD
15000.0,88500.0,13.59,13.98,MD
11200.0,38000.0,7.36,18.49,MD
35000.0,99000.0,16.54,13.33,MD
4500.0,1080000.0,0.57,7.88,MD
8000.0,49000.0,25.82,16.59,MD
10000.0,78000.0,15.54,11.44,MD
2000.0,30000.0,12.48,13.05,MD
10000.0,75000.0,8.67,6.68,MD
10000.0,67000.0,6.59,8.18,MD
2400.0,32000.0,19.65,12.99,MD
9750.0,29000.0,16.78,16.29,MD
32000.0,87000.0,7.24,10.99,MD
8000.0,63000.0,11.37,18.92,MD
10000.0,35364.0,19.88,9.32,MD
12000.0,60000.0,15.38,13.68,MD
20000.0,65000.0,20.25,17.86,MD
35000.0,86000.0,21.96,17.57,MD
30000.0,85000.0,17.12,18.24,MD
20000.0,97000.0,24.64,9.99,MD
35000.0,88000.0,21.44,13.99,MD
20000.0,55000.0,27.05,9.17,MD
10000.0,94937.0,14.26,12.12,MD
13200.0,60000.0,28.54,8.49,MD
7375.0,55000.0,19.66,13.67,MD
10625.0,31000.0,19.82,7.90,MD
10000.0,41375.0,5.71,16.29,MD
35000.0,138500.0,20.77,20.31,MD
9950.0,30000.0,25.88,15.31,MD
20000.0,130000.0,5.29,7.12,MD
20000.0,180000.0,3.8,6.03,MD
6000.0,56560.0,12.62,19.20,MD
3500.0,74000.0,18.19,13.80,MD
10000.0,150000.0,4.77,6.99,MD
15000.0,52000.0,13.04,13.99,MD
24000.0,70000.0,10.7,11.67,MD
7000.0,83000.0,24.5,10.64,MD
10000.0,157000.0,10.51,12.39,MD
16000.0,125000.0,8.56,8.90,MD
24000.0,72000.0,24.22,12.69,MD
