amnt,income,dti,rate,state
30450.0,65000.0,37.09,18.49,ME
35000.0,90000.0,21.35,18.20,ME
28000.0,165000.0,15.89,9.17,ME
15000.0,65000.0,22.08,9.17,ME
35000.0,85000.0,6.49,11.99,ME
30000.0,60000.0,22.82,17.57,ME
5000.0,47000.0,15.91,13.67,ME
8400.0,17000.0,36.86,13.67,ME
15000.0,51000.0,17.08,19.99,ME
12000.0,45000.0,11.36,7.89,ME
5775.0,46000.0,33.63,12.59,ME
17850.0,49584.0,31.15,13.99,ME
16000.0,62500.0,14.46,10.64,ME
15000.0,115000.0,9.04,8.18,ME
2500.0,13632.0,24.56,10.99,ME
20000.0,100000.0,12.28,9.17,ME
5600.0,27000.0,21.91,8.38,ME
9000.0,50000.0,20.16,11.49,ME
22250.0,70000.0,21.94,16.99,ME
7000.0,28000.0,37.25,13.18,ME
16800.0,50000.0,19.9,13.99,ME
8000.0,58000.0,17.71,8.18,ME
12000.0,50000.0,18.41,9.17,ME
12000.0,68750.0,18.85,12.05,ME
