amnt,income,dti,rate,state
7500.0,30000.0,28.2,7.89,MI
5000.0,79000.0,0.33,9.17,MI
4000.0,20000.0,26.11,12.85,MI
27125.0,92000.0,27.26,17.57,MI
10000.0,130000.0,13.63,9.99,MI
8000.0,36000.0,12.5,9.62,MI
25000.0,75000.0,11.75,14.30,MI
10050.0,40000.0,11.82,10.99,MI
6400.0,25000.0,26.16,15.61,MI
35000.0,79000.0,23.52,19.52,MI
9800.0,186000.0,13.08,9.99,MI
35000.0,82000.0,34.42,20.49,MI
26925.0,90000.0,36.21,13.98,MI
10000.0,50000.0,12.31,10.99,MI
7200.0,36000.0,26.23,10.16,MI
11000.0,43000.0,27.6,7.89,MI
10000.0,38000.0,21.16,7.69,MI
30000.0,80000.0,17.26,10.99,MI
10500.0,25000.0,34.61,23.99,MI
7000.0,30000.0,24.28,10.99,MI
12875.0,85000.0,19.65,11.71,MI
18000.0,48000.0,26.15,8.18,MI
10800.0,98000.0,16.46,13.33,MI
12000.0,38000.0,23.97,13.33,MI
31350.0,95000.0,15.82,13.98,MI
10200.0,45000.0,6.88,14.47,MI
24000.0,67000.0,24.49,7.90,MI
25000.0,69000.0,8.37,18.49,MI
8000.0,97000.0,21.83,13.66,MI
8000.0,91000.0,22.61,14.16,MI
30000.0,140000.0,23.87,7.26,MI
4675.0,11270.0,28.01,15.61,MI
24475.0,68000.0,12.88,13.67,MI
13750.0,38255.0,5.77,19.24,MI
3000.0,34000.0,29.44,11.67,MI
6000.0,138000.0,21.16,13.35,MI
30000.0,83200.0,22.73,11.49,MI
8000.0,40000.0,17.79,12.99,MI
9000.0,105000.0,22.8,9.17,MI
4000.0,25000.0,18.86,13.11,MI
2500.0,9900.0,19.76,7.14,MI
10000.0,50000.0,25.56,14.65,MI
27600.0,95000.0,12.34,22.99,MI
35000.0,300000.0,2.77,9.99,MI
10000.0,50000.0,6.46,9.99,MI
10500.0,53500.0,13.57,12.99,MI
3000.0,70000.0,25.3,7.12,MI
16000.0,59055.0,23.27,11.44,MI
20800.0,70000.0,3.39,18.55,MI
20000.0,70000.0,27.34,13.33,MI
6000.0,120000.0,11.16,7.49,MI
15000.0,92000.0,7.23,12.69,MI
12000.0,65000.0,14.27,13.66,MI
17625.0,60000.0,17.62,8.90,MI
12000.0,70000.0,8.62,16.99,MI
8500.0,34000.0,15.28,10.49,MI
12000.0,70000.0,14.86,15.31,MI
11200.0,43000.0,31.09,19.22,MI
7000.0,22000.0,38.03,18.54,MI
20000.0,250000.0,11.89,6.03,MI
3000.0,44000.0,23.51,13.67,MI
2200.0,31100.0,23.39,7.90,MI
5500.0,55000.0,9.99,11.14,MI
7500.0,67000.0,7.92,13.99,MI
20000.0,95000.0,11.89,18.55,MI
8400.0,20000.0,30.79,17.57,MI
20125.0,75000.0,5.92,15.10,MI
30525.0,210000.0,7.01,19.99,MI
35000.0,113000.0,25.22,17.57,MI
18000.0,107000.0,9.33,7.89,MI
24000.0,190000.0,16.52,14.65,MI
10000.0,40000.0,23.97,7.90,MI
5800.0,80000.0,9.06,12.29,MI
15000.0,74000.0,20.09,9.67,MI
20000.0,140000.0,19.84,22.90,MI
4000.0,70000.0,14.18,6.03,MI
24000.0,82000.0,15.12,14.65,MI
35000.0,100000.0,32.92,18.25,MI
8000.0,30000.0,16.52,17.86,MI
10000.0,46000.0,15.6,12.12,MI
5000.0,35600.0,15.91,9.17,MI
4350.0,18200.0,24.27,19.99,MI
19800.0,65004.0,11.26,19.91,MI
12800.0,38000.0,21.41,8.90,MI
13625.0,92000.0,8.13,20.20,MI
12000.0,80000.0,9.84,8.18,MI
9000.0,26520.0,27.1,10.99,MI
26000.0,104000.0,21.31,17.57,MI
28000.0,100000.0,23.15,9.17,MI
9000.0,60000.0,16.54,12.39,MI
31425.0,75000.0,30.02,23.43,MI
25000.0,63800.0,30.0,10.99,MI
10000.0,55000.0,25.16,13.35,MI
18875.0,90000.0,12.4,15.31,MI
21075.0,80000.0,36.08,17.86,MI
25000.0,132000.0,18.51,10.99,MI
10000.0,35000.0,17.9,7.89,MI
12000.0,106000.0,7.5,6.62,MI
20000.0,115000.0,13.7,11.53,MI
11500.0,50000.0,7.39,17.56,MI
14000.0,60000.0,16.48,13.67,MI
20000.0,40000.0,22.59,17.57,MI
6000.0,41591.25,28.43,6.99,MI
10000.0,52000.0,20.29,14.99,MI
14000.0,67000.0,19.36,7.69,MI
15000.0,40000.0,31.56,15.61,MI
25000.0,75000.0,23.92,14.49,MI
11000.0,56000.0,24.43,10.99,MI
30800.0,70000.0,19.7,18.55,MI
14400.0,76000.0,15.96,11.99,MI
12000.0,56000.0,18.39,13.99,MI
31000.0,110000.0,25.05,14.33,MI
17475.0,38000.0,21.83,16.59,MI
8000.0,25000.0,30.53,8.18,MI
12000.0,60000.0,8.96,6.03,MI
15000.0,57000.0,15.26,8.18,MI
24000.0,60000.0,21.84,17.57,MI
3000.0,18000.0,25.87,11.99,MI
17000.0,55000.0,23.15,9.17,MI
24700.0,65000.0,20.33,20.49,MI
8000.0,60000.0,32.34,7.89,MI
13000.0,48000.0,25.51,7.49,MI
5600.0,160000.0,10.57,7.62,MI
23600.0,66231.0,26.53,16.55,MI
22950.0,65000.0,12.0,15.80,MI
33025.0,224000.0,1.68,21.99,MI
15200.0,63000.0,19.64,7.26,MI
23850.0,53000.0,35.71,18.25,MI
4800.0,16000.0,31.13,17.57,MI
12375.0,30000.0,24.32,16.99,MI
7500.0,98000.0,14.84,8.18,MI
8000.0,39000.0,29.17,18.25,MI
28000.0,125000.0,18.87,12.69,MI
20000.0,53000.0,21.11,13.66,MI
18500.0,66500.0,18.58,13.98,MI
20000.0,70000.0,8.55,10.99,MI
18000.0,154000.0,15.96,7.89,MI
6475.0,33280.0,22.0,8.18,MI
10625.0,66500.0,9.17,6.62,MI
24000.0,50000.0,38.04,16.55,MI
6400.0,65000.0,9.71,11.53,MI
5500.0,41000.0,11.71,9.17,MI
2500.0,100000.0,8.9,9.17,MI
14400.0,80000.0,21.62,6.89,MI
3000.0,43000.0,21.68,18.39,MI
10400.0,42000.0,18.63,13.98,MI
17625.0,41000.0,15.83,16.29,MI
4500.0,35238.0,16.04,12.99,MI
24000.0,147000.0,19.17,5.32,MI
14000.0,67000.0,12.0,13.66,MI
17700.0,111000.0,9.12,15.99,MI
17400.0,53800.0,23.31,7.49,MI
6400.0,90000.0,12.87,6.03,MI
9000.0,85000.0,19.0,12.29,MI
14000.0,120000.0,14.29,14.98,MI
6000.0,70000.0,5.97,9.17,MI
12500.0,48850.0,32.8,8.18,MI
10000.0,45664.0,21.16,12.69,MI
35000.0,115000.0,10.23,15.61,MI
16000.0,138500.0,24.44,5.32,MI
25000.0,75000.0,18.91,12.99,MI
11750.0,35500.0,9.09,20.99,MI
4000.0,72000.0,11.38,8.67,MI
10000.0,55000.0,22.08,18.49,MI
12000.0,40000.0,10.32,14.49,MI
12000.0,86000.0,16.36,7.49,MI
28000.0,110000.0,23.79,14.99,MI
26500.0,63230.0,25.19,24.50,MI
