amnt,income,dti,rate,state
16600.0,131587.0,18.06,7.49,MN
14000.0,71000.0,15.06,8.18,MN
5200.0,40000.0,11.22,13.35,MN
7800.0,46100.0,26.03,12.49,MN
10500.0,37000.0,30.52,16.29,MN
10400.0,27000.0,26.91,12.12,MN
3900.0,60000.0,7.2,9.17,MN
35000.0,110000.0,24.75,16.99,MN
10500.0,42000.0,20.66,12.29,MN
24200.0,75675.0,36.14,17.57,MN
21075.0,48000.0,29.08,24.08,MN
18000.0,98000.0,19.07,10.99,MN
14400.0,45000.0,13.41,11.48,MN
18000.0,44000.0,31.1,15.61,MN
21000.0,100000.0,16.56,7.90,MN
6000.0,41000.0,9.25,9.17,MN
8400.0,55700.0,27.19,9.17,MN
35000.0,120000.0,31.07,13.35,MN
11200.0,75000.0,19.13,5.32,MN
12000.0,63500.0,15.37,10.99,MN
16800.0,60000.0,7.32,12.69,MN
3000.0,56160.0,2.69,13.35,MN
13000.0,70000.0,22.29,8.19,MN
35000.0,128000.0,12.35,23.99,MN
22000.0,53900.0,4.23,5.32,MN
6000.0,40000.0,19.86,12.69,MN
24725.0,107200.0,16.7,14.49,MN
18000.0,60000.0,17.92,9.99,MN
3500.0,56000.0,19.03,6.49,MN
30000.0,69561.0,15.36,12.39,MN
35000.0,100000.0,15.88,14.31,MN
10000.0,132000.0,11.24,7.89,MN
6000.0,113000.0,1.82,8.90,MN
23100.0,72381.0,23.68,19.24,MN
8000.0,66315.0,27.73,8.18,MN
9400.0,87000.0,33.16,14.65,MN
19300.0,75000.0,38.15,12.69,MN
22875.0,52000.0,23.24,17.57,MN
12000.0,65000.0,28.18,7.89,MN
12000.0,130000.0,2.43,12.69,MN
21125.0,118000.0,6.64,24.99,MN
30000.0,120000.0,27.5,16.55,MN
7500.0,61200.0,19.57,11.53,MN
16500.0,45000.0,12.96,9.49,MN
23000.0,90000.0,6.15,6.89,MN
19000.0,70000.0,18.69,11.99,MN
10000.0,80571.0,22.78,9.17,MN
9600.0,27000.0,19.33,12.69,MN
12750.0,98000.0,4.1,8.39,MN
4800.0,65000.0,27.45,10.49,MN
28600.0,65000.0,26.74,18.55,MN
9600.0,32000.0,19.62,19.99,MN
19500.0,55000.0,11.72,15.81,MN
5000.0,33000.0,1.64,6.49,MN
16000.0,63000.0,19.11,7.26,MN
12000.0,57000.0,13.75,17.86,MN
18000.0,100000.0,20.1,8.18,MN
10000.0,90000.0,5.77,12.49,MN
7200.0,55000.0,25.85,17.10,MN
35000.0,85000.0,17.79,7.90,MN
35000.0,300000.0,27.67,9.17,MN
2100.0,12000.0,13.8,12.69,MN
8500.0,67000.0,24.88,6.89,MN
5000.0,115000.0,14.12,8.18,MN
22800.0,51717.0,18.19,15.61,MN
8000.0,42000.0,3.14,9.99,MN
10000.0,50000.0,17.93,13.11,MN
7200.0,75000.0,13.07,21.15,MN
14000.0,110000.0,21.11,10.99,MN
22000.0,49689.0,25.77,22.95,MN
25200.0,64000.0,16.59,7.49,MN
24000.0,60000.0,28.12,9.17,MN
15000.0,49000.0,15.45,17.10,MN
8050.0,17500.0,21.33,13.18,MN
20000.0,53000.0,21.28,13.05,MN
14400.0,45000.0,25.17,19.99,MN
10500.0,24000.0,19.0,10.15,MN
20000.0,72012.0,16.45,11.99,MN
16000.0,100000.0,21.07,13.18,MN
11250.0,40000.0,23.79,16.29,MN
10000.0,24000.0,6.75,8.38,MN
10000.0,75000.0,11.28,6.68,MN
7000.0,37311.0,10.92,12.88,MN
16000.0,49000.0,24.39,9.99,MN
18000.0,175000.0,13.17,7.62,MN
35000.0,220000.0,12.03,14.33,MN
12000.0,50000.0,19.66,8.67,MN
8000.0,65000.0,8.47,13.66,MN
9250.0,84000.0,10.09,16.99,MN
20000.0,53500.0,32.82,17.86,MN
21200.0,53000.0,24.5,17.57,MN
10450.0,110000.0,4.31,13.35,MN
18000.0,136000.0,17.19,21.99,MN
10000.0,63000.0,5.07,8.90,MN
18000.0,90000.0,28.64,11.44,MN
11000.0,33000.0,26.44,15.31,MN
20000.0,48946.0,33.03,10.99,MN
35000.0,105000.0,13.81,17.10,MN
8400.0,70000.0,13.31,9.17,MN
28000.0,110000.0,15.9,17.57,MN
15000.0,110000.0,13.13,11.71,MN
16000.0,35000.0,24.52,15.61,MN
12550.0,47000.0,24.11,14.65,MN
20000.0,117000.0,24.85,10.99,MN
5000.0,45000.0,14.24,6.92,MN
3075.0,15264.0,5.5,21.49,MN
2000.0,71800.0,21.71,10.64,MN
33000.0,135000.0,24.33,11.53,MN
8775.0,42000.0,13.51,14.99,MN
10000.0,50000.0,19.34,12.12,MN
35000.0,400000.0,9.95,9.99,MN
10750.0,60000.0,9.44,17.86,MN
5200.0,65000.0,35.93,12.99,MN
8000.0,20000.0,34.99,10.15,MN
6075.0,17000.0,5.65,24.50,MN
6450.0,22000.0,5.46,15.61,MN
4000.0,80000.0,8.54,13.11,MN
4000.0,38000.0,16.9,13.67,MN
9000.0,72000.0,17.2,7.26,MN
5000.0,24000.0,17.3,10.74,MN
14400.0,36000.0,34.23,14.99,MN
15000.0,54300.0,30.63,19.19,MN
11000.0,40000.0,23.58,16.99,MN
14400.0,40000.0,13.62,12.49,MN
