amnt,income,dti,rate,state
28000.0,98000.0,14.24,9.17,MO
16000.0,45000.0,29.68,17.14,MO
3000.0,22000.0,31.86,9.99,MO
4500.0,60000.0,10.95,13.99,MO
14000.0,33280.0,16.3,9.99,MO
12000.0,46975.0,12.16,13.99,MO
14000.0,54000.0,12.7,11.99,MO
15775.0,39500.0,27.56,23.43,MO
4000.0,70000.0,28.6,13.99,MO
10000.0,27996.0,22.97,9.63,MO
9600.0,75000.0,16.42,12.35,MO
28000.0,120000.0,15.13,15.61,MO
5500.0,25000.0,11.23,6.89,MO
35000.0,145000.0,14.02,12.39,MO
35000.0,127504.0,25.53,10.49,MO
10000.0,63000.0,16.51,18.75,MO
7000.0,82000.0,18.47,7.69,MO
15000.0,48440.0,20.5,15.61,MO
8625.0,25584.0,25.0,14.99,MO
2800.0,46000.0,19.93,10.99,MO
12000.0,37000.0,25.75,15.61,MO
21000.0,50000.0,14.33,13.33,MO
28000.0,83000.0,20.86,19.19,MO
6000.0,42000.0,4.31,9.17,MO
14475.0,40000.0,10.65,12.59,MO
3600.0,44000.0,17.04,5.79,MO
12000.0,120000.0,8.01,18.25,MO
18000.0,50000.0,8.74,22.90,MO
24000.0,83000.0,25.07,16.99,MO
15000.0,65000.0,8.57,6.24,MO
8275.0,27000.0,30.27,13.33,MO
10625.0,38000.0,24.38,17.86,MO
30000.0,80000.0,13.44,13.66,MO
5000.0,187000.0,10.63,9.99,MO
13000.0,79000.0,18.33,15.88,MO
3600.0,32000.0,15.75,13.98,MO
10000.0,42000.0,11.09,10.75,MO
8500.0,75000.0,12.4,6.03,MO
17000.0,91000.0,21.24,7.89,MO
8000.0,119000.0,20.37,8.19,MO
2400.0,70000.0,5.57,12.99,MO
18725.0,42000.0,25.11,22.95,MO
7500.0,55000.0,15.1,13.55,MO
6000.0,175000.0,15.63,10.99,MO
6500.0,18100.0,7.43,15.61,MO
16950.0,53000.0,20.34,13.18,MO
7200.0,48000.0,7.3,12.35,MO
10625.0,31000.0,15.52,14.33,MO
8000.0,76000.0,14.38,9.17,MO
10000.0,50000.0,14.45,13.11,MO
7500.0,73000.0,11.74,13.22,MO
8400.0,80000.0,3.95,13.33,MO
15000.0,65000.0,11.82,11.99,MO
22800.0,65744.0,26.27,18.20,MO
24000.0,70000.0,24.93,12.29,MO
9600.0,65000.0,21.55,9.17,MO
10000.0,74450.0,7.43,16.99,MO
20000.0,60000.0,13.36,19.19,MO
30000.0,83500.0,21.14,10.49,MO
17000.0,71000.0,20.79,9.17,MO
21000.0,76000.0,23.86,8.67,MO
12500.0,39000.0,11.42,14.47,MO
30000.0,102500.0,22.51,21.70,MO
9175.0,72500.0,37.31,14.99,MO
16000.0,60700.0,25.17,19.52,MO
12000.0,45500.0,18.12,11.14,MO
10000.0,40000.0,27.48,24.99,MO
21000.0,100000.0,27.0,14.30,MO
19075.0,60000.0,19.49,14.33,MO
1500.0,30000.0,31.58,13.33,MO
16000.0,100000.0,21.19,9.99,MO
18000.0,41000.0,9.34,12.69,MO
6500.0,92000.0,13.29,11.53,MO
4200.0,41200.0,19.87,8.90,MO
9825.0,28000.0,24.56,12.99,MO
8500.0,32000.0,7.65,13.33,MO
35000.0,115000.0,22.51,15.99,MO
3500.0,40000.0,29.52,16.55,MO
27600.0,66000.0,30.25,26.77,MO
20000.0,82000.0,22.29,11.14,MO
6400.0,35000.0,20.68,7.69,MO
35000.0,250000.0,13.85,10.99,MO
15000.0,80000.0,19.64,14.99,MO
7000.0,68000.0,23.99,13.98,MO
8000.0,70100.0,19.71,10.49,MO
3000.0,27000.0,28.84,16.29,MO
10000.0,97000.0,11.16,13.11,MO
2000.0,110000.0,28.04,15.61,MO
8500.0,62000.0,17.6,12.99,MO
20000.0,90000.0,12.03,13.33,MO
3875.0,33120.0,24.42,10.99,MO
16000.0,47000.0,3.57,13.99,MO
7200.0,40000.0,30.57,14.65,MO
5000.0,67000.0,13.76,10.99,MO
13000.0,37800.0,21.59,19.99,MO
15875.0,40000.0,23.55,19.72,MO
17000.0,70000.0,24.02,6.03,MO
11000.0,46000.0,29.32,6.68,MO
15000.0,70000.0,23.52,6.62,MO
13000.0,70000.0,24.55,11.14,MO
25000.0,61597.0,11.88,16.55,MO
24000.0,100000.0,7.85,8.90,MO
15000.0,50000.0,15.53,15.61,MO
7200.0,36000.0,31.61,13.67,MO
16450.0,52000.0,16.15,12.12,MO
7000.0,35000.0,18.89,13.11,MO
35000.0,76000.0,30.58,18.55,MO
16000.0,54000.0,29.42,13.33,MO
30000.0,99000.0,23.94,8.38,MO
8400.0,48000.0,15.75,11.14,MO
20000.0,80000.0,27.47,8.90,MO
12000.0,28080.0,24.89,16.99,MO
6800.0,23000.0,29.38,12.49,MO
24000.0,70000.0,35.04,14.31,MO
7000.0,30000.0,20.48,7.26,MO
4950.0,36000.0,29.63,17.57,MO
24375.0,79800.0,25.29,22.95,MO
30000.0,100000.0,26.34,20.49,MO
16550.0,46900.0,27.81,7.90,MO
3000.0,17000.0,22.24,13.11,MO
20000.0,95000.0,16.31,11.67,MO
20000.0,50000.0,30.27,14.48,MO
6000.0,42000.0,16.69,12.69,MO
6000.0,91000.0,8.89,12.12,MO
30000.0,98000.0,23.58,12.99,MO
15000.0,70000.0,33.93,9.17,MO
10600.0,31000.0,32.17,13.11,MO
8000.0,85000.0,18.3,7.26,MO
24000.0,120000.0,21.11,10.49,MO
5000.0,35000.0,25.82,17.57,MO
12000.0,65000.0,10.8,12.29,MO
10000.0,41000.0,5.62,8.18,MO
14400.0,46900.0,24.92,10.15,MO
20000.0,85000.0,13.17,15.61,MO
15000.0,135000.0,11.29,14.48,MO
12000.0,43000.0,31.9,16.99,MO
2800.0,43000.0,14.6,17.77,MO
13600.0,82000.0,16.8,13.33,MO
18250.0,63000.0,26.08,8.90,MO
10425.0,29000.0,26.16,19.99,MO
10800.0,30000.0,9.6,19.52,MO
10000.0,55000.0,10.69,9.17,MO
35000.0,100000.0,22.56,15.80,MO
19000.0,60000.0,19.6,19.52,MO
8875.0,65000.0,4.95,18.85,MO
26400.0,70000.0,14.52,17.57,MO
12525.0,65000.0,15.74,5.32,MO
23325.0,63500.0,21.11,9.17,MO
30000.0,109000.0,14.61,9.99,MO
20800.0,55000.0,26.34,13.66,MO
20000.0,111600.0,16.06,13.67,MO
20050.0,51228.0,22.04,14.99,MO
16000.0,72000.0,12.5,8.18,MO
9500.0,34000.0,22.91,13.67,MO
