amnt,income,dti,rate,state
10800.0,70000.0,25.42,12.39,MS
35000.0,100000.0,16.56,12.29,MS
9925.0,42000.0,26.03,19.19,MS
15325.0,60000.0,31.52,19.24,MS
23000.0,57843.0,21.0,11.53,MS
21000.0,68000.0,15.76,12.99,MS
22000.0,50000.0,19.23,23.43,MS
25000.0,70000.0,22.1,10.15,MS
22250.0,58769.51,14.07,24.50,MS
11475.0,59000.0,32.22,13.35,MS
4100.0,52000.0,7.8,16.99,MS
26650.0,58000.0,3.04,22.15,MS
5000.0,150000.0,11.08,9.17,MS
19400.0,48500.0,23.5,18.99,MS
1000.0,58000.0,27.06,15.61,MS
13500.0,30000.0,31.88,13.35,MS
17500.0,68000.0,28.27,13.33,MS
25000.0,74000.0,16.75,6.24,MS
14000.0,50086.5,19.79,11.67,MS
5600.0,90000.0,31.14,8.38,MS
15000.0,60000.0,19.68,14.99,MS
7200.0,43000.0,28.55,9.99,MS
8000.0,34368.0,26.22,9.17,MS
25000.0,85000.0,6.58,14.33,MS
5000.0,32400.0,17.19,12.49,MS
5000.0,54000.0,17.42,6.92,MS
30200.0,75000.0,9.58,18.55,MS
23500.0,107000.0,19.13,11.67,MS
7300.0,55000.0,15.3,10.15,MS
28000.0,90000.0,22.21,18.25,MS
5150.0,43000.0,5.69,24.08,MS
14625.0,45000.0,32.93,13.18,MS
23475.0,49000.0,27.58,17.57,MS
6000.0,20000.0,20.71,20.99,MS
12000.0,34500.0,20.7,9.99,MS
35000.0,81600.0,29.12,15.41,MS
9000.0,45000.0,15.27,16.29,MS
24000.0,70000.0,18.33,15.61,MS
35000.0,130000.0,24.7,13.18,MS
6000.0,35000.0,21.4,12.99,MS
20000.0,67000.0,30.29,16.55,MS
6500.0,42000.0,9.11,6.92,MS
20000.0,50000.0,19.9,18.55,MS
7000.0,22000.0,16.91,9.17,MS
35000.0,76000.0,27.98,15.61,MS
25825.0,68000.0,28.96,21.99,MS
15550.0,52011.0,19.8,17.86,MS
8500.0,50921.28,31.48,13.98,MS
8400.0,50000.0,21.05,11.67,MS
21075.0,46000.0,30.73,24.08,MS
24000.0,79000.0,20.19,13.33,MS
23000.0,55000.0,25.75,18.99,MS
5000.0,35000.0,17.32,7.12,MS
4000.0,14000.0,17.92,12.29,MS
33950.0,68000.0,26.26,19.24,MS
6000.0,57600.0,4.88,7.69,MS
10000.0,50000.0,16.8,19.99,MS
10000.0,40000.0,30.68,13.33,MS
6000.0,35000.0,17.32,9.17,MS
9000.0,120000.0,9.87,5.32,MS
16500.0,37500.0,36.88,17.57,MS
2400.0,45000.0,18.05,12.69,MS
12000.0,60000.0,26.4,9.17,MS
11000.0,100000.0,14.22,13.99,MS
8000.0,50000.0,14.64,10.15,MS
22000.0,55000.0,30.95,17.14,MS
7400.0,50000.0,17.86,12.69,MS
20000.0,65000.0,34.31,9.99,MS
15000.0,60000.0,24.26,18.55,MS
6000.0,36000.0,27.2,8.67,MS
30000.0,88000.0,19.68,12.49,MS
15000.0,94000.0,17.64,9.17,MS
10000.0,62000.0,15.99,20.49,MS
5100.0,50000.0,28.42,18.99,MS
24000.0,118800.0,16.23,11.67,MS
19200.0,48000.0,12.53,15.61,MS
22900.0,80000.0,10.29,14.99,MS
8000.0,63000.0,9.54,11.67,MS
12000.0,67000.0,11.68,12.69,MS
5500.0,60000.0,35.4,15.61,MS
20000.0,67600.0,32.11,12.59,MS
17600.0,50000.0,36.92,16.55,MS
20000.0,87000.0,26.94,15.61,MS
18000.0,52000.0,24.99,18.25,MS
18000.0,92000.0,12.42,13.33,MS
29775.0,91814.0,20.48,13.33,MS
9100.0,39000.0,6.18,16.55,MS
15600.0,93000.0,14.05,6.68,MS
21050.0,45000.0,15.6,8.67,MS
12000.0,45000.0,28.08,7.26,MS
16150.0,100000.0,16.52,20.20,MS
8000.0,75000.0,27.76,7.26,MS
12200.0,55200.0,28.59,17.57,MS
35000.0,125000.0,19.99,17.57,MS
24000.0,59000.0,31.96,13.33,MS
19600.0,74000.0,14.53,13.35,MS
15000.0,60000.0,17.56,12.39,MS
5000.0,35000.0,20.34,14.99,MS
16000.0,52000.0,13.75,7.26,MS
11000.0,90000.0,7.0,6.03,MS
24000.0,80000.0,20.25,16.29,MS
8000.0,26000.0,39.34,12.39,MS
7550.0,42000.0,9.31,13.35,MS
5750.0,78000.0,16.49,14.99,MS
6600.0,15000.0,19.92,16.49,MS
10000.0,40200.0,20.57,15.41,MS
18000.0,65000.0,15.81,10.15,MS
10575.0,42000.0,20.77,17.86,MS
20000.0,82000.0,23.91,8.18,MS
18000.0,45500.0,38.17,12.59,MS
9800.0,36000.0,26.6,13.99,MS
5000.0,64000.0,17.66,12.29,MS
6000.0,60000.0,37.15,13.99,MS
25000.0,79300.0,15.23,15.41,MS
6000.0,45000.0,11.86,10.99,MS
1000.0,23500.0,29.72,15.61,MS
16000.0,62500.0,15.78,15.59,MS
24000.0,77000.0,21.57,17.57,MS
8400.0,100000.0,16.98,9.17,MS
21200.0,53000.0,36.68,20.99,MS
10000.0,31200.0,15.14,15.99,MS
13900.0,42906.0,20.17,8.18,MS
26400.0,96000.0,10.14,18.55,MS
10000.0,34000.0,14.75,7.89,MS
7550.0,65000.0,36.95,17.57,MS
10000.0,40000.0,36.96,12.69,MS
15000.0,43300.0,13.89,9.17,MS
13500.0,50000.0,20.31,11.53,MS
12175.0,80000.0,24.65,13.67,MS
20000.0,42000.0,29.66,7.89,MS
8000.0,50000.0,13.08,13.33,MS
10000.0,45000.0,11.07,7.89,MS
28200.0,94020.0,24.95,8.67,MS
21600.0,45000.0,33.07,12.99,MS
