amnt,income,dti,rate,state
23000.0,81000.0,23.41,6.89,MT
2850.0,35000.0,20.57,15.80,MT
1675.0,30000.0,11.45,17.57,MT
15000.0,44882.88,32.01,14.99,MT
8000.0,24000.0,23.7,14.65,MT
35000.0,70000.0,22.94,16.24,MT
6000.0,51000.0,6.8,13.11,MT
24000.0,102000.0,21.02,19.05,MT
35000.0,130000.0,28.99,14.99,MT
18000.0,70000.0,17.97,12.69,MT
21000.0,75000.0,7.52,7.62,MT
20000.0,70000.0,18.51,17.56,MT
4000.0,70000.0,21.02,13.68,MT
10000.0,40000.0,11.41,10.99,MT
10000.0,36000.0,17.93,14.99,MT
10500.0,81400.0,17.75,7.90,MT
10000.0,55000.0,18.52,9.67,MT
10000.0,34000.0,17.2,18.55,MT
6150.0,24000.0,34.95,17.57,MT
35000.0,90000.0,15.21,21.15,MT
6900.0,43000.0,27.24,16.78,MT
8000.0,36000.0,33.97,7.89,MT
13600.0,47000.0,23.78,13.99,MT
10000.0,54000.0,28.78,15.61,MT
19200.0,123000.0,22.78,12.39,MT
2000.0,47000.0,28.58,9.17,MT
10000.0,114000.0,5.52,6.99,MT
2300.0,98007.0,7.01,6.62,MT
13000.0,50000.0,16.87,20.20,MT
10000.0,75000.0,18.66,10.99,MT
5000.0,56000.0,16.69,17.27,MT
20000.0,48000.0,17.68,15.61,MT
8000.0,19800.0,20.0,7.29,MT
9000.0,75000.0,17.6,14.65,MT
8600.0,23500.0,12.51,13.35,MT
15000.0,96000.0,9.14,13.33,MT
35000.0,80000.0,8.19,10.99,MT
14000.0,36000.0,34.73,10.99,MT
12000.0,134000.0,6.3,9.71,MT
25000.0,110000.0,23.62,6.49,MT
14000.0,63000.0,18.55,18.55,MT
24925.0,65000.0,13.45,6.62,MT
35000.0,85000.0,28.49,12.49,MT
20000.0,70000.0,16.9,7.26,MT
5000.0,37372.0,25.27,13.33,MT
5600.0,11688.0,0.0,13.48,MT
7250.0,60000.0,28.46,12.49,MT
7525.0,50000.0,7.11,7.90,MT
23900.0,48000.0,4.63,14.31,MT
9825.0,55000.0,15.43,14.33,MT
2500.0,101000.0,13.76,13.47,MT
20000.0,64850.0,34.38,17.14,MT
16200.0,95000.0,14.08,7.90,MT
6000.0,36336.0,17.27,13.53,MT
6000.0,52000.0,20.91,6.24,MT
2000.0,130000.0,21.7,10.99,MT
6450.0,13000.0,29.18,11.53,MT
7800.0,34500.0,5.5,11.99,MT
30000.0,110000.0,12.79,9.99,MT
35000.0,60000.0,12.5,10.99,MT
4200.0,24000.0,9.9,13.49,MT
6000.0,34836.0,29.58,13.53,MT
20000.0,50600.0,10.5,8.18,MT
2400.0,30000.0,12.88,18.49,MT
15000.0,61000.0,21.15,11.67,MT
20000.0,48000.0,23.73,16.29,MT
14400.0,50000.0,22.32,8.38,MT
10500.0,51000.0,30.96,16.24,MT
25000.0,108000.0,14.08,13.99,MT
20000.0,65000.0,16.06,19.47,MT
5000.0,32343.0,12.69,14.65,MT
9500.0,25000.0,32.84,12.29,MT
20000.0,72000.0,39.49,14.65,MT
14000.0,108000.0,16.38,12.99,MT
18000.0,55200.0,15.5,13.98,MT
7000.0,22500.0,6.13,13.99,MT
5000.0,42800.0,4.4,11.99,MT
12000.0,24000.0,30.55,19.99,MT
18375.0,40000.0,35.19,15.61,MT
6000.0,75000.0,19.5,9.17,MT
7750.0,55000.0,33.47,8.90,MT
19150.0,60000.0,17.7,25.80,MT
14000.0,55000.0,26.75,16.55,MT
27225.0,68111.0,35.85,21.99,MT
30000.0,102000.0,17.74,12.05,MT
7000.0,44000.0,21.11,8.38,MT
21000.0,52000.0,28.62,17.27,MT
9000.0,57000.0,20.61,5.32,MT
28000.0,93000.0,17.7,18.25,MT
14400.0,46000.0,26.32,7.89,MT
18000.0,80000.0,19.82,16.59,MT
30000.0,82821.0,19.97,13.35,MT
11200.0,58000.0,21.12,12.12,MT
11875.0,33000.0,23.53,18.49,MT
10000.0,108000.0,8.16,15.61,MT
12000.0,68000.0,28.66,12.99,MT
30000.0,137170.0,13.13,19.69,MT
12000.0,45000.0,33.15,16.55,MT
25000.0,60000.0,21.19,18.25,MT
