amnt,income,dti,rate,state
17625.0,55000.0,33.77,11.14,NC
15000.0,110000.0,20.13,16.29,NC
35000.0,96000.0,4.14,19.99,NC
20000.0,90000.0,22.75,17.57,NC
12000.0,50000.0,17.33,12.12,NC
13700.0,50000.0,22.61,14.30,NC
14500.0,42802.71,9.3,17.27,NC
8775.0,39665.0,35.61,17.86,NC
15050.0,57000.0,9.87,14.49,NC
15000.0,97000.0,24.58,11.99,NC
14000.0,90000.0,23.01,18.24,NC
28000.0,80000.0,11.37,8.18,NC
6400.0,30000.0,7.16,10.99,NC
8800.0,56750.0,20.79,17.86,NC
9000.0,41600.0,7.88,10.99,NC
2500.0,20000.0,4.14,10.15,NC
16875.0,127000.0,31.77,16.55,NC
9000.0,30000.0,14.44,7.90,NC
15000.0,59000.0,8.66,14.33,NC
10000.0,142000.0,16.99,16.49,NC
23500.0,65000.0,29.32,25.83,NC
18000.0,65960.14,23.72,19.72,NC
8000.0,71000.0,6.59,9.17,NC
1600.0,35000.0,20.19,12.12,NC
25000.0,64756.0,18.48,10.99,NC
27000.0,200000.0,11.17,6.89,NC
15000.0,55000.0,18.44,11.67,NC
14500.0,98543.0,12.72,7.49,NC
8400.0,54000.0,22.13,10.99,NC
2700.0,80000.0,18.77,10.59,NC
6000.0,36680.0,4.29,13.11,NC
20000.0,110000.0,11.0,23.63,NC
5400.0,36000.0,20.31,11.99,NC
1400.0,18000.0,20.47,21.49,NC
16000.0,45000.0,29.82,15.31,NC
20000.0,80331.0,33.06,14.31,NC
8875.0,37000.0,20.73,12.99,NC
12000.0,75000.0,15.9,6.24,NC
12000.0,127000.0,13.94,9.99,NC
6000.0,30000.0,20.28,13.18,NC
22200.0,64236.0,16.83,15.61,NC
6675.0,40000.0,21.99,14.49,NC
12000.0,75000.0,13.07,9.67,NC
15000.0,52000.0,20.72,13.44,NC
19000.0,59000.0,8.46,10.99,NC
11200.0,49000.0,31.69,7.89,NC
21000.0,72000.0,23.07,14.99,NC
16000.0,35000.0,27.64,17.57,NC
14000.0,47400.0,10.03,13.35,NC
28000.0,85000.0,28.79,7.89,NC
12500.0,45000.0,4.24,12.29,NC
15000.0,80000.0,11.54,19.19,NC
14700.0,35000.0,16.32,22.99,NC
6000.0,37000.0,12.94,20.20,NC
6000.0,48000.0,18.93,15.10,NC
33000.0,106801.0,18.12,23.70,NC
14825.0,56236.09,23.58,17.86,NC
8000.0,50000.0,9.43,12.69,NC
3600.0,114000.0,7.95,14.99,NC
7000.0,90000.0,20.69,8.90,NC
9000.0,114000.0,11.36,11.44,NC
24000.0,225000.0,27.28,9.99,NC
10000.0,45000.0,24.85,22.99,NC
7075.0,47000.0,22.22,13.99,NC
29400.0,70000.0,12.43,12.29,NC
6000.0,75000.0,14.86,13.33,NC
25000.0,95000.0,27.13,16.29,NC
6600.0,37918.0,34.28,8.18,NC
6000.0,31776.0,18.28,8.90,NC
9875.0,36000.0,14.17,10.99,NC
35000.0,86000.0,25.23,18.55,NC
20000.0,82000.0,2.34,12.29,NC
15000.0,32000.0,5.48,12.29,NC
12000.0,62000.0,20.17,5.32,NC
21000.0,140875.0,10.11,15.61,NC
18000.0,77000.0,15.68,20.49,NC
30000.0,140000.0,20.22,13.98,NC
7000.0,58000.0,32.15,12.39,NC
7200.0,60000.0,21.38,9.99,NC
10000.0,30000.0,33.48,14.65,NC
23500.0,94000.0,12.91,16.20,NC
17600.0,42000.0,26.11,8.39,NC
6000.0,40000.0,20.7,16.99,NC
21600.0,78000.0,8.85,14.64,NC
9950.0,40000.0,12.72,15.80,NC
12000.0,69500.0,10.39,10.65,NC
12000.0,129000.0,11.4,21.99,NC
5000.0,80000.0,4.12,13.67,NC
10000.0,50000.0,25.75,16.29,NC
7000.0,42000.0,20.89,13.33,NC
21000.0,150000.0,13.55,12.69,NC
8000.0,56000.0,19.31,12.29,NC
10000.0,80000.0,20.82,10.99,NC
14675.0,45000.0,29.28,11.14,NC
9800.0,81000.0,23.05,11.44,NC
10000.0,65000.0,28.1,11.67,NC
15000.0,49179.0,22.28,6.24,NC
10000.0,56000.0,11.79,13.65,NC
16500.0,65000.0,9.29,12.99,NC
7925.0,20500.0,13.23,6.03,NC
10000.0,70000.0,9.15,13.35,NC
8000.0,60000.0,9.5,7.89,NC
5500.0,43000.0,22.47,7.89,NC
11000.0,51000.0,21.65,12.29,NC
25000.0,82000.0,33.03,16.55,NC
35000.0,135000.0,19.46,19.29,NC
21000.0,88000.0,22.95,15.31,NC
13650.0,60000.0,30.64,18.99,NC
12000.0,80000.0,16.19,6.68,NC
16000.0,110000.0,19.63,11.53,NC
20000.0,99000.0,18.25,9.17,NC
14000.0,40000.0,20.25,11.14,NC
17000.0,62500.0,10.23,12.99,NC
7500.0,27000.0,26.36,19.19,NC
14750.0,40000.0,20.01,11.55,NC
24000.0,100000.0,24.86,14.65,NC
35000.0,100000.0,12.73,23.99,NC
10725.0,39000.0,25.6,15.61,NC
20000.0,73000.0,15.98,8.18,NC
10525.0,38592.0,10.2,15.61,NC
14400.0,60000.0,22.5,15.61,NC
4900.0,65000.0,12.31,14.33,NC
15000.0,112000.0,15.55,7.89,NC
25000.0,72500.0,11.42,17.57,NC
10000.0,35000.0,6.48,10.15,NC
11000.0,67200.0,36.48,15.41,NC
12000.0,60000.0,23.08,9.67,NC
16325.0,52000.0,19.34,19.52,NC
10000.0,50000.0,15.1,12.99,NC
35000.0,70000.0,26.25,11.53,NC
6625.0,25000.0,10.42,8.39,NC
30000.0,80000.0,33.39,18.55,NC
4000.0,34600.0,12.97,5.42,NC
3200.0,40000.0,17.37,16.99,NC
10000.0,24000.0,37.53,12.29,NC
22200.0,120000.0,11.02,14.31,NC
6000.0,50000.0,22.23,17.57,NC
18000.0,145000.0,18.96,9.76,NC
24000.0,70975.0,5.33,24.50,NC
24000.0,123400.0,7.81,11.71,NC
15600.0,225000.0,8.03,7.26,NC
11000.0,75608.0,14.7,18.20,NC
16000.0,75000.0,18.61,14.65,NC
20000.0,50000.0,12.58,15.27,NC
8000.0,48400.0,19.76,9.17,NC
5000.0,46000.0,8.77,16.59,NC
16000.0,54000.0,16.89,19.03,NC
9000.0,43000.0,22.72,7.89,NC
15850.0,85152.0,3.51,17.10,NC
7200.0,28800.0,30.13,13.68,NC
20000.0,48000.0,15.78,10.99,NC
4800.0,45500.0,10.13,13.11,NC
24000.0,200000.0,16.82,11.53,NC
21000.0,120000.0,9.13,7.62,NC
3500.0,63000.0,10.25,9.99,NC
30000.0,110000.0,12.07,6.89,NC
24000.0,75000.0,8.07,11.53,NC
9600.0,78000.0,33.95,10.64,NC
15000.0,56000.0,23.7,18.75,NC
10500.0,60000.0,25.84,9.17,NC
14000.0,56000.0,25.78,10.99,NC
30000.0,84000.0,0.9,10.99,NC
15000.0,75000.0,6.64,14.65,NC
10000.0,41000.0,17.59,15.22,NC
19000.0,105000.0,11.23,17.14,NC
11000.0,65000.0,17.38,5.32,NC
15000.0,155000.0,14.69,12.69,NC
7525.0,42000.0,16.77,12.12,NC
27000.0,60000.0,27.18,15.10,NC
9800.0,48000.0,17.43,10.64,NC
20000.0,242000.0,11.06,12.99,NC
15000.0,67000.0,20.03,8.19,NC
12150.0,34819.2,26.68,14.49,NC
2800.0,50000.0,31.11,22.15,NC
14000.0,85000.0,18.55,17.86,NC
20000.0,78707.0,11.24,18.25,NC
5000.0,27000.0,28.18,9.67,NC
5000.0,45000.0,14.8,8.49,NC
6400.0,69800.0,11.42,11.49,NC
10000.0,81000.0,19.53,15.61,NC
17275.0,48000.0,17.15,22.15,NC
10000.0,75000.0,18.13,6.49,NC
21000.0,115000.0,6.56,8.39,NC
12000.0,130000.0,22.13,15.80,NC
32500.0,80000.0,11.27,15.61,NC
6800.0,30000.0,25.16,11.55,NC
13000.0,60000.0,15.18,14.17,NC
7000.0,23700.0,16.56,9.17,NC
13175.0,47320.0,21.05,12.99,NC
10500.0,30000.0,19.0,16.29,NC
24200.0,113000.0,22.9,12.49,NC
11000.0,55000.0,16.39,18.25,NC
6400.0,44880.0,20.8,14.48,NC
15000.0,61000.0,23.39,11.53,NC
20000.0,150000.0,20.63,6.24,NC
25500.0,92700.0,24.76,10.99,NC
9600.0,58000.0,15.13,11.99,NC
22000.0,148000.0,22.87,7.89,NC
16000.0,73030.0,39.72,16.55,NC
5000.0,25000.0,16.32,13.35,NC
18000.0,57200.0,14.71,13.67,NC
20000.0,75000.0,24.88,9.17,NC
10000.0,43000.0,12.95,12.99,NC
15000.0,41000.0,31.56,14.49,NC
4000.0,24000.0,28.7,11.99,NC
15000.0,55000.0,21.34,7.89,NC
1000.0,14400.0,15.0,16.29,NC
10000.0,65000.0,19.5,6.89,NC
7925.0,36000.0,33.7,14.33,NC
9000.0,70000.0,15.99,10.00,NC
7000.0,40000.0,17.55,12.59,NC
10000.0,41000.0,29.27,6.62,NC
12150.0,38000.0,24.26,24.99,NC
4000.0,32000.0,27.44,12.49,NC
15000.0,98000.0,4.27,7.89,NC
3250.0,50000.0,5.81,17.27,NC
2000.0,45000.0,15.55,7.66,NC
4300.0,48000.0,4.13,12.69,NC
12000.0,30000.0,12.6,16.29,NC
9000.0,72000.0,14.95,12.99,NC
29700.0,67000.0,31.43,18.49,NC
10000.0,62000.0,11.72,8.90,NC
16150.0,62497.0,34.58,19.24,NC
6500.0,70000.0,12.22,7.12,NC
2800.0,36000.0,7.83,13.49,NC
5000.0,55000.0,24.2,7.89,NC
15000.0,115000.0,6.1,12.05,NC
28000.0,127500.0,5.19,12.49,NC
14625.0,65000.0,15.56,17.57,NC
25000.0,74000.0,11.33,13.99,NC
30225.0,68000.0,34.31,20.80,NC
5000.0,95000.0,28.03,10.99,NC
1500.0,50000.0,8.62,11.49,NC
3600.0,60000.0,12.54,5.99,NC
10000.0,45000.0,29.12,15.88,NC
12000.0,67000.0,5.71,17.10,NC
