amnt,income,dti,rate,state
18200.0,140000.0,14.26,9.17,ND
10000.0,83000.0,15.33,9.17,ND
10000.0,85000.0,11.82,13.67,ND
13000.0,48000.0,27.28,14.65,ND
6000.0,28000.0,17.36,11.22,ND
26725.0,88000.0,18.88,18.25,ND
6000.0,29500.0,35.84,11.53,ND
12000.0,102000.0,15.93,5.32,ND
5000.0,28000.0,9.9,9.17,ND
4500.0,60000.0,21.4,7.89,ND
19125.0,40000.0,18.54,14.65,ND
24000.0,76000.0,30.04,13.99,ND
17200.0,43000.0,34.3,16.55,ND
22000.0,57500.0,10.21,6.89,ND
10000.0,48000.0,36.23,10.99,ND
35000.0,140000.0,7.36,17.57,ND
