amnt,income,dti,rate,state
5600.0,32000.0,18.19,10.64,NE
25850.0,55000.0,9.3,20.99,NE
17375.0,47126.0,26.13,13.99,NE
22500.0,105000.0,22.85,16.55,NE
17600.0,40000.0,36.48,18.20,NE
18000.0,70000.0,30.65,9.99,NE
6050.0,25324.8,23.32,25.99,NE
11000.0,35000.0,21.91,9.99,NE
9600.0,110000.0,34.79,10.78,NE
12000.0,30000.0,33.16,22.99,NE
23000.0,50000.0,24.65,9.17,NE
20000.0,176000.0,10.38,11.22,NE
12000.0,35000.0,17.28,14.33,NE
8000.0,61000.0,26.3,8.38,NE
22500.0,45000.0,30.08,18.25,NE
5000.0,50000.0,26.6,12.29,NE
10000.0,30000.0,18.0,15.41,NE
12000.0,35000.0,13.51,7.89,NE
6000.0,47900.0,12.83,21.00,NE
8800.0,72000.0,26.83,13.99,NE
20000.0,40000.0,31.38,12.69,NE
12000.0,44000.0,14.1,11.53,NE
30000.0,63000.0,19.68,17.57,NE
13200.0,37502.0,19.58,13.99,NE
10000.0,50000.0,4.61,12.59,NE
19500.0,39000.0,34.0,17.86,NE
14000.0,60000.0,11.1,10.99,NE
11875.0,55000.0,23.98,17.57,NE
10000.0,24000.0,30.5,15.61,NE
24000.0,69331.11,32.94,12.05,NE
15000.0,35000.0,24.49,13.99,NE
15000.0,45000.0,30.21,10.64,NE
15000.0,82000.0,11.06,12.88,NE
20625.0,140000.0,2.85,13.99,NE
22625.0,56598.0,27.95,19.99,NE
30000.0,80000.0,25.74,21.99,NE
23325.0,56000.0,29.7,17.57,NE
30000.0,147000.0,20.0,12.59,NE
3000.0,40000.0,28.77,14.48,NE
35000.0,100000.0,21.83,18.25,NE
18300.0,100000.0,17.36,13.99,NE
4000.0,60000.0,18.9,12.05,NE
20000.0,60000.0,27.26,9.17,NE
12275.0,106000.0,13.03,23.99,NE
25000.0,65000.0,26.75,6.89,NE
9700.0,27000.0,36.71,18.25,NE
9725.0,40000.0,14.52,9.17,NE
16000.0,131000.0,11.63,7.26,NE
