amnt,income,dti,rate,state
15000.0,53500.0,23.1,10.99,NH
15000.0,111000.0,19.73,8.39,NH
8250.0,46500.0,14.98,11.67,NH
14000.0,150763.79,16.76,11.99,NH
14000.0,93000.0,12.46,14.31,NH
9000.0,56800.0,12.08,6.03,NH
11000.0,71200.0,18.72,12.42,NH
7200.0,20000.0,29.35,13.33,NH
30975.0,75000.0,24.34,18.49,NH
17150.0,65000.0,16.15,15.41,NH
11000.0,80000.0,15.63,10.99,NH
7475.0,178000.0,3.61,16.49,NH
13000.0,36000.0,12.97,12.69,NH
18000.0,72500.0,16.85,8.67,NH
7650.0,120000.0,17.46,17.86,NH
5200.0,38000.0,4.67,14.09,NH
10000.0,28400.0,24.22,10.99,NH
10525.0,40000.0,34.77,16.55,NH
20375.0,145000.0,14.3,18.49,NH
4800.0,42000.0,6.57,10.99,NH
26975.0,110000.0,28.73,10.99,NH
22000.0,63000.0,16.8,14.64,NH
7000.0,30000.0,22.0,11.99,NH
5000.0,48000.0,2.85,8.18,NH
7200.0,70000.0,8.83,7.89,NH
19200.0,98000.0,20.89,9.67,NH
35000.0,215000.0,9.4,15.61,NH
14000.0,97000.0,14.8,11.99,NH
17475.0,35000.0,23.35,18.55,NH
20000.0,120000.0,7.83,6.89,NH
20000.0,130000.0,21.16,15.61,NH
35000.0,245000.0,7.35,16.55,NH
20000.0,90000.0,21.37,6.03,NH
32000.0,65000.0,25.26,13.67,NH
5000.0,64000.0,12.47,17.58,NH
6975.0,37000.0,28.71,15.10,NH
5500.0,60000.0,28.06,16.24,NH
25000.0,100000.0,12.62,17.57,NH
20000.0,145000.0,8.84,13.99,NH
10000.0,90000.0,10.04,6.03,NH
15000.0,80000.0,11.21,9.17,NH
25000.0,140000.0,28.48,11.53,NH
21000.0,142209.36,23.96,10.99,NH
8050.0,106000.0,4.43,17.57,NH
25000.0,95000.0,10.84,21.00,NH
5600.0,64000.0,6.86,12.29,NH
6000.0,140000.0,10.59,11.67,NH
29425.0,70000.0,18.06,13.99,NH
2000.0,98000.0,10.23,7.69,NH
2400.0,13000.0,14.77,17.57,NH
30000.0,170000.0,15.16,13.67,NH
15000.0,72000.0,19.79,13.35,NH
18000.0,130000.0,16.38,7.89,NH
12000.0,55000.0,21.77,16.29,NH
20000.0,89600.0,13.41,15.61,NH
27250.0,80000.0,23.1,10.99,NH
31200.0,210000.0,26.64,13.33,NH
10000.0,90000.0,11.11,8.18,NH
11000.0,48000.0,29.35,16.20,NH
30000.0,120000.0,28.42,7.89,NH
28000.0,95495.0,26.04,15.61,NH
16000.0,85000.0,20.49,12.69,NH
20000.0,48000.0,13.57,13.33,NH
11900.0,33000.0,28.15,20.50,NH
1200.0,74000.0,20.96,7.49,NH
5000.0,31886.4,28.68,10.99,NH
2500.0,150000.0,12.8,22.45,NH
7000.0,52000.0,19.64,10.99,NH
5800.0,26284.8,23.37,14.33,NH
25000.0,65000.0,33.87,14.98,NH
5000.0,29000.0,24.34,13.33,NH
4000.0,58000.0,28.31,13.67,NH
20000.0,50000.0,5.45,12.99,NH
8000.0,91000.0,18.66,12.49,NH
4800.0,35000.0,23.62,14.33,NH
20000.0,60000.0,27.82,6.89,NH
22000.0,105000.0,8.98,7.89,NH
12000.0,70000.0,13.46,9.17,NH
5100.0,45340.0,18.63,10.16,NH
17275.0,43200.0,19.03,14.65,NH
3000.0,35000.0,15.23,11.67,NH
16000.0,75000.0,10.91,22.90,NH
12000.0,63000.0,18.21,15.61,NH
6000.0,144500.0,2.81,8.88,NH
17500.0,35000.0,37.52,18.99,NH
8400.0,24960.0,27.21,12.69,NH
5000.0,54000.0,27.22,9.17,NH
20000.0,150000.0,10.15,10.99,NH
7675.0,33100.0,8.99,6.92,NH
6500.0,42000.0,12.49,12.35,NH
5500.0,97795.8,4.88,5.32,NH
20000.0,105000.0,6.38,6.68,NH
18000.0,45000.0,32.4,7.26,NH
15000.0,70000.0,28.25,13.35,NH
14000.0,55000.0,26.01,21.99,NH
20000.0,71000.0,12.63,11.67,NH
16000.0,69000.0,21.1,8.90,NH
