amnt,income,dti,rate,state
8000.0,57000.0,15.05,8.18,NJ
35000.0,125000.0,26.95,14.48,NJ
14000.0,115000.0,5.71,16.78,NJ
30000.0,60000.0,0.72,19.29,NJ
3600.0,65000.0,24.54,18.25,NJ
5000.0,70000.0,2.45,9.88,NJ
20000.0,140000.0,2.25,11.99,NJ
4800.0,60000.0,3.34,12.35,NJ
13475.0,100000.0,31.96,18.24,NJ
4000.0,55000.0,22.32,12.49,NJ
15000.0,75000.0,10.66,10.99,NJ
16350.0,46000.0,28.83,25.80,NJ
20000.0,85000.0,17.7,8.19,NJ
12000.0,45996.0,4.04,15.68,NJ
25000.0,95000.0,6.52,11.44,NJ
28000.0,112000.0,14.48,7.62,NJ
9000.0,55000.0,17.64,7.26,NJ
7000.0,87000.0,12.21,7.62,NJ
35000.0,90000.0,19.25,16.99,NJ
8000.0,75000.0,20.66,11.99,NJ
6500.0,38500.0,31.76,16.29,NJ
9100.0,24000.0,15.4,17.57,NJ
20000.0,60000.0,23.56,20.99,NJ
20000.0,100000.0,15.26,6.89,NJ
8000.0,80000.0,19.2,6.49,NJ
5000.0,34000.0,15.81,6.89,NJ
25000.0,100000.0,31.41,19.52,NJ
35000.0,120000.0,10.71,14.49,NJ
10000.0,90000.0,15.95,17.57,NJ
6000.0,150000.0,16.78,15.96,NJ
7000.0,88000.0,11.76,12.69,NJ
24000.0,68000.0,20.97,9.99,NJ
7000.0,90000.0,8.17,10.99,NJ
14500.0,95000.0,3.18,14.49,NJ
20000.0,52000.0,21.46,13.33,NJ
10000.0,60000.0,9.92,10.99,NJ
8000.0,40000.0,23.01,16.55,NJ
16000.0,78361.0,10.18,6.89,NJ
20000.0,115000.0,5.25,18.43,NJ
24000.0,86347.0,17.25,16.55,NJ
25000.0,100000.0,9.27,14.99,NJ
15000.0,85000.0,12.71,14.65,NJ
15000.0,45000.0,19.97,14.09,NJ
23425.0,61000.0,20.74,12.59,NJ
1825.0,65000.0,10.28,19.47,NJ
11075.0,37000.0,21.7,20.99,NJ
15000.0,44000.0,23.05,12.12,NJ
17000.0,72000.0,18.18,7.62,NJ
25000.0,58000.0,9.0,8.18,NJ
15850.0,55000.0,25.68,17.57,NJ
8000.0,45000.0,32.99,12.69,NJ
9000.0,52000.0,24.58,9.99,NJ
35000.0,80000.0,15.49,16.24,NJ
10500.0,340000.0,22.04,13.98,NJ
20000.0,73000.0,9.65,10.49,NJ
13600.0,100400.0,11.2,9.67,NJ
9225.0,55000.0,33.78,14.65,NJ
29000.0,80000.0,16.5,10.99,NJ
7000.0,52000.0,23.86,8.90,NJ
9250.0,28000.0,30.94,19.72,NJ
12000.0,86000.0,8.93,12.29,NJ
35000.0,105000.0,7.76,21.70,NJ
12000.0,48000.0,20.23,11.49,NJ
8425.0,75000.0,27.78,12.69,NJ
15000.0,40000.0,19.5,5.32,NJ
6000.0,25000.0,17.19,17.57,NJ
7200.0,70000.0,24.86,19.72,NJ
20000.0,90000.0,20.6,11.99,NJ
15000.0,92500.0,31.51,8.18,NJ
10000.0,80000.0,8.28,12.49,NJ
26200.0,78000.0,31.19,16.55,NJ
28000.0,100000.0,15.12,12.99,NJ
9600.0,62000.0,13.6,6.92,NJ
20000.0,42000.0,12.78,5.32,NJ
9500.0,40000.0,18.78,11.66,NJ
16000.0,62000.0,20.2,9.17,NJ
35000.0,160000.0,4.04,14.65,NJ
12000.0,95000.0,19.33,16.24,NJ
18000.0,88000.0,3.19,9.17,NJ
19500.0,70918.0,20.16,15.22,NJ
20000.0,65000.0,12.17,14.09,NJ
10400.0,89500.0,6.44,10.99,NJ
