amnt,income,dti,rate,state
6500.0,150000.0,13.0,5.32,NM
12000.0,62300.0,13.6,17.86,NM
2000.0,29128.0,5.64,14.33,NM
6900.0,41200.0,20.52,7.69,NM
3300.0,71000.0,5.26,12.99,NM
6000.0,49000.0,23.12,12.99,NM
7200.0,73200.0,11.36,10.20,NM
7375.0,50000.0,4.99,15.88,NM
15000.0,35000.0,9.47,13.65,NM
10000.0,35000.0,26.89,12.99,NM
16625.0,60000.0,34.88,12.69,NM
28000.0,175000.0,7.64,10.99,NM
9250.0,55048.0,34.12,9.99,NM
14000.0,75000.0,26.75,18.92,NM
17000.0,92200.0,8.93,10.99,NM
6000.0,28000.0,6.3,8.18,NM
5000.0,60000.0,14.42,12.99,NM
1800.0,85900.0,18.82,12.99,NM
10000.0,55000.0,15.06,13.99,NM
20000.0,200000.0,16.16,7.12,NM
19625.0,49254.0,25.83,10.99,NM
9050.0,18174.0,27.15,15.61,NM
30000.0,185000.0,11.12,18.25,NM
20000.0,70000.0,22.75,7.89,NM
9600.0,126000.0,7.24,11.67,NM
16800.0,50000.0,16.44,18.75,NM
10000.0,48000.0,10.85,7.89,NM
14000.0,82000.0,22.8,8.18,NM
8900.0,62000.0,17.87,17.57,NM
20000.0,150000.0,29.75,5.32,NM
8000.0,75000.0,8.62,8.18,NM
8675.0,55000.0,3.91,15.99,NM
28000.0,369000.0,6.31,12.88,NM
3000.0,25000.0,25.16,12.99,NM
12000.0,43000.0,23.61,14.49,NM
6000.0,56000.0,11.84,9.99,NM
7000.0,41324.8,15.29,10.99,NM
28600.0,140000.0,20.32,12.99,NM
9100.0,66000.0,17.82,7.90,NM
20000.0,100000.0,34.29,15.41,NM
6600.0,60300.0,21.57,14.16,NM
8000.0,90000.0,23.56,7.62,NM
13750.0,40000.0,23.91,15.10,NM
20000.0,100000.0,0.94,11.99,NM
35000.0,91100.0,25.19,15.41,NM
17700.0,38400.0,31.66,18.25,NM
15000.0,95000.0,16.52,16.20,NM
20000.0,53000.0,20.65,18.99,NM
7200.0,65000.0,21.36,7.89,NM
20675.0,57400.0,10.08,14.65,NM
22400.0,95000.0,23.22,19.99,NM
