amnt,income,dti,rate,state
12000.0,121000.0,13.57,12.29,NV
11500.0,41000.0,33.86,14.33,NV
30000.0,82000.0,13.57,16.24,NV
2650.0,35000.0,27.47,10.99,NV
12000.0,130000.0,3.54,16.49,NV
5200.0,34000.0,21.88,8.90,NV
14000.0,42000.0,20.74,17.57,NV
25000.0,95000.0,38.14,16.55,NV
17475.0,50000.0,26.69,10.16,NV
6000.0,50000.0,15.31,12.69,NV
16000.0,40300.0,15.76,11.14,NV
8000.0,60000.0,2.01,12.59,NV
24175.0,72000.0,14.72,15.99,NV
22200.0,64000.0,30.2,20.99,NV
10000.0,86500.0,7.32,9.71,NV
10000.0,35086.0,31.47,11.22,NV
13000.0,42000.0,7.77,6.99,NV
4700.0,38000.0,22.39,11.67,NV
10500.0,38000.0,13.17,14.49,NV
3500.0,40000.0,31.71,16.20,NV
15000.0,49992.0,24.89,13.24,NV
24000.0,120000.0,18.09,11.99,NV
10625.0,45000.0,21.12,13.11,NV
6000.0,59363.0,14.47,13.22,NV
3550.0,85000.0,21.42,13.67,NV
18000.0,40000.0,22.83,16.55,NV
15000.0,85000.0,18.5,6.62,NV
12125.0,38000.0,20.18,25.83,NV
34500.0,69000.0,18.68,22.99,NV
14000.0,35000.0,11.95,13.66,NV
22400.0,84000.0,19.6,16.29,NV
14000.0,35200.0,12.48,8.18,NV
7000.0,49000.0,25.32,12.12,NV
3300.0,28000.0,8.44,10.99,NV
35000.0,110000.0,15.22,15.99,NV
10000.0,50000.0,18.75,12.59,NV
6250.0,46000.0,19.85,17.77,NV
12500.0,89000.0,16.4,10.15,NV
5875.0,21600.0,20.33,14.49,NV
16000.0,88000.0,14.25,9.67,NV
35000.0,115000.0,27.1,16.99,NV
4000.0,60000.0,17.72,9.99,NV
6675.0,41953.0,36.43,20.20,NV
24000.0,53000.0,15.15,9.99,NV
16950.0,85000.0,5.56,14.33,NV
7675.0,36000.0,37.87,17.86,NV
18000.0,40000.0,23.19,15.61,NV
10000.0,38000.0,7.14,12.21,NV
10000.0,90000.0,20.56,12.12,NV
12000.0,110000.0,18.26,7.69,NV
10000.0,36500.0,36.11,14.65,NV
22400.0,49800.0,23.59,11.53,NV
14000.0,65000.0,20.42,16.77,NV
9000.0,39000.0,19.6,12.29,NV
5000.0,18384.0,15.92,17.57,NV
25000.0,76000.0,19.04,14.99,NV
16800.0,77000.0,21.6,10.37,NV
28000.0,225000.0,7.6,15.88,NV
17500.0,96000.0,14.46,12.29,NV
4000.0,100000.0,24.1,16.29,NV
28000.0,150000.0,19.62,8.18,NV
5000.0,90000.0,36.25,13.99,NV
8000.0,60200.0,15.79,12.49,NV
4000.0,24878.76,8.2,14.65,NV
25000.0,107000.0,5.91,8.90,NV
11500.0,60000.0,9.62,10.49,NV
20000.0,110000.0,26.4,11.53,NV
5000.0,75000.0,7.01,10.99,NV
15000.0,70000.0,19.85,9.67,NV
16100.0,35000.0,33.95,19.99,NV
11550.0,120000.0,12.58,11.99,NV
15000.0,45000.0,24.53,15.61,NV
13300.0,42000.0,18.43,24.08,NV
11500.0,150000.0,1.84,15.10,NV
