amnt,income,dti,rate,state
4000.0,80000.0,24.0,10.64,NY
8000.0,40000.0,20.96,12.69,NY
30000.0,239000.0,6.1,15.61,NY
10000.0,58000.0,28.44,14.33,NY
7500.0,69000.0,1.67,7.51,NY
13350.0,70000.0,19.0,12.69,NY
25000.0,75000.0,24.41,13.35,NY
12000.0,35000.0,11.35,9.99,NY
5600.0,42000.0,22.17,10.65,NY
17225.0,55700.0,18.77,17.57,NY
1500.0,70000.0,17.4,12.69,NY
16000.0,70000.0,16.45,7.26,NY
15000.0,175000.0,9.09,18.55,NY
11500.0,35000.0,9.57,17.56,NY
7500.0,65000.0,11.22,5.32,NY
25200.0,160000.0,12.22,6.03,NY
6000.0,60000.0,15.3,10.15,NY
19000.0,120000.0,7.94,8.38,NY
32000.0,305000.0,12.49,17.86,NY
2500.0,50000.0,13.59,21.99,NY
12200.0,47586.65,8.95,20.99,NY
10575.0,40000.0,21.72,11.14,NY
2500.0,33000.0,39.38,9.99,NY
35000.0,100000.0,23.38,16.55,NY
8000.0,110000.0,20.48,16.29,NY
35000.0,120000.0,27.49,22.99,NY
20000.0,65000.0,5.52,14.65,NY
22000.0,50000.0,21.22,21.49,NY
27825.0,87000.0,27.6,22.99,NY
6000.0,40000.0,14.67,17.57,NY
10000.0,59950.0,11.75,7.26,NY
11700.0,69000.0,11.65,18.49,NY
6000.0,40000.0,8.1,10.65,NY
12000.0,64000.0,22.6,6.24,NY
16000.0,70000.0,16.75,6.99,NY
20000.0,52000.0,18.74,11.14,NY
5000.0,65000.0,13.57,7.89,NY
5200.0,39000.0,14.74,13.48,NY
15000.0,55000.0,20.34,13.99,NY
2000.0,80000.0,23.53,14.65,NY
10000.0,50000.0,13.97,14.09,NY
20000.0,65000.0,11.09,11.99,NY
9600.0,50000.0,12.45,13.11,NY
4000.0,85000.0,12.61,11.53,NY
8000.0,150000.0,10.01,12.29,NY
5000.0,49000.0,11.24,8.18,NY
30000.0,150000.0,12.79,14.31,NY
20000.0,101000.0,11.37,10.75,NY
21600.0,78000.0,31.74,14.99,NY
9600.0,60000.0,14.32,16.29,NY
19575.0,44000.0,13.8,15.80,NY
11200.0,50000.0,14.69,7.89,NY
12000.0,150000.0,21.85,9.91,NY
24000.0,100100.0,5.24,11.14,NY
25000.0,141000.0,13.85,17.86,NY
10800.0,43800.0,5.84,14.49,NY
11000.0,60000.0,19.0,16.99,NY
7200.0,60000.0,7.74,12.99,NY
14000.0,60000.0,25.0,9.17,NY
35000.0,160000.0,13.98,9.99,NY
18000.0,70000.0,19.9,9.62,NY
19375.0,54000.0,10.51,16.99,NY
13200.0,75000.0,14.38,11.44,NY
11700.0,45000.0,13.48,18.75,NY
17475.0,400000.0,5.1,14.33,NY
9525.0,60000.0,19.2,6.62,NY
15000.0,90000.0,28.63,7.26,NY
15000.0,36000.0,23.7,10.25,NY
12000.0,45000.0,33.04,13.33,NY
20000.0,95000.0,8.71,14.99,NY
15000.0,87500.0,17.02,7.89,NY
15825.0,44000.0,17.89,21.99,NY
28000.0,150000.0,9.3,6.49,NY
10000.0,35000.0,11.32,12.49,NY
15000.0,50000.0,23.31,15.61,NY
6000.0,113000.0,17.03,9.17,NY
9000.0,54000.0,14.76,11.99,NY
15000.0,71500.0,7.92,14.31,NY
