amnt,income,dti,rate,state
26000.0,68973.0,14.91,20.49,OH
6000.0,23000.0,24.27,14.47,OH
8000.0,55000.0,23.72,10.49,OH
17000.0,79000.0,15.93,11.99,OH
25450.0,57000.0,31.05,14.09,OH
25000.0,66000.0,27.56,19.99,OH
15000.0,67000.0,24.62,10.36,OH
12000.0,65000.0,22.66,8.90,OH
25000.0,85000.0,21.92,6.99,OH
15000.0,39300.0,14.78,15.61,OH
18725.0,42000.0,26.09,10.64,OH
30000.0,65000.0,27.97,12.69,OH
13000.0,45000.0,23.79,8.18,OH
5000.0,60000.0,24.82,11.53,OH
9325.0,27000.0,20.89,16.29,OH
12000.0,40008.0,16.37,11.71,OH
9275.0,56000.0,23.77,10.16,OH
19200.0,185000.0,6.72,7.89,OH
15000.0,58000.0,20.17,13.18,OH
35000.0,120000.0,19.13,13.35,OH
35000.0,98000.0,17.85,17.57,OH
11200.0,41288.0,22.85,16.99,OH
15000.0,45696.0,21.51,19.05,OH
28000.0,95000.0,14.99,10.64,OH
34000.0,154992.0,30.17,15.88,OH
12000.0,80000.0,13.02,6.49,OH
16250.0,60000.0,21.74,7.89,OH
28800.0,62000.0,28.76,9.17,OH
25000.0,70000.0,13.44,18.25,OH
5900.0,21000.0,31.89,15.61,OH
12000.0,45600.0,29.32,18.84,OH
12000.0,48000.0,26.2,16.99,OH
6000.0,35000.0,21.78,10.99,OH
12225.0,34000.0,20.37,16.55,OH
14500.0,70000.0,22.17,18.25,OH
35000.0,180000.0,17.13,17.14,OH
15000.0,104000.0,21.86,11.49,OH
10000.0,52000.0,19.92,15.31,OH
6000.0,45000.0,34.88,10.99,OH
7000.0,37000.0,24.55,8.90,OH
20000.0,90000.0,11.57,14.64,OH
35000.0,205000.0,14.27,17.76,OH
12000.0,36000.0,34.0,16.99,OH
3400.0,48000.0,20.8,14.31,OH
14000.0,51000.0,12.73,8.90,OH
25000.0,220000.0,11.18,7.62,OH
2700.0,43000.0,18.06,11.44,OH
1800.0,52000.0,36.88,12.69,OH
16600.0,69000.0,16.21,10.99,OH
35000.0,100000.0,11.96,21.49,OH
6250.0,36880.0,34.01,11.53,OH
7750.0,30000.0,25.76,15.61,OH
35000.0,110000.0,19.04,7.49,OH
5500.0,60000.0,9.1,7.51,OH
12750.0,48000.0,10.25,15.22,OH
12000.0,68000.0,9.09,12.49,OH
5300.0,24000.0,26.95,16.29,OH
18000.0,55000.0,19.25,17.57,OH
25000.0,67000.0,11.39,10.15,OH
1000.0,40000.0,27.18,12.59,OH
