amnt,income,dti,rate,state
25000.0,62000.0,29.44,12.69,OK
25600.0,65000.0,30.04,21.18,OK
9850.0,42000.0,11.57,22.99,OK
24000.0,175000.0,12.96,5.32,OK
8000.0,27000.0,16.62,11.99,OK
20000.0,58000.0,33.27,17.57,OK
20000.0,65000.0,23.72,13.99,OK
24000.0,105000.0,16.89,9.99,OK
20000.0,50000.0,36.25,14.99,OK
24000.0,80000.0,16.77,14.31,OK
16000.0,124000.0,7.57,12.99,OK
16950.0,43000.0,26.62,17.27,OK
28000.0,83000.0,7.95,14.99,OK
4550.0,95000.0,14.58,15.61,OK
12000.0,58000.0,25.68,13.33,OK
17350.0,70000.0,28.99,15.61,OK
18000.0,56000.0,28.87,11.99,OK
6000.0,33000.0,18.0,12.99,OK
7500.0,55000.0,19.51,12.12,OK
20000.0,61038.84,32.6,13.11,OK
17050.0,34128.0,18.74,8.18,OK
12000.0,94000.0,11.54,8.19,OK
35000.0,145000.0,11.21,20.99,OK
11625.0,40000.0,28.14,12.29,OK
30000.0,80000.0,24.15,16.99,OK
3000.0,65000.0,4.21,8.18,OK
20000.0,78000.0,15.15,10.99,OK
14350.0,40000.0,26.19,18.99,OK
5000.0,50000.0,12.6,5.32,OK
9825.0,28000.0,28.25,14.31,OK
35000.0,179000.0,15.21,18.25,OK
30000.0,121000.0,16.52,13.99,OK
5000.0,201000.0,10.29,10.16,OK
10000.0,47000.0,20.99,14.65,OK
14000.0,67400.0,30.24,10.99,OK
5375.0,28000.0,24.9,15.31,OK
16000.0,100000.0,27.17,10.99,OK
18000.0,100000.0,5.3,8.90,OK
10175.0,26895.67,16.87,19.52,OK
25000.0,70000.0,9.38,6.24,OK
25000.0,200000.0,18.75,9.99,OK
10000.0,54000.0,11.51,11.14,OK
6700.0,38000.0,18.79,15.31,OK
20425.0,67000.0,34.51,24.89,OK
16750.0,55000.0,30.42,15.61,OK
15150.0,60000.0,17.6,9.17,OK
2800.0,30000.0,15.76,9.71,OK
13500.0,35000.0,15.03,13.67,OK
25000.0,66000.0,32.51,6.00,OK
8400.0,36000.0,24.13,14.99,OK
15000.0,55000.0,14.88,8.18,OK
6000.0,26000.0,15.47,11.99,OK
35000.0,123000.0,19.94,13.11,OK
35000.0,155000.0,12.36,9.17,OK
20000.0,55000.0,32.76,12.69,OK
13000.0,50000.0,18.29,16.59,OK
10000.0,85000.0,21.05,11.14,OK
7925.0,72000.0,14.38,15.61,OK
14400.0,40000.0,3.96,25.99,OK
8000.0,48000.0,16.0,13.33,OK
15000.0,65000.0,26.14,6.24,OK
10000.0,35000.0,22.02,7.90,OK
3000.0,72324.0,27.44,10.99,OK
30000.0,98000.0,12.15,13.66,OK
8450.0,50000.0,10.61,14.99,OK
3000.0,160000.0,17.34,14.98,OK
6000.0,77000.0,12.86,11.49,OK
18225.0,40768.12,26.84,20.49,OK
17225.0,48000.0,29.14,13.33,OK
12000.0,107000.0,25.67,12.59,OK
17000.0,83800.0,16.44,12.29,OK
35000.0,130000.0,23.57,12.69,OK
6000.0,50000.0,14.28,12.99,OK
12125.0,32208.0,31.37,14.65,OK
18000.0,80000.0,26.39,13.99,OK
2200.0,72000.0,18.53,12.69,OK
21525.0,54000.0,34.04,18.84,OK
17075.0,96000.0,38.35,16.99,OK
4200.0,50000.0,21.0,12.69,OK
35000.0,179000.0,7.01,12.69,OK
12000.0,112000.0,12.39,12.69,OK
10625.0,32640.0,27.24,6.62,OK
15000.0,90000.0,18.96,11.99,OK
15000.0,36000.0,12.73,11.99,OK
10000.0,38800.0,23.57,20.20,OK
25925.0,65000.0,7.18,17.57,OK
8300.0,26000.0,32.04,18.25,OK
2400.0,30000.0,21.96,6.62,OK
15000.0,48000.0,4.6,13.98,OK
5500.0,84000.0,12.76,11.67,OK
35000.0,118700.0,0.25,13.98,OK
3000.0,19200.0,10.81,12.99,OK
16300.0,37200.0,17.39,12.99,OK
9000.0,48000.0,22.9,15.81,OK
15000.0,72000.0,12.38,10.99,OK
21600.0,53700.0,34.7,14.99,OK
20000.0,60000.0,17.14,16.99,OK
6400.0,73111.0,21.9,13.99,OK
19425.0,76000.0,22.18,17.27,OK
3000.0,86000.0,15.89,10.99,OK
10000.0,42000.0,21.66,16.29,OK
7575.0,73000.0,15.06,12.29,OK
15000.0,75000.0,9.22,7.88,OK
10400.0,41000.0,5.47,24.50,OK
4800.0,120000.0,6.15,8.90,OK
8000.0,52000.0,25.84,6.62,OK
19000.0,52000.0,10.57,8.18,OK
2875.0,50000.0,17.09,15.61,OK
3000.0,60000.0,11.26,10.99,OK
21000.0,152000.0,11.93,6.24,OK
8000.0,70000.0,6.39,9.17,OK
16000.0,80000.0,14.04,13.98,OK
5600.0,32500.0,13.99,18.25,OK
4500.0,15000.0,8.8,11.53,OK
20000.0,80000.0,9.6,7.89,OK
10075.0,36000.0,6.17,18.55,OK
3675.0,34000.0,21.46,16.99,OK
16000.0,130000.0,13.17,11.14,OK
1225.0,30000.0,35.92,18.25,OK
4000.0,25000.0,17.55,8.90,OK
16000.0,53000.0,20.43,13.18,OK
15000.0,60000.0,5.48,10.16,OK
2400.0,19500.0,13.54,14.99,OK
2000.0,19176.0,2.19,14.22,OK
9750.0,36000.0,6.87,15.61,OK
14400.0,102000.0,15.6,8.67,OK
4500.0,39520.0,10.36,8.18,OK
13000.0,50000.0,34.4,13.98,OK
14400.0,105000.0,8.27,13.98,OK
7000.0,120000.0,17.03,10.99,OK
12000.0,52000.0,19.96,6.24,OK
18600.0,49300.0,19.45,10.99,OK
10725.0,70000.0,27.72,17.57,OK
28100.0,63000.0,26.29,22.20,OK
3600.0,90000.0,27.84,6.99,OK
15500.0,60000.0,16.3,12.29,OK
16000.0,200000.0,9.58,12.85,OK
1600.0,47000.0,12.31,7.89,OK
5000.0,37000.0,15.31,5.32,OK
20000.0,80000.0,4.34,24.08,OK
6000.0,48000.0,9.74,6.03,OK
21000.0,85000.0,20.75,13.99,OK
16050.0,32100.0,36.6,18.55,OK
15000.0,92000.0,17.44,19.52,OK
10200.0,51000.0,25.06,23.99,OK
18000.0,80000.0,4.29,8.18,OK
12000.0,35000.0,39.54,15.61,OK
20000.0,65000.0,34.74,17.14,OK
17000.0,45000.0,18.08,15.41,OK
9000.0,75000.0,18.14,9.99,OK
8500.0,25000.0,28.85,16.99,OK
4800.0,28200.0,4.47,13.99,OK
5400.0,40000.0,10.86,9.17,OK
24000.0,104000.0,18.81,21.15,OK
15000.0,250000.0,12.45,13.35,OK
12000.0,60000.0,15.64,13.66,OK
26275.0,72000.0,33.09,17.86,OK
6000.0,30000.0,6.8,6.54,OK
10000.0,53000.0,15.1,12.12,OK
11375.0,32500.0,24.0,14.48,OK
23500.0,94500.0,10.77,17.10,OK
18250.0,45760.0,17.57,15.31,OK
7000.0,57000.0,13.68,8.18,OK
20000.0,94000.0,11.35,12.29,OK
20000.0,50000.0,15.82,16.99,OK
20000.0,58716.0,8.97,12.29,OK
20000.0,40000.0,26.88,12.59,OK
8500.0,36000.0,31.57,11.14,OK
6000.0,15983.0,34.79,12.99,OK
30000.0,99500.0,27.9,17.57,OK
12000.0,105000.0,11.45,14.64,OK
8700.0,85000.0,18.86,15.61,OK
10000.0,85000.0,17.53,13.35,OK
5000.0,42000.0,11.77,16.29,OK
4500.0,55000.0,14.53,14.47,OK
28000.0,75760.0,34.09,17.57,OK
12000.0,58000.0,31.03,15.10,OK
14000.0,75000.0,21.07,14.33,OK
7400.0,32000.0,12.75,19.99,OK
19075.0,45000.0,22.13,24.89,OK
16200.0,45000.0,24.35,19.19,OK
15975.0,36000.0,29.83,16.99,OK
13625.0,38000.0,20.47,24.50,OK
7000.0,35000.0,5.32,7.26,OK
7000.0,40000.0,20.66,6.03,OK
2450.0,60000.0,18.66,11.48,OK
16000.0,42000.0,5.31,9.99,OK
35000.0,186000.0,26.82,15.61,OK
11500.0,49000.0,22.04,17.27,OK
32000.0,90000.0,38.73,20.99,OK
2400.0,185000.0,5.0,10.99,OK
7000.0,22500.0,27.52,15.61,OK
15000.0,43920.0,8.2,13.98,OK
12000.0,50000.0,6.45,9.99,OK
15000.0,95000.0,10.78,10.99,OK
15000.0,45000.0,9.17,13.99,OK
6000.0,60000.0,38.08,12.29,OK
13275.0,89500.0,18.58,15.96,OK
5600.0,103000.0,23.23,9.17,OK
6000.0,62500.0,12.56,14.16,OK
10000.0,74000.0,29.84,9.99,OK
35000.0,83000.0,19.59,13.98,OK
1000.0,24500.0,7.35,23.43,OK
6000.0,72000.0,12.52,10.64,OK
21000.0,87000.0,15.28,18.25,OK
21150.0,92000.0,20.73,16.99,OK
6000.0,45000.0,17.68,10.99,OK
12000.0,35000.0,19.14,12.59,OK
25000.0,60008.0,31.26,18.24,OK
7000.0,34000.0,20.58,10.49,OK
8000.0,46800.0,23.1,9.17,OK
18000.0,74040.0,21.3,16.78,OK
9600.0,56000.0,7.03,15.81,OK
35000.0,273800.0,7.48,24.99,OK
12000.0,220000.0,12.76,13.35,OK
1000.0,15000.0,18.16,7.12,OK
35000.0,150000.0,22.82,20.20,OK
21000.0,42000.0,26.31,23.99,OK
13000.0,93000.0,14.65,12.29,OK
20000.0,70000.0,10.83,17.86,OK
15000.0,125000.0,13.37,14.49,OK
25000.0,90600.0,25.08,6.39,OK
18500.0,90000.0,14.8,8.39,OK
8000.0,65000.0,13.98,12.49,OK
18200.0,48600.0,21.51,8.18,OK
6000.0,30000.0,21.64,13.33,OK
20000.0,80000.0,6.87,6.68,OK
15175.0,33000.0,26.98,16.55,OK
5000.0,48000.0,18.55,17.27,OK
15000.0,100000.0,23.57,7.89,OK
20000.0,59000.0,32.99,17.86,OK
24000.0,80000.0,24.83,20.49,OK
13200.0,85000.0,17.49,6.49,OK
5000.0,46000.0,4.12,9.17,OK
21000.0,115000.0,27.26,15.61,OK
5000.0,20000.0,25.93,12.59,OK
12000.0,54000.0,10.33,12.99,OK
24000.0,109000.0,24.24,19.22,OK
5000.0,51200.0,11.72,18.49,OK
18600.0,80000.0,16.73,14.33,OK
29900.0,68000.0,18.94,14.48,OK
10000.0,48000.0,34.69,9.17,OK
6000.0,65000.0,9.97,9.67,OK
2875.0,40000.0,21.06,20.49,OK
35000.0,90000.0,21.91,21.99,OK
14500.0,54000.0,16.98,15.31,OK
4450.0,45683.0,21.73,13.98,OK
12000.0,83500.0,3.94,16.49,OK
