amnt,income,dti,rate,state
10000.0,42000.0,5.77,9.99,OR
15000.0,69192.0,10.22,9.99,OR
16000.0,100000.0,31.56,8.67,OR
23000.0,68000.0,26.69,9.99,OR
11900.0,70000.0,23.45,15.61,OR
11000.0,52704.0,8.95,8.94,OR
23725.0,70000.0,14.78,25.99,OR
14350.0,40800.0,33.47,16.29,OR
8400.0,47000.0,21.93,8.18,OR
11200.0,37000.0,6.07,11.49,OR
22500.0,74000.0,18.64,8.90,OR
10625.0,23000.0,18.89,7.51,OR
20000.0,66131.04,15.9,6.39,OR
10000.0,41000.0,34.66,9.99,OR
33950.0,128000.0,2.33,10.16,OR
8400.0,33000.0,6.58,11.67,OR
11200.0,80000.0,9.82,19.99,OR
15600.0,65000.0,29.08,11.44,OR
20800.0,85000.0,19.74,13.18,OR
16000.0,52000.0,32.49,13.99,OR
16000.0,260000.0,16.42,17.86,OR
15000.0,80000.0,3.42,12.59,OR
19000.0,52500.0,16.09,17.27,OR
18450.0,69000.0,15.77,13.05,OR
8500.0,32000.0,5.51,9.99,OR
14000.0,46954.0,25.43,7.49,OR
24000.0,80000.0,5.01,11.67,OR
28000.0,100000.0,8.76,19.24,OR
11500.0,32000.0,22.39,13.33,OR
26000.0,112600.0,16.05,19.05,OR
12000.0,180000.0,2.16,9.63,OR
24500.0,73000.0,17.72,17.86,OR
16000.0,56208.0,30.44,13.33,OR
20650.0,85000.0,33.56,12.39,OR
10225.0,42000.0,16.89,17.14,OR
7200.0,60000.0,12.8,7.49,OR
24000.0,109000.0,11.76,11.67,OR
24000.0,54288.0,14.66,10.99,OR
20800.0,67000.0,11.08,8.90,OR
7500.0,36000.0,15.8,9.99,OR
35000.0,120000.0,18.96,13.33,OR
4000.0,52600.0,11.36,10.99,OR
12000.0,67000.0,6.05,11.49,OR
6000.0,34899.0,4.95,12.99,OR
30000.0,97476.0,18.39,9.17,OR
12400.0,52200.0,25.49,15.80,OR
16000.0,55000.0,22.09,7.89,OR
3000.0,64000.0,12.19,12.35,OR
11600.0,120000.0,22.72,9.99,OR
13600.0,92000.0,5.31,6.49,OR
2500.0,17000.0,20.19,16.78,OR
3000.0,57000.0,8.21,9.63,OR
7000.0,53000.0,24.84,12.99,OR
25000.0,67000.0,13.34,12.42,OR
9425.0,33761.0,24.1,19.99,OR
10000.0,43000.0,24.17,13.65,OR
26050.0,65000.0,4.43,16.99,OR
4000.0,44000.0,24.11,14.65,OR
10800.0,84000.0,9.41,13.99,OR
7000.0,25000.0,15.12,9.17,OR
20000.0,100000.0,22.56,13.67,OR
27000.0,120000.0,17.12,10.99,OR
7800.0,62000.0,10.2,11.99,OR
15000.0,55000.0,11.22,10.99,OR
18000.0,65000.0,21.86,10.99,OR
22750.0,60000.0,9.44,25.83,OR
10575.0,54000.0,21.49,13.35,OR
12000.0,60000.0,17.28,13.33,OR
5650.0,36000.0,17.77,15.31,OR
30000.0,118000.0,17.62,7.62,OR
10075.0,30000.0,21.76,13.66,OR
15000.0,85000.0,1.4,18.24,OR
16000.0,88000.0,11.75,18.49,OR
20000.0,280000.0,22.05,8.18,OR
12000.0,80000.0,17.36,9.17,OR
20000.0,50000.0,14.47,13.33,OR
15000.0,48000.0,23.08,19.99,OR
6000.0,48000.0,22.83,13.35,OR
12000.0,101000.0,14.7,13.98,OR
6000.0,38400.0,7.63,12.29,OR
24000.0,144415.97,15.24,18.99,OR
5500.0,65000.0,3.02,7.69,OR
5000.0,75000.0,11.12,12.69,OR
8325.0,106369.0,15.07,6.99,OR
2600.0,52000.0,19.98,11.14,OR
10000.0,40000.0,17.79,9.71,OR
6900.0,13836.0,12.84,15.61,OR
12000.0,80000.0,12.81,12.12,OR
11600.0,36129.0,26.21,11.53,OR
7000.0,22000.0,18.39,11.99,OR
12000.0,112400.0,16.08,15.31,OR
13000.0,42000.0,9.4,9.17,OR
8500.0,32000.0,23.14,14.16,OR
8250.0,27500.0,20.25,19.91,OR
11000.0,30000.0,13.64,13.99,OR
35000.0,88000.0,26.3,24.70,OR
22400.0,82000.0,10.67,15.61,OR
4200.0,79000.0,13.27,11.53,OR
20000.0,105000.0,7.74,6.91,OR
20000.0,70000.0,14.91,12.69,OR
7000.0,50000.0,14.26,15.61,OR
