amnt,income,dti,rate,state
35000.0,115000.0,21.55,14.30,PA
7000.0,62000.0,17.09,14.99,PA
25000.0,65000.0,14.4,18.75,PA
6400.0,65000.0,7.09,10.65,PA
28000.0,112000.0,27.17,11.67,PA
35000.0,148000.0,18.45,15.59,PA
16000.0,77600.0,11.52,16.99,PA
10000.0,120000.0,4.85,6.03,PA
35000.0,86000.0,11.74,18.24,PA
8000.0,105000.0,11.88,6.03,PA
14975.0,48300.0,26.86,25.83,PA
22500.0,92000.0,21.78,8.67,PA
20000.0,48000.0,21.95,12.29,PA
30000.0,97000.0,20.81,17.86,PA
10000.0,55000.0,19.86,12.29,PA
3000.0,48000.0,30.65,16.59,PA
11200.0,76000.0,12.49,13.99,PA
12000.0,90000.0,23.29,5.79,PA
3000.0,60000.0,9.86,12.49,PA
2000.0,64000.0,28.26,16.99,PA
10000.0,120000.0,27.01,8.90,PA
24000.0,100000.0,22.8,24.08,PA
3200.0,37400.0,14.18,7.89,PA
16000.0,60000.0,27.18,12.29,PA
14000.0,39000.0,24.62,24.08,PA
31175.0,71000.0,25.98,19.47,PA
9100.0,144000.0,15.17,6.03,PA
12500.0,60000.0,7.04,12.35,PA
2400.0,54000.0,8.44,17.57,PA
25000.0,58295.0,14.68,15.99,PA
9750.0,160000.0,1.19,17.76,PA
12000.0,69000.0,9.2,17.27,PA
9000.0,95000.0,13.4,12.69,PA
8000.0,42000.0,34.43,12.29,PA
1775.0,35000.0,31.85,12.12,PA
21075.0,66000.0,9.0,20.20,PA
8400.0,47093.0,15.42,10.64,PA
19200.0,120000.0,30.09,7.26,PA
9000.0,41500.0,30.13,13.33,PA
10000.0,59000.0,14.22,16.24,PA
7175.0,40000.0,26.64,16.29,PA
25000.0,59000.0,14.42,12.49,PA
23450.0,56000.0,34.65,15.61,PA
3675.0,37000.0,24.94,15.61,PA
35000.0,200000.0,13.5,7.89,PA
15000.0,48000.0,26.63,9.99,PA
28000.0,80000.0,27.96,20.99,PA
7350.0,23500.0,8.22,15.61,PA
24000.0,80000.0,25.34,9.17,PA
24000.0,165000.0,17.11,9.17,PA
20000.0,102000.0,16.68,10.15,PA
33325.0,90000.0,22.87,19.19,PA
16000.0,50000.0,7.78,14.09,PA
6000.0,67000.0,9.89,12.29,PA
2000.0,36000.0,16.83,10.99,PA
16000.0,50000.0,10.6,7.12,PA
14350.0,63000.0,22.04,24.50,PA
7500.0,48500.0,20.56,12.86,PA
24000.0,99000.0,19.79,11.36,PA
35000.0,130000.0,23.58,12.39,PA
12000.0,64000.0,3.83,16.24,PA
25200.0,86000.0,14.9,20.30,PA
20000.0,105000.0,10.83,9.17,PA
28000.0,277000.0,15.46,5.32,PA
10000.0,65939.0,27.38,7.62,PA
20000.0,65000.0,25.98,14.99,PA
10000.0,62000.0,10.96,13.35,PA
20000.0,53170.0,20.62,6.03,PA
25000.0,162000.0,9.52,15.99,PA
5000.0,65000.0,13.07,7.89,PA
16000.0,44000.0,17.95,17.57,PA
28100.0,63000.0,29.16,19.52,PA
10000.0,87553.62,23.9,20.49,PA
30000.0,90000.0,9.59,25.78,PA
3200.0,60000.0,13.41,11.53,PA
18000.0,45000.0,23.04,8.18,PA
4800.0,28000.0,26.45,11.99,PA
20400.0,45000.0,25.29,13.33,PA
21600.0,65000.0,21.69,13.33,PA
30000.0,105000.0,14.0,13.33,PA
7000.0,26000.0,31.39,15.59,PA
24000.0,100300.0,20.96,11.53,PA
13375.0,71000.0,19.08,17.14,PA
10000.0,95000.0,29.07,17.57,PA
12000.0,65000.0,6.28,14.99,PA
13175.0,30000.0,24.56,14.99,PA
25000.0,89691.0,24.54,7.62,PA
12000.0,65000.0,29.42,8.39,PA
13925.0,35000.0,24.31,18.54,PA
6000.0,40000.0,6.78,12.69,PA
28000.0,75500.0,19.8,7.90,PA
12000.0,41000.0,26.01,14.64,PA
12000.0,32000.0,30.65,9.17,PA
25000.0,175000.0,8.99,12.99,PA
9000.0,65000.0,13.64,15.80,PA
12000.0,113000.0,21.76,15.31,PA
16000.0,75000.0,26.13,14.64,PA
14000.0,62000.0,19.38,13.99,PA
20000.0,60000.0,31.22,6.89,PA
23000.0,50000.0,32.86,17.86,PA
16800.0,44420.0,10.92,14.49,PA
18000.0,150000.0,25.66,18.25,PA
5000.0,61400.0,21.71,14.27,PA
4800.0,60000.0,17.82,14.59,PA
30000.0,95000.0,20.21,15.61,PA
20000.0,60000.0,7.88,14.99,PA
20000.0,92000.0,21.77,9.17,PA
14000.0,85000.0,6.21,11.14,PA
10625.0,32000.0,27.68,12.12,PA
15000.0,52000.0,10.55,11.53,PA
6000.0,32000.0,35.52,12.69,PA
18000.0,70000.0,22.08,18.49,PA
19200.0,63000.0,27.61,6.49,PA
16000.0,103000.0,24.55,12.49,PA
10000.0,30000.0,20.68,12.59,PA
16000.0,48000.0,17.88,13.99,PA
5250.0,42000.0,23.11,15.99,PA
6025.0,27500.0,19.21,14.31,PA
21000.0,130000.0,20.1,18.49,PA
4000.0,14400.0,0.0,16.70,PA
5000.0,28800.0,20.29,6.91,PA
21000.0,92000.0,17.22,13.33,PA
20000.0,140000.0,13.85,11.53,PA
13775.0,72000.0,24.47,22.99,PA
18000.0,80000.0,11.41,12.69,PA
21000.0,325000.0,11.39,6.62,PA
3000.0,27000.0,10.98,8.39,PA
5000.0,32400.0,14.26,11.53,PA
4100.0,10409.0,11.42,18.84,PA
20000.0,107500.0,25.14,11.22,PA
7000.0,25000.0,22.52,10.99,PA
20000.0,88000.0,25.05,16.55,PA
6000.0,61000.0,12.96,15.23,PA
10500.0,40000.0,23.85,9.25,PA
9600.0,72000.0,10.02,14.33,PA
20000.0,64328.0,24.89,12.29,PA
10000.0,35000.0,21.26,10.99,PA
13425.0,56000.0,22.8,17.57,PA
35000.0,122000.0,28.53,16.55,PA
6650.0,47000.0,20.45,12.12,PA
16000.0,135000.0,20.36,7.90,PA
1000.0,18000.0,10.33,17.56,PA
25000.0,70000.0,11.83,17.77,PA
5000.0,44000.0,22.53,15.31,PA
15000.0,72000.0,21.12,6.03,PA
13250.0,39000.0,33.8,24.99,PA
12000.0,40000.0,27.23,18.99,PA
25000.0,50000.0,38.33,19.19,PA
15000.0,80000.0,13.38,12.29,PA
12000.0,135000.0,15.49,10.99,PA
20000.0,72509.0,28.63,6.49,PA
5000.0,75000.0,16.11,12.69,PA
14000.0,108436.0,13.2,10.99,PA
18000.0,52000.0,18.26,12.05,PA
29000.0,140000.0,5.09,11.14,PA
21000.0,86000.0,19.7,13.67,PA
15450.0,48000.0,18.43,12.39,PA
7800.0,42000.0,28.83,14.31,PA
5250.0,52000.0,14.84,17.27,PA
18000.0,60000.0,6.98,13.66,PA
10000.0,65000.0,11.91,14.31,PA
5000.0,45000.0,28.8,7.51,PA
4500.0,50000.0,19.78,14.61,PA
17000.0,72000.0,18.5,13.11,PA
12000.0,40000.0,18.06,13.99,PA
3000.0,75000.0,8.26,7.69,PA
7200.0,40000.0,11.46,10.99,PA
15000.0,30000.0,28.2,18.55,PA
15000.0,90000.0,11.41,10.99,PA
21000.0,71000.0,25.86,15.10,PA
6000.0,27000.0,20.71,12.73,PA
13500.0,53000.0,7.39,6.24,PA
3000.0,35000.0,22.94,14.09,PA
12800.0,132000.0,6.07,12.39,PA
12000.0,100000.0,16.62,10.49,PA
28000.0,80000.0,26.67,15.61,PA
4125.0,68000.0,20.1,14.09,PA
9075.0,25459.2,26.45,17.57,PA
19000.0,51000.0,16.42,16.99,PA
18000.0,95000.0,14.24,21.00,PA
16000.0,38480.0,20.77,14.49,PA
10000.0,60000.0,21.14,17.76,PA
35000.0,115000.0,18.63,20.49,PA
35000.0,70500.0,10.57,12.29,PA
10000.0,96000.0,8.68,17.77,PA
15000.0,61261.0,22.68,8.39,PA
16000.0,81600.0,14.74,13.99,PA
24875.0,49774.69,29.95,11.49,PA
6000.0,50000.0,27.32,6.49,PA
15000.0,43000.0,38.82,12.69,PA
4200.0,40000.0,34.65,9.99,PA
7975.0,45000.0,5.36,14.33,PA
10000.0,45000.0,26.41,18.55,PA
7500.0,30000.0,12.08,14.65,PA
21675.0,56000.0,38.28,25.57,PA
10000.0,82500.0,21.92,9.17,PA
3800.0,33000.0,23.89,10.15,PA
5000.0,60280.0,7.07,12.49,PA
12000.0,43000.0,23.47,6.49,PA
24525.0,55300.0,13.76,17.57,PA
5600.0,47000.0,24.13,10.99,PA
24000.0,69360.0,30.36,14.99,PA
24125.0,100000.0,7.61,19.52,PA
19250.0,45887.0,31.88,18.75,PA
16000.0,57000.0,20.21,16.99,PA
20000.0,85000.0,15.78,14.98,PA
25000.0,190000.0,0.13,9.25,PA
6400.0,82500.0,2.87,8.18,PA
11500.0,38000.0,16.08,15.59,PA
15000.0,41000.0,38.34,16.99,PA
16000.0,78000.0,26.17,17.10,PA
7800.0,31000.0,17.54,7.90,PA
19200.0,140000.0,18.43,6.03,PA
6000.0,54000.0,25.18,13.35,PA
9600.0,35360.0,21.69,5.99,PA
10000.0,25000.0,14.67,16.99,PA
8000.0,48000.0,8.05,17.27,PA
5000.0,26000.0,2.31,7.91,PA
28000.0,90000.0,23.99,21.99,PA
19200.0,80000.0,20.13,11.99,PA
1450.0,72515.0,9.05,13.68,PA
18275.0,65000.0,32.68,15.31,PA
10000.0,38280.0,20.19,6.49,PA
10000.0,35000.0,28.02,14.65,PA
5050.0,28061.0,21.73,8.90,PA
7500.0,54000.0,23.58,13.33,PA
11400.0,50000.0,14.74,13.33,PA
10400.0,50000.0,31.93,16.55,PA
3500.0,34500.0,32.07,10.99,PA
14000.0,70000.0,15.74,12.99,PA
13050.0,48000.0,15.0,25.57,PA
12850.0,45000.0,10.21,23.43,PA
35000.0,140000.0,9.2,12.99,PA
15000.0,65000.0,13.96,9.17,PA
12150.0,102000.0,11.46,12.49,PA
16000.0,48000.0,7.13,15.95,PA
20000.0,90000.0,19.04,10.99,PA
2050.0,48000.0,8.05,7.12,PA
18000.0,75000.0,12.85,15.61,PA
9325.0,26000.0,30.15,15.59,PA
19200.0,56000.0,17.64,12.49,PA
7000.0,62000.0,8.6,7.90,PA
11000.0,80000.0,21.63,13.98,PA
20000.0,84000.0,24.26,11.53,PA
3000.0,35000.0,6.86,11.99,PA
24000.0,108000.0,17.95,13.11,PA
9000.0,115000.0,8.37,9.99,PA
31500.0,108000.0,14.81,7.12,PA
20000.0,70000.0,23.37,7.12,PA
25600.0,60000.0,22.56,23.70,PA
35000.0,80000.0,36.26,18.49,PA
31575.0,82000.0,25.7,11.53,PA
4800.0,15000.0,11.84,15.41,PA
16500.0,55000.0,2.79,7.26,PA
5000.0,50000.0,19.68,7.89,PA
27575.0,60000.0,19.3,14.64,PA
17125.0,64000.0,33.36,18.92,PA
8200.0,30000.0,16.52,15.31,PA
35000.0,94500.0,21.74,14.47,PA
12000.0,73000.0,26.07,10.99,PA
5450.0,53000.0,17.43,12.12,PA
6000.0,17300.0,3.68,12.49,PA
35000.0,85000.0,21.1,14.65,PA
12000.0,60000.0,12.46,10.99,PA
20000.0,52000.0,37.05,16.99,PA
14000.0,80000.0,19.92,13.98,PA
7000.0,32000.0,16.99,14.30,PA
2000.0,60000.0,9.4,7.49,PA
35000.0,132600.0,16.56,19.72,PA
35000.0,80000.0,22.38,19.22,PA
22000.0,82000.0,24.13,9.99,PA
26000.0,141980.0,10.57,14.16,PA
5000.0,38500.0,31.67,12.05,PA
14500.0,185000.0,12.14,15.80,PA
12000.0,45000.0,11.49,13.99,PA
29000.0,65000.0,7.22,12.42,PA
20000.0,40000.0,38.01,13.33,PA
32400.0,150000.0,18.13,13.35,PA
30500.0,93000.0,17.61,17.86,PA
20000.0,78000.0,24.52,9.99,PA
16000.0,78500.0,24.6,12.29,PA
8875.0,36000.0,25.6,20.80,PA
35000.0,150000.0,31.76,12.69,PA
16900.0,140000.0,8.16,16.29,PA
25000.0,66000.0,30.6,20.20,PA
11200.0,58000.0,22.26,14.99,PA
10000.0,68980.0,14.79,18.25,PA
20000.0,60000.0,18.36,17.57,PA
22200.0,53000.0,34.4,16.99,PA
20000.0,70000.0,14.49,9.17,PA
18000.0,80000.0,17.44,14.33,PA
12000.0,55000.0,11.3,9.17,PA
6050.0,40000.0,15.99,14.98,PA
14150.0,46000.0,17.53,22.95,PA
15000.0,63260.0,10.38,13.33,PA
19000.0,103000.0,15.29,13.99,PA
10500.0,73000.0,15.43,17.57,PA
23500.0,60000.0,28.65,17.76,PA
7500.0,30000.0,32.56,8.18,PA
16000.0,85000.0,11.73,18.55,PA
12000.0,60000.0,26.3,12.29,PA
20000.0,88000.0,3.65,8.18,PA
24000.0,113000.0,12.49,7.89,PA
6000.0,96000.0,25.88,7.89,PA
35000.0,76000.0,18.66,20.49,PA
10000.0,65000.0,11.17,16.55,PA
21000.0,108500.0,15.12,13.33,PA
5600.0,60000.0,14.02,7.49,PA
22650.0,85000.0,11.07,15.61,PA
10400.0,74600.0,21.81,15.99,PA
2400.0,24000.0,25.55,15.22,PA
10000.0,59500.0,30.4,12.99,PA
5000.0,27000.0,3.2,13.99,PA
16000.0,57000.0,6.21,18.49,PA
4800.0,93000.0,4.61,12.69,PA
7200.0,38000.0,23.5,17.57,PA
12000.0,55000.0,12.07,12.29,PA
9450.0,27000.0,8.69,7.62,PA
2400.0,70000.0,12.86,12.69,PA
19600.0,50000.0,27.62,19.05,PA
8000.0,36681.36,11.69,7.89,PA
35000.0,150000.0,19.31,25.89,PA
15000.0,35000.0,16.08,12.99,PA
21150.0,93065.0,26.09,9.99,PA
18000.0,56000.0,26.55,13.99,PA
15475.0,38800.0,23.32,18.92,PA
14000.0,75000.0,23.04,8.18,PA
3350.0,24000.0,20.55,12.99,PA
14000.0,78000.0,18.55,13.35,PA
12000.0,59800.0,10.44,10.99,PA
15000.0,37050.0,13.09,6.24,PA
5000.0,30000.0,6.47,13.99,PA
10000.0,96100.0,16.45,11.55,PA
16950.0,50000.0,21.09,20.99,PA
10000.0,140000.0,17.14,8.18,PA
20000.0,60000.0,33.76,13.11,PA
18000.0,114000.0,18.07,8.90,PA
16000.0,49000.0,6.42,7.89,PA
18825.0,45000.0,21.25,18.25,PA
12500.0,70000.0,16.83,12.99,PA
12000.0,47000.0,8.68,14.65,PA
5000.0,80000.0,15.93,8.90,PA
25000.0,110000.0,21.2,20.99,PA
10000.0,72500.0,23.11,12.69,PA
25000.0,111000.0,21.03,27.88,PA
35000.0,121000.0,23.51,18.25,PA
15000.0,140000.0,13.6,5.93,PA
28000.0,97000.0,21.09,14.64,PA
7000.0,65000.0,10.5,14.33,PA
6000.0,52000.0,31.85,14.31,PA
7500.0,89000.0,11.91,17.10,PA
24000.0,132700.0,15.09,8.18,PA
30000.0,75000.0,20.58,10.65,PA
15000.0,54000.0,27.93,6.39,PA
12000.0,120000.0,15.48,9.99,PA
6000.0,101000.0,30.98,7.69,PA
19200.0,65000.0,9.66,12.29,PA
25000.0,215000.0,7.86,18.92,PA
4800.0,55000.0,12.57,12.49,PA
11975.0,47000.0,15.19,11.99,PA
4000.0,43000.0,23.0,14.33,PA
25000.0,145000.0,10.15,14.99,PA
10400.0,61000.0,20.69,15.61,PA
14550.0,74001.0,19.8,18.85,PA
9000.0,37000.0,14.85,7.14,PA
10000.0,42000.0,27.34,13.11,PA
10000.0,52000.0,25.64,13.67,PA
10000.0,40000.0,24.63,11.67,PA
16000.0,77500.0,11.63,13.33,PA
4800.0,20000.0,11.58,6.89,PA
35000.0,70000.0,36.48,13.67,PA
9100.0,83609.58,31.12,13.66,PA
12000.0,70000.0,6.19,16.99,PA
13200.0,114000.0,12.98,7.26,PA
25000.0,55000.0,29.65,10.15,PA
6000.0,70000.0,12.17,9.17,PA
28000.0,92000.0,19.4,17.57,PA
9600.0,85000.0,38.49,10.99,PA
19950.0,55000.0,19.55,13.99,PA
16475.0,55000.0,20.91,14.64,PA
5000.0,100000.0,18.7,8.19,PA
18000.0,45000.0,29.07,17.86,PA
4000.0,30000.0,16.4,14.65,PA
21000.0,75000.0,15.52,12.39,PA
28000.0,250000.0,10.04,7.89,PA
12000.0,70000.0,13.39,7.89,PA
12000.0,89000.0,9.48,14.49,PA
18000.0,42400.0,24.17,18.84,PA
12000.0,145000.0,15.97,11.67,PA
16000.0,101500.0,19.07,14.64,PA
30000.0,69000.0,35.1,12.69,PA
5200.0,60000.0,13.58,9.99,PA
12000.0,85000.0,24.82,13.33,PA
23475.0,73000.0,21.64,24.99,PA
12000.0,80000.0,21.14,13.68,PA
32000.0,180000.0,18.92,20.99,PA
10000.0,30000.0,7.72,10.15,PA
15000.0,155000.0,10.99,9.17,PA
20000.0,64000.0,22.82,12.99,PA
35000.0,120000.0,17.31,17.86,PA
4800.0,75000.0,22.35,14.65,PA
24000.0,300000.0,27.37,11.67,PA
