amnt,income,dti,rate,state
7200.0,31200.0,18.59,13.68,RI
24875.0,60000.0,32.72,18.24,RI
3000.0,40000.0,34.76,16.29,RI
6000.0,50000.0,12.48,13.49,RI
10000.0,52000.0,18.14,12.99,RI
10000.0,100000.0,2.68,9.17,RI
13000.0,65000.0,13.96,6.03,RI
18000.0,54000.0,13.84,13.99,RI
8975.0,60000.0,16.18,12.69,RI
11200.0,140000.0,11.22,20.49,RI
5000.0,42000.0,5.63,13.05,RI
6000.0,42000.0,19.89,12.69,RI
13000.0,56000.0,18.51,17.99,RI
7925.0,92000.0,1.04,10.99,RI
8000.0,80000.0,29.01,12.29,RI
14500.0,70000.0,8.01,13.98,RI
8000.0,30000.0,31.72,9.67,RI
18000.0,340000.0,9.87,20.99,RI
7100.0,120000.0,13.57,8.90,RI
23000.0,67000.0,23.54,9.99,RI
13200.0,90000.0,10.28,6.03,RI
28000.0,76500.0,21.21,15.61,RI
12000.0,134000.0,13.42,6.92,RI
11300.0,27000.0,23.73,12.99,RI
7500.0,67500.0,3.06,12.12,RI
20375.0,400000.0,12.04,14.47,RI
20000.0,72000.0,31.97,13.67,RI
20000.0,80000.0,23.75,7.89,RI
29700.0,92981.0,14.31,20.80,RI
10000.0,105000.0,20.74,12.99,RI
12800.0,62000.0,17.63,10.64,RI
18250.0,41600.0,27.26,23.50,RI
12000.0,65000.0,11.56,7.89,RI
8000.0,50000.0,8.12,9.17,RI
10000.0,36000.0,7.87,12.59,RI
10000.0,41004.0,7.43,9.32,RI
3600.0,55000.0,8.62,18.25,RI
28000.0,140000.0,7.52,15.61,RI
11500.0,35000.0,24.55,7.62,RI
14700.0,35000.0,30.42,16.49,RI
14000.0,40000.0,14.42,6.24,RI
7000.0,30000.0,20.0,17.93,RI
5500.0,25000.0,8.98,10.99,RI
12000.0,75000.0,12.59,7.69,RI
35000.0,180000.0,24.55,10.15,RI
10075.0,87000.0,10.1,12.29,RI
17000.0,100000.0,7.04,11.99,RI
25000.0,73000.0,25.58,20.99,RI
10000.0,110000.0,12.21,9.17,RI
18000.0,64000.0,19.18,13.35,RI
30000.0,100000.0,23.81,12.99,RI
5500.0,29000.0,31.49,12.12,RI
4200.0,52000.0,3.74,7.51,RI
21000.0,100000.0,15.15,11.99,RI
3200.0,22000.0,23.29,13.68,RI
35000.0,109000.0,14.87,19.52,RI
16000.0,130000.0,7.1,7.89,RI
16000.0,50000.0,21.34,12.12,RI
8575.0,78000.0,24.22,25.57,RI
12000.0,65000.0,12.89,17.99,RI
25000.0,80000.0,17.33,23.83,RI
14525.0,105000.0,13.87,16.99,RI
18025.0,52500.0,27.89,17.86,RI
10000.0,30000.0,14.76,13.99,RI
3600.0,62000.0,22.54,9.17,RI
10000.0,60000.0,12.9,9.17,RI
14750.0,65000.0,38.0,13.99,RI
3625.0,11532.0,19.56,22.15,RI
12000.0,42000.0,16.84,13.11,RI
18000.0,65000.0,7.55,15.31,RI
2800.0,57000.0,17.24,17.10,RI
19500.0,75000.0,23.39,13.98,RI
17050.0,37200.0,24.87,15.99,RI
21000.0,108000.0,25.49,17.76,RI
6000.0,40000.0,8.91,9.17,RI
12000.0,54000.0,19.29,15.31,RI
5500.0,33280.0,17.24,11.55,RI
7875.0,22000.0,11.78,19.22,RI
2100.0,27000.0,25.6,12.49,RI
20000.0,87000.0,8.01,14.09,RI
12000.0,52000.0,15.83,10.99,RI
24000.0,82000.0,18.63,8.19,RI
16200.0,65000.0,29.38,14.65,RI
6000.0,43000.0,16.86,12.85,RI
14800.0,56500.0,16.8,6.24,RI
7000.0,145000.0,4.26,14.49,RI
13300.0,70000.0,15.72,6.03,RI
12500.0,68000.0,26.69,18.25,RI
21475.0,57000.0,14.1,14.65,RI
10000.0,36000.0,21.48,15.61,RI
35000.0,97000.0,25.05,12.29,RI
15850.0,45000.0,14.32,12.69,RI
6000.0,61000.0,8.05,14.16,RI
24000.0,50000.0,21.1,7.89,RI
28000.0,150000.0,2.81,13.99,RI
9450.0,28000.0,15.77,14.30,RI
10000.0,90000.0,9.88,6.89,RI
11200.0,38000.0,22.57,18.99,RI
35000.0,216000.0,15.78,20.99,RI
18000.0,55000.0,18.83,16.29,RI
30000.0,75000.0,19.36,13.33,RI
16800.0,80000.0,13.34,9.17,RI
10425.0,27664.0,22.33,18.24,RI
24000.0,120000.0,23.37,7.89,RI
8000.0,105000.0,12.9,15.31,RI
6000.0,70000.0,27.74,8.90,RI
9950.0,55000.0,22.71,13.67,RI
20000.0,70000.0,6.19,12.49,RI
6000.0,31000.0,14.55,6.03,RI
28000.0,90000.0,24.7,7.62,RI
4000.0,58000.0,2.63,12.99,RI
13200.0,80000.0,13.01,6.92,RI
30000.0,110000.0,13.34,13.67,RI
11000.0,25000.0,22.52,14.48,RI
3600.0,54000.0,16.96,7.62,RI
11200.0,33000.0,30.4,19.99,RI
15000.0,49000.0,4.67,10.78,RI
27575.0,60000.0,15.64,19.52,RI
15000.0,70600.0,13.87,15.77,RI
13750.0,48000.0,21.23,18.55,RI
35000.0,110511.0,11.46,14.33,RI
25475.0,67000.0,11.18,23.50,RI
7800.0,160000.0,11.52,6.49,RI
11000.0,58000.0,14.52,12.35,RI
5000.0,90000.0,17.17,12.29,RI
10000.0,34000.0,17.68,8.18,RI
5000.0,75000.0,20.26,12.12,RI
