amnt,income,dti,rate,state
15000.0,168000.0,34.69,15.61,SC
35000.0,125000.0,14.37,27.31,SC
8000.0,52000.0,21.23,6.62,SC
9000.0,122580.0,11.32,7.89,SC
17600.0,146900.0,17.0,6.49,SC
19575.0,56100.0,23.4,22.99,SC
2500.0,56000.0,22.37,13.65,SC
12000.0,50000.0,33.7,14.33,SC
22425.0,51000.0,15.72,9.17,SC
28000.0,130000.0,9.86,14.65,SC
12000.0,40000.0,7.59,17.57,SC
20000.0,49500.0,25.72,12.99,SC
27325.0,93000.0,28.85,8.18,SC
26500.0,60000.0,12.38,16.20,SC
4500.0,80000.0,30.98,11.99,SC
24000.0,75000.0,10.38,13.33,SC
20000.0,55000.0,17.73,14.31,SC
35000.0,127000.0,12.06,17.57,SC
9500.0,43000.0,6.36,10.99,SC
3000.0,71342.0,6.92,11.49,SC
8100.0,40000.0,6.96,7.14,SC
31450.0,180000.0,26.31,17.86,SC
18000.0,51000.0,17.28,11.53,SC
12000.0,52000.0,33.03,12.99,SC
12000.0,98500.0,7.86,7.69,SC
9000.0,75000.0,21.02,9.99,SC
2000.0,50000.0,30.82,12.69,SC
10000.0,50000.0,25.73,14.16,SC
20000.0,56000.0,19.94,10.99,SC
24000.0,185000.0,13.84,12.29,SC
16000.0,49000.0,19.85,8.18,SC
8400.0,65000.0,30.43,6.89,SC
17600.0,160000.0,2.32,16.59,SC
11200.0,51000.0,3.39,14.33,SC
14000.0,51000.0,3.06,7.90,SC
23950.0,158400.0,25.52,20.99,SC
28000.0,102000.0,21.98,6.49,SC
8125.0,165900.0,6.13,23.43,SC
28800.0,80000.0,16.95,10.99,SC
7000.0,60000.0,15.72,8.90,SC
7875.0,29876.0,31.22,15.61,SC
20000.0,42000.0,16.53,8.67,SC
9000.0,45240.0,25.28,13.33,SC
20000.0,53719.0,13.43,6.49,SC
7775.0,41600.0,24.47,15.61,SC
15000.0,140000.0,13.52,11.99,SC
32000.0,80000.0,16.92,17.57,SC
12600.0,35000.0,27.3,20.99,SC
5000.0,50000.0,17.45,19.72,SC
6000.0,95000.0,9.84,22.15,SC
4000.0,28000.0,9.17,6.92,SC
28000.0,140000.0,28.94,14.65,SC
35000.0,107000.0,21.25,18.25,SC
6500.0,65000.0,2.55,18.49,SC
10425.0,58000.0,14.21,6.89,SC
27500.0,55000.0,29.51,7.89,SC
9675.0,22000.0,32.02,17.57,SC
3000.0,13200.0,14.18,10.99,SC
12000.0,29000.0,20.71,7.62,SC
21000.0,75000.0,28.94,18.99,SC
15000.0,195000.0,23.35,6.24,SC
3000.0,28000.0,32.19,12.29,SC
18500.0,88000.0,12.83,11.14,SC
10000.0,67000.0,24.34,11.14,SC
29850.0,95000.0,13.86,18.25,SC
6000.0,60000.0,14.32,9.99,SC
6400.0,65000.0,23.19,6.03,SC
15000.0,70000.0,24.05,14.49,SC
1000.0,55000.0,5.7,19.24,SC
11000.0,27000.0,35.47,11.53,SC
15000.0,150000.0,1.78,6.62,SC
5000.0,45000.0,12.83,7.26,SC
25000.0,75000.0,29.39,13.33,SC
10000.0,107000.0,13.96,15.99,SC
12000.0,40000.0,18.45,19.99,SC
10000.0,54114.0,28.5,14.09,SC
16000.0,120000.0,16.16,14.33,SC
7000.0,50000.0,17.35,8.90,SC
20000.0,160000.0,9.91,10.99,SC
12000.0,95000.0,27.15,16.99,SC
16000.0,88000.0,11.55,5.93,SC
12450.0,50000.0,19.42,17.57,SC
4425.0,54000.0,24.17,17.49,SC
15500.0,48500.0,18.21,13.65,SC
27650.0,77000.0,18.06,22.15,SC
3550.0,32000.0,37.1,18.24,SC
10000.0,60000.0,37.68,14.65,SC
10000.0,75000.0,14.24,6.03,SC
8000.0,60000.0,14.06,15.31,SC
4800.0,28500.0,7.12,14.31,SC
24000.0,70000.0,16.94,10.99,SC
10000.0,35000.0,14.47,9.17,SC
10000.0,48000.0,18.35,22.15,SC
15000.0,102000.0,15.13,8.18,SC
32000.0,85000.0,17.29,23.99,SC
19150.0,60000.0,21.2,23.99,SC
28000.0,80000.0,23.11,14.47,SC
25975.0,52000.0,11.47,17.57,SC
35000.0,190000.0,5.46,12.99,SC
19800.0,87600.0,16.71,12.49,SC
20000.0,46818.0,19.35,7.90,SC
4000.0,54000.0,7.43,6.89,SC
16350.0,79000.0,35.45,9.99,SC
6000.0,120000.0,16.52,13.98,SC
15000.0,93000.0,21.43,7.62,SC
26300.0,104000.0,14.8,19.99,SC
30000.0,60000.0,25.1,15.61,SC
4000.0,39000.0,39.42,15.59,SC
5000.0,60000.0,31.18,22.99,SC
6000.0,27000.0,13.6,15.61,SC
12000.0,112000.0,5.34,11.14,SC
12000.0,36000.0,32.73,15.22,SC
10000.0,60000.0,16.48,10.38,SC
24900.0,113000.0,20.35,13.98,SC
23300.0,53000.0,16.08,17.86,SC
10000.0,84123.0,13.52,15.61,SC
11500.0,30000.0,17.52,19.97,SC
9600.0,55000.0,13.53,7.12,SC
20000.0,117000.0,18.78,11.67,SC
10000.0,62000.0,11.03,14.16,SC
30000.0,85000.0,27.35,24.89,SC
28900.0,65000.0,33.09,18.25,SC
22800.0,60000.0,25.36,25.57,SC
4000.0,45000.0,6.88,12.69,SC
10000.0,45000.0,16.32,10.49,SC
14400.0,80000.0,15.2,5.32,SC
16375.0,39000.0,9.02,12.49,SC
28500.0,62000.0,28.48,16.29,SC
6000.0,26500.0,10.52,7.69,SC
21000.0,249000.0,2.65,13.99,SC
15100.0,45000.0,38.96,17.86,SC
12000.0,84000.0,22.39,13.67,SC
6000.0,29000.0,18.79,12.49,SC
1200.0,52061.0,18.83,24.50,SC
7500.0,62500.0,10.31,6.24,SC
30000.0,89000.0,21.18,14.49,SC
4200.0,24252.8,17.47,22.99,SC
