amnt,income,dti,rate,state
9600.0,49600.0,4.86,12.99,SD
6850.0,32536.0,15.16,14.33,SD
17475.0,49000.0,24.7,10.16,SD
7000.0,40000.0,28.05,11.99,SD
10000.0,60000.0,27.7,15.61,SD
16950.0,38000.0,20.56,13.68,SD
12000.0,55000.0,11.28,10.16,SD
12150.0,54500.0,34.45,16.29,SD
10000.0,68500.0,17.96,6.24,SD
10000.0,70000.0,26.5,14.33,SD
17475.0,49500.0,14.57,19.47,SD
21350.0,95000.0,25.67,13.33,SD
20000.0,62000.0,25.16,8.19,SD
10350.0,42000.0,24.17,14.49,SD
11725.0,63500.0,35.66,16.99,SD
14000.0,115000.0,9.34,26.06,SD
8000.0,39000.0,24.34,12.29,SD
5925.0,35000.0,39.79,12.29,SD
10000.0,62000.0,22.38,10.99,SD
13000.0,100000.0,14.81,6.68,SD
21000.0,88000.0,30.41,7.89,SD
15000.0,55000.0,21.32,15.80,SD
13825.0,33000.0,32.49,13.66,SD
6000.0,20405.0,28.41,12.49,SD
16000.0,60000.0,14.02,13.18,SD
17500.0,75800.0,17.62,6.03,SD
15000.0,55000.0,36.24,16.99,SD
16000.0,55000.0,18.41,6.03,SD
20400.0,71500.0,16.76,12.99,SD
10000.0,33000.0,16.65,11.99,SD
6000.0,38000.0,24.01,8.18,SD
10575.0,39000.0,16.68,9.99,SD
20000.0,47000.0,25.94,6.49,SD
17500.0,80000.0,6.5,7.89,SD
15850.0,31850.0,19.14,26.06,SD
1600.0,43680.0,17.69,15.61,SD
16000.0,65000.0,12.87,5.32,SD
10000.0,70000.0,25.37,12.99,SD
6000.0,45000.0,29.04,12.12,SD
15000.0,57000.0,20.57,17.57,SD
23800.0,69000.0,23.27,22.99,SD
2575.0,49900.0,38.34,17.57,SD
10000.0,50000.0,22.66,13.11,SD
3500.0,31500.0,8.57,13.98,SD
12300.0,43126.0,21.47,19.72,SD
15000.0,65000.0,18.54,7.90,SD
20000.0,60000.0,25.92,15.31,SD
10000.0,48000.0,28.18,9.99,SD
6200.0,15300.0,22.43,13.49,SD
10400.0,40000.0,21.21,12.99,SD
13000.0,40000.0,32.73,12.29,SD
15250.0,44000.0,33.25,17.57,SD
9600.0,41000.0,24.5,10.99,SD
12000.0,47000.0,16.44,9.99,SD
11100.0,28000.0,24.6,15.61,SD
7200.0,34000.0,14.68,15.80,SD
20000.0,59000.0,11.13,12.69,SD
24000.0,140000.0,22.32,7.90,SD
28000.0,175000.0,13.89,5.32,SD
10000.0,70000.0,25.92,6.68,SD
35000.0,98000.0,30.38,16.55,SD
2800.0,39260.0,6.3,12.12,SD
7000.0,68000.0,4.54,12.69,SD
20000.0,55000.0,25.66,13.66,SD
20000.0,60000.0,24.7,8.18,SD
16500.0,123000.0,17.84,9.49,SD
10000.0,60000.0,35.2,12.59,SD
13000.0,40000.0,16.32,14.64,SD
10200.0,57000.0,37.68,13.18,SD
5000.0,45000.0,21.45,10.99,SD
15000.0,73000.0,21.08,18.92,SD
11200.0,47000.0,28.55,15.61,SD
25950.0,68000.0,28.79,17.27,SD
25000.0,88000.0,14.54,10.16,SD
7000.0,65000.0,16.06,13.35,SD
12000.0,47000.0,18.69,11.67,SD
14375.0,40000.0,31.02,17.57,SD
10000.0,60000.0,16.7,14.65,SD
6875.0,25000.0,26.31,20.99,SD
11000.0,50000.0,2.06,7.90,SD
13200.0,48000.0,19.63,12.29,SD
8800.0,70000.0,13.78,6.49,SD
15675.0,35000.0,11.42,17.57,SD
25000.0,96532.8,14.16,14.99,SD
20675.0,45000.0,7.81,12.69,SD
7000.0,26000.0,16.25,16.29,SD
