amnt,income,dti,rate,state
21000.0,108000.0,12.63,16.99,TN
5650.0,52000.0,11.33,17.86,TN
6000.0,47630.0,7.05,10.78,TN
12375.0,36400.0,36.77,19.52,TN
8000.0,48100.0,1.02,11.53,TN
4525.0,150000.0,4.44,15.59,TN
18400.0,43000.0,18.2,16.20,TN
12000.0,52000.0,14.52,6.97,TN
29575.0,61742.0,26.81,17.57,TN
17600.0,70000.0,17.92,8.18,TN
14500.0,29000.0,24.09,11.53,TN
15000.0,128000.0,6.98,12.69,TN
17450.0,98000.0,16.73,14.33,TN
1600.0,60000.0,29.06,16.55,TN
10000.0,62000.0,12.18,9.17,TN
28000.0,84000.0,17.39,7.89,TN
14000.0,86000.0,14.16,7.89,TN
16925.0,64404.0,16.08,14.30,TN
1500.0,30000.0,7.88,14.65,TN
20000.0,105000.0,14.18,16.29,TN
30000.0,75000.0,24.0,18.54,TN
30000.0,70000.0,22.22,11.48,TN
3000.0,26000.0,15.14,12.59,TN
5600.0,72000.0,13.5,20.20,TN
22000.0,67000.0,17.95,12.35,TN
35000.0,443000.0,20.96,21.18,TN
15000.0,80000.0,21.68,15.61,TN
10000.0,49824.0,24.49,8.39,TN
28000.0,140000.0,19.0,9.99,TN
27900.0,80000.0,6.24,6.03,TN
5000.0,75000.0,17.86,12.69,TN
35000.0,83000.0,29.93,16.24,TN
15000.0,70000.0,26.93,14.16,TN
4450.0,24000.0,33.07,20.20,TN
10000.0,36000.0,23.2,10.64,TN
15000.0,60000.0,15.67,7.62,TN
14400.0,66950.0,11.2,16.99,TN
27000.0,72400.0,31.94,7.89,TN
15000.0,38500.0,30.21,18.84,TN
15050.0,133000.0,20.75,17.86,TN
6800.0,47000.0,17.26,6.49,TN
35000.0,104000.0,35.56,14.31,TN
7200.0,65000.0,21.99,12.29,TN
3000.0,25000.0,11.95,15.61,TN
16000.0,49200.0,10.02,15.80,TN
13100.0,41000.0,16.42,20.20,TN
20000.0,75000.0,20.13,16.99,TN
28000.0,125000.0,6.65,16.99,TN
8000.0,47000.0,7.25,14.30,TN
15000.0,104000.0,13.0,20.20,TN
6600.0,100000.0,3.53,7.69,TN
18000.0,90000.0,16.97,7.26,TN
16000.0,110000.0,12.99,5.93,TN
21000.0,110000.0,12.15,16.99,TN
6500.0,30000.0,9.28,10.16,TN
7000.0,81000.0,12.15,12.99,TN
28000.0,70000.0,20.92,20.99,TN
4000.0,53000.0,3.65,9.17,TN
16000.0,40000.0,19.26,11.53,TN
8000.0,68000.0,36.3,10.99,TN
25000.0,120000.0,20.32,5.32,TN
16500.0,70000.0,19.82,10.99,TN
30000.0,85000.0,17.46,9.99,TN
18000.0,45000.0,37.81,9.99,TN
7000.0,24000.0,10.85,14.64,TN
8875.0,26000.0,32.35,14.33,TN
28000.0,67000.0,17.09,13.33,TN
24000.0,80000.0,14.85,13.33,TN
2775.0,45000.0,31.76,18.84,TN
7500.0,63000.0,11.75,12.29,TN
22950.0,51000.0,28.42,17.76,TN
35000.0,130500.0,32.46,15.61,TN
15000.0,80000.0,18.99,9.17,TN
35000.0,120000.0,24.76,20.99,TN
10800.0,50000.0,15.55,17.56,TN
11850.0,35000.0,20.85,19.52,TN
2400.0,55000.0,14.77,20.31,TN
12250.0,35000.0,14.57,15.22,TN
27400.0,76296.0,22.19,25.83,TN
11000.0,45000.0,18.69,7.89,TN
20000.0,121000.0,3.84,11.44,TN
4800.0,26000.0,27.61,14.99,TN
8000.0,45500.0,20.15,23.40,TN
5500.0,62000.0,22.86,23.99,TN
11000.0,38000.0,23.53,14.99,TN
12950.0,26000.0,29.64,12.29,TN
16500.0,135000.0,9.59,10.99,TN
8400.0,43500.0,20.0,13.11,TN
16000.0,60000.0,28.06,12.29,TN
30000.0,72000.0,21.37,16.55,TN
10000.0,33000.0,27.35,19.99,TN
19200.0,75000.0,16.72,12.59,TN
12000.0,130000.0,8.2,19.52,TN
15000.0,38000.0,15.54,14.33,TN
15000.0,46000.0,19.18,7.89,TN
11500.0,25000.0,33.46,19.52,TN
25500.0,62500.0,17.72,16.99,TN
5000.0,27000.0,23.91,13.33,TN
35000.0,150000.0,11.05,15.61,TN
23000.0,83000.0,28.12,12.49,TN
22750.0,155000.0,12.95,13.66,TN
7400.0,33000.0,27.31,13.98,TN
11375.0,33000.0,15.56,16.55,TN
1500.0,55000.0,1.79,15.61,TN
20000.0,70000.0,25.2,14.99,TN
12000.0,70000.0,26.62,6.03,TN
10500.0,41000.0,16.58,9.17,TN
3000.0,90000.0,10.59,7.12,TN
12000.0,64500.0,8.71,12.29,TN
24000.0,80000.0,17.94,11.53,TN
2400.0,55000.0,18.79,11.55,TN
35000.0,240000.0,25.31,16.55,TN
16000.0,70000.0,23.02,12.29,TN
5750.0,17500.0,37.17,13.33,TN
13000.0,45000.0,15.36,19.19,TN
3500.0,35000.0,28.21,18.25,TN
35000.0,92000.0,29.09,19.99,TN
20000.0,77000.0,27.84,13.33,TN
8000.0,58475.0,21.22,12.39,TN
10000.0,71000.0,34.03,13.99,TN
7000.0,63000.0,17.14,11.99,TN
18500.0,50000.0,31.61,15.99,TN
20000.0,200000.0,9.46,6.03,TN
