amnt,income,dti,rate,state
13800.0,55000.0,17.06,12.49,TX
12375.0,45000.0,11.73,13.11,TX
35000.0,180000.0,10.51,16.89,TX
4200.0,38000.0,17.81,10.49,TX
32000.0,112000.0,21.25,7.12,TX
20000.0,72000.0,32.43,16.78,TX
2400.0,47000.0,24.46,9.17,TX
7000.0,52000.0,17.61,15.31,TX
6000.0,28000.0,31.89,16.20,TX
6000.0,104400.0,19.84,7.62,TX
5000.0,55000.0,5.93,17.27,TX
7000.0,60000.0,11.19,10.15,TX
12000.0,97000.0,12.64,14.09,TX
14000.0,45000.0,25.79,12.12,TX
5000.0,33800.0,21.51,15.80,TX
27000.0,73300.0,27.83,16.99,TX
3500.0,65000.0,15.66,6.68,TX
32000.0,80000.0,25.62,13.98,TX
13500.0,68000.0,23.61,9.17,TX
9000.0,50000.0,32.56,6.24,TX
15000.0,100000.0,21.9,20.99,TX
19000.0,45000.0,12.24,6.03,TX
32000.0,122500.0,16.95,15.61,TX
10000.0,105000.0,34.63,14.48,TX
11000.0,44000.0,10.45,14.31,TX
20550.0,53000.0,21.49,22.99,TX
5000.0,50000.0,30.77,11.53,TX
18000.0,70000.0,21.41,11.49,TX
5100.0,26270.0,27.46,19.99,TX
7800.0,34000.0,22.73,15.59,TX
7000.0,24000.0,27.6,14.09,TX
11875.0,59000.0,27.22,18.25,TX
2000.0,25000.0,19.25,22.47,TX
12000.0,49000.0,26.77,14.33,TX
31300.0,70000.0,27.53,24.70,TX
15000.0,72000.0,9.37,6.24,TX
17125.0,81794.0,28.68,10.99,TX
11000.0,50999.0,22.87,17.58,TX
7275.0,88174.0,20.78,10.49,TX
18625.0,65000.0,17.91,6.03,TX
11000.0,32000.0,32.66,15.80,TX
20800.0,84000.0,15.47,10.49,TX
13000.0,42000.0,17.68,11.53,TX
21000.0,85000.0,12.82,10.15,TX
15000.0,70000.0,11.87,7.89,TX
12600.0,48000.0,33.78,16.55,TX
10000.0,94900.0,14.8,6.99,TX
12000.0,78000.0,13.31,13.67,TX
15000.0,96000.0,31.23,13.18,TX
10000.0,61500.0,11.77,12.69,TX
6000.0,86000.0,13.38,11.53,TX
24000.0,80000.0,33.03,15.61,TX
28000.0,96000.0,24.08,7.89,TX
15000.0,82500.0,23.35,11.99,TX
19200.0,75000.0,4.22,13.35,TX
18000.0,140000.0,25.31,11.14,TX
15625.0,34000.0,3.88,16.55,TX
13500.0,110000.0,35.08,15.41,TX
24000.0,100000.0,11.5,17.27,TX
15000.0,42000.0,11.89,12.29,TX
14750.0,95000.0,15.04,10.74,TX
6400.0,65000.0,17.5,16.20,TX
12000.0,70450.81,19.91,12.49,TX
34000.0,80000.0,25.01,26.77,TX
15000.0,160000.0,12.87,12.69,TX
24000.0,75000.0,15.89,9.99,TX
34200.0,72000.0,25.0,14.47,TX
25000.0,150000.0,14.06,19.99,TX
8000.0,56000.0,8.81,11.53,TX
7000.0,75000.0,13.49,7.89,TX
12000.0,69000.0,32.75,8.90,TX
20400.0,70000.0,17.71,16.55,TX
7000.0,55000.0,23.92,13.33,TX
30000.0,160000.0,25.43,12.69,TX
16800.0,148000.0,16.52,7.89,TX
30000.0,200000.0,14.15,9.49,TX
12000.0,75000.0,29.51,7.89,TX
10300.0,105000.0,8.45,15.99,TX
15000.0,70000.0,21.77,18.54,TX
6000.0,86551.0,19.69,14.64,TX
10000.0,50000.0,2.54,13.18,TX
10000.0,23204.0,34.25,9.17,TX
14500.0,57000.0,10.21,16.29,TX
16800.0,162000.0,17.23,12.99,TX
6475.0,18000.0,25.4,17.57,TX
10000.0,85000.0,17.27,7.90,TX
14400.0,65000.0,21.68,6.92,TX
9400.0,60000.0,11.56,7.90,TX
22000.0,115977.0,27.07,12.29,TX
20500.0,60000.0,28.88,12.99,TX
12000.0,63900.0,33.3,12.29,TX
6425.0,60250.0,13.27,6.68,TX
12500.0,81000.0,11.87,11.53,TX
35000.0,109865.0,16.93,14.65,TX
10625.0,60600.0,16.51,13.11,TX
3200.0,106000.0,14.65,13.11,TX
18700.0,87500.0,16.55,17.86,TX
10800.0,60947.0,10.59,12.12,TX
28625.0,450000.0,1.79,17.57,TX
12350.0,96000.0,5.55,10.99,TX
35000.0,129792.0,15.71,18.64,TX
10000.0,56000.0,14.62,12.39,TX
25000.0,120000.0,19.52,23.63,TX
12000.0,95000.0,13.13,8.90,TX
12000.0,67000.0,26.12,6.62,TX
23100.0,70000.0,25.06,20.99,TX
5000.0,50000.0,9.48,11.44,TX
5000.0,185000.0,11.97,7.68,TX
10000.0,35000.0,17.9,15.80,TX
16425.0,76000.0,18.51,16.99,TX
20000.0,70000.0,7.73,11.99,TX
10000.0,50000.0,25.54,9.17,TX
1000.0,27000.0,25.56,20.99,TX
27000.0,105000.0,31.09,6.89,TX
25000.0,85000.0,17.6,7.89,TX
17900.0,60396.0,18.22,17.57,TX
12800.0,114000.0,12.0,9.99,TX
12000.0,76000.0,14.99,12.99,TX
6000.0,250000.0,9.56,7.89,TX
10575.0,47352.12,22.45,15.61,TX
13000.0,53000.0,20.19,9.17,TX
11500.0,29000.0,11.84,16.99,TX
8000.0,52000.0,20.77,11.71,TX
15000.0,90000.0,22.56,10.99,TX
15000.0,165000.0,15.8,12.29,TX
24000.0,48000.0,28.8,8.19,TX
26400.0,80000.0,25.35,11.14,TX
15200.0,50000.0,7.25,12.21,TX
15000.0,67000.0,21.39,17.14,TX
20000.0,58000.0,12.46,13.49,TX
4500.0,76500.0,14.51,7.26,TX
11325.0,34000.0,25.45,20.20,TX
6000.0,247276.8,1.56,16.99,TX
30000.0,95000.0,15.61,15.61,TX
6000.0,35901.4,16.08,9.99,TX
10000.0,58518.0,29.51,11.14,TX
18000.0,78000.0,13.71,23.43,TX
1000.0,52000.0,25.47,13.33,TX
15200.0,72000.0,28.13,12.88,TX
12000.0,33600.0,31.0,8.67,TX
13475.0,30000.0,15.92,11.67,TX
20000.0,112000.0,9.96,8.19,TX
28000.0,121100.0,13.53,8.90,TX
21000.0,110000.0,34.1,12.59,TX
15000.0,62000.0,13.07,12.29,TX
35000.0,117000.0,26.92,15.61,TX
28000.0,118700.0,15.71,7.89,TX
10125.0,61000.0,9.5,15.61,TX
18000.0,75000.0,9.22,11.99,TX
5000.0,58000.0,31.45,15.59,TX
15000.0,50000.0,8.9,15.95,TX
2000.0,50000.0,27.12,11.53,TX
5000.0,36000.0,3.93,12.59,TX
19150.0,60000.0,10.78,18.99,TX
7500.0,56500.0,6.13,16.49,TX
16000.0,100000.0,13.82,8.90,TX
16000.0,94000.0,17.17,15.88,TX
6000.0,37452.0,15.7,6.92,TX
17600.0,145000.0,24.26,8.39,TX
3600.0,75000.0,29.54,11.99,TX
24000.0,75000.0,8.13,6.99,TX
14400.0,37000.0,26.31,10.15,TX
25000.0,68000.0,14.61,6.24,TX
10000.0,50000.0,15.53,10.99,TX
5000.0,30000.0,7.6,10.99,TX
10000.0,49000.0,14.01,8.67,TX
5000.0,25000.0,9.22,9.17,TX
14000.0,51152.0,27.5,6.92,TX
9600.0,113000.0,18.54,11.34,TX
18000.0,115000.0,16.24,7.62,TX
3500.0,60000.0,9.94,8.67,TX
5000.0,103000.0,15.23,6.24,TX
24000.0,100000.0,21.48,7.89,TX
17000.0,85000.0,7.08,7.89,TX
11700.0,45000.0,25.07,18.92,TX
28000.0,120000.0,25.38,10.49,TX
8000.0,65000.0,23.91,11.99,TX
10000.0,33922.2,20.28,18.99,TX
25000.0,90000.0,21.14,17.27,TX
