amnt,income,dti,rate,state
5300.0,36000.0,17.23,7.49,UT
13000.0,50000.0,29.33,10.99,UT
18000.0,78000.0,15.08,14.48,UT
10000.0,70000.0,9.69,6.03,UT
11000.0,45000.0,16.4,8.19,UT
7350.0,123000.0,8.32,17.86,UT
12000.0,110000.0,11.19,9.99,UT
12000.0,95000.0,16.52,7.89,UT
17600.0,50000.0,15.53,9.17,UT
14400.0,52000.0,16.06,12.99,UT
20000.0,107496.0,16.01,12.69,UT
10000.0,107000.0,21.81,13.33,UT
20000.0,48000.0,20.53,16.49,UT
15850.0,140000.0,12.78,17.86,UT
19575.0,44500.0,11.39,17.57,UT
8000.0,55000.0,21.99,16.29,UT
25000.0,125000.0,16.62,11.53,UT
12000.0,75000.0,6.56,6.62,UT
8000.0,29424.0,22.3,11.53,UT
12000.0,80000.0,22.23,13.35,UT
5000.0,35000.0,26.41,9.17,UT
9450.0,27000.0,23.07,13.99,UT
18000.0,45000.0,12.21,9.71,UT
18000.0,45000.0,17.81,12.49,UT
3000.0,62000.0,22.16,17.86,UT
21000.0,75000.0,18.06,10.99,UT
25000.0,60000.0,15.2,19.99,UT
24000.0,107000.0,16.97,10.99,UT
4375.0,38500.0,27.96,15.61,UT
3500.0,47000.0,10.14,9.99,UT
4000.0,32004.0,15.07,8.32,UT
18000.0,84000.0,28.26,11.67,UT
21000.0,120000.0,10.71,14.49,UT
11200.0,70000.0,30.89,12.39,UT
7200.0,46000.0,9.73,12.29,UT
10000.0,42000.0,19.89,14.65,UT
3500.0,63000.0,32.63,11.14,UT
12100.0,56000.0,13.84,17.57,UT
20000.0,47860.0,26.89,8.90,UT
11000.0,200000.0,16.7,6.49,UT
22000.0,72500.0,18.05,20.99,UT
17625.0,40000.0,23.83,20.49,UT
10000.0,85000.0,19.46,13.18,UT
35000.0,101000.0,13.03,12.88,UT
32450.0,89000.0,33.74,18.25,UT
5500.0,60000.0,11.78,7.62,UT
12000.0,50000.0,31.37,12.69,UT
10500.0,100000.0,10.14,6.68,UT
