amnt,income,dti,rate,state
8600.0,24000.0,26.19,17.86,VA
18000.0,43000.0,18.7,13.99,VA
16800.0,65000.0,5.58,15.88,VA
9800.0,80000.0,16.74,10.15,VA
15625.0,116000.0,35.31,17.86,VA
20000.0,96000.0,9.61,8.90,VA
6200.0,56000.0,17.27,6.89,VA
5875.0,54000.0,16.78,19.89,VA
12000.0,58212.0,11.54,17.27,VA
1325.0,44000.0,31.83,13.67,VA
15000.0,96000.0,8.68,7.89,VA
35000.0,130000.0,18.19,15.61,VA
10000.0,52000.0,35.01,12.88,VA
30000.0,104000.0,26.44,18.99,VA
35000.0,100800.0,29.33,14.65,VA
9000.0,116000.0,13.42,7.69,VA
30000.0,70000.0,10.99,14.47,VA
18575.0,62083.07,8.43,7.90,VA
22600.0,85000.0,14.95,14.99,VA
8000.0,42000.0,20.23,12.29,VA
12000.0,71062.0,25.79,12.29,VA
14100.0,85000.0,26.43,6.03,VA
15000.0,51000.0,14.12,15.59,VA
27200.0,66000.0,12.58,9.17,VA
20125.0,45000.0,13.39,17.27,VA
35000.0,120000.0,10.58,11.99,VA
3000.0,130000.0,25.34,11.53,VA
12000.0,65000.0,10.21,8.18,VA
35000.0,138300.0,23.21,20.49,VA
24000.0,100000.0,24.67,11.99,VA
15000.0,65000.0,5.39,12.69,VA
10000.0,86000.0,10.23,6.49,VA
9600.0,30000.0,14.16,7.12,VA
30225.0,168000.0,15.04,6.39,VA
7800.0,50000.0,25.68,9.17,VA
30000.0,81000.0,26.64,21.00,VA
35000.0,106900.0,30.8,18.99,VA
9450.0,31924.8,12.37,11.55,VA
24000.0,72000.0,8.8,14.49,VA
3000.0,56000.0,24.94,6.76,VA
8000.0,40000.0,17.31,12.49,VA
15000.0,120000.0,19.52,18.55,VA
11000.0,51734.0,33.75,8.18,VA
24000.0,130000.0,9.89,12.29,VA
9600.0,58000.0,12.35,7.90,VA
9450.0,22500.0,25.17,14.99,VA
21000.0,75000.0,21.63,10.99,VA
10000.0,90000.0,8.41,10.99,VA
15000.0,37450.0,37.63,11.44,VA
13200.0,90888.0,18.8,14.79,VA
15775.0,90500.0,18.02,6.68,VA
7200.0,65000.0,12.67,10.99,VA
19200.0,85500.0,25.14,13.18,VA
12000.0,66500.0,9.8,12.12,VA
15500.0,65000.0,4.39,7.69,VA
20000.0,104000.0,10.79,11.53,VA
21000.0,113000.0,22.22,16.29,VA
20000.0,100000.0,14.03,10.99,VA
25000.0,65000.0,27.42,19.47,VA
8000.0,53000.0,12.39,12.29,VA
33000.0,75000.0,14.86,17.77,VA
20000.0,80600.0,25.65,20.99,VA
12000.0,54000.0,16.76,12.99,VA
27500.0,73000.0,16.06,11.67,VA
16000.0,57200.0,8.08,15.41,VA
35000.0,150000.0,18.95,14.99,VA
13000.0,42099.0,37.03,12.99,VA
14400.0,40500.0,24.65,13.98,VA
12000.0,42000.0,24.4,12.29,VA
35000.0,144000.0,6.14,11.53,VA
21475.0,85000.0,26.87,18.25,VA
23075.0,68000.0,36.8,19.24,VA
6500.0,66570.0,17.04,6.24,VA
20000.0,102000.0,25.07,10.64,VA
35000.0,121950.0,35.83,13.33,VA
22000.0,63000.0,25.71,12.29,VA
32800.0,74555.0,26.27,18.25,VA
12000.0,75000.0,24.22,11.53,VA
24000.0,200000.0,17.08,17.06,VA
15200.0,80000.0,18.48,16.49,VA
6500.0,38000.0,12.95,11.34,VA
6000.0,78000.0,8.15,9.17,VA
16000.0,40000.0,24.87,5.93,VA
13600.0,40000.0,38.79,20.99,VA
24000.0,74000.0,18.12,14.65,VA
35000.0,89000.0,15.17,21.00,VA
14000.0,108000.0,25.43,12.12,VA
12000.0,89000.0,22.0,7.49,VA
24000.0,174000.0,9.25,13.98,VA
10000.0,60000.0,12.14,9.99,VA
10000.0,50000.0,28.9,16.29,VA
24000.0,70000.0,32.78,8.67,VA
30000.0,180000.0,21.76,24.70,VA
25000.0,88800.0,19.39,15.61,VA
16000.0,70000.0,29.08,13.99,VA
12000.0,80000.0,14.73,10.16,VA
35000.0,110000.0,4.64,15.31,VA
15000.0,105000.0,14.67,8.18,VA
20000.0,180000.0,13.55,6.68,VA
20000.0,44000.0,17.87,8.19,VA
20000.0,115000.0,16.35,7.62,VA
13000.0,60000.0,17.69,6.03,VA
12000.0,60000.0,6.22,10.64,VA
10000.0,84000.0,10.57,7.62,VA
6000.0,23446.8,37.12,14.65,VA
11875.0,33000.0,20.98,17.86,VA
10000.0,82000.0,15.45,13.11,VA
12950.0,36000.0,15.97,14.49,VA
29700.0,185000.0,11.42,9.17,VA
30000.0,109000.0,20.82,15.80,VA
8600.0,68000.0,24.62,14.30,VA
7000.0,80000.0,6.66,6.89,VA
9200.0,83000.0,25.29,5.32,VA
28775.0,60000.0,26.86,14.49,VA
8500.0,70000.0,5.92,8.18,VA
1500.0,61000.0,23.59,12.99,VA
6000.0,52000.0,19.87,13.33,VA
19400.0,55000.0,18.96,14.09,VA
25000.0,70000.0,29.95,24.50,VA
10300.0,70000.0,6.87,6.89,VA
10800.0,46800.0,23.49,7.62,VA
10000.0,130000.0,17.0,7.90,VA
9000.0,48000.0,16.35,8.94,VA
32400.0,123519.0,34.27,16.99,VA
12000.0,48400.0,13.34,16.29,VA
17000.0,44200.0,25.16,12.99,VA
35000.0,100000.0,23.41,14.65,VA
34200.0,150000.0,13.18,16.99,VA
18500.0,100000.0,20.39,8.67,VA
21000.0,54000.0,15.21,8.38,VA
9000.0,100000.0,25.65,7.89,VA
15000.0,96000.0,17.1,9.67,VA
12000.0,54000.0,9.44,8.90,VA
7000.0,60000.0,12.66,10.64,VA
22000.0,98000.0,5.01,9.17,VA
14650.0,41000.0,18.74,25.83,VA
12000.0,55000.0,22.92,16.24,VA
28000.0,95000.0,17.4,15.61,VA
17000.0,96500.0,6.73,5.32,VA
22950.0,65500.0,28.68,12.88,VA
28000.0,118500.0,17.04,8.18,VA
21600.0,93000.0,39.61,13.33,VA
11000.0,100000.0,8.18,10.15,VA
17500.0,42000.0,10.63,18.99,VA
4800.0,51630.0,24.68,17.27,VA
20000.0,85000.0,22.12,17.27,VA
12000.0,50000.0,24.96,15.61,VA
15000.0,61200.0,20.59,9.17,VA
12000.0,184000.0,17.98,6.49,VA
4550.0,106000.0,21.94,14.49,VA
35000.0,100000.0,12.37,17.27,VA
12000.0,240000.0,21.89,10.99,VA
12000.0,48800.0,8.58,13.85,VA
15000.0,45000.0,27.15,14.65,VA
1500.0,60000.0,8.52,12.87,VA
10000.0,38000.0,21.83,9.67,VA
14075.0,87500.0,14.25,7.62,VA
2800.0,85000.0,28.81,12.35,VA
8000.0,37000.0,28.32,9.99,VA
24000.0,85000.0,20.03,7.26,VA
35000.0,146500.0,15.97,17.57,VA
9500.0,140000.0,22.12,9.71,VA
20000.0,52000.0,14.4,11.99,VA
20000.0,80000.0,23.93,14.99,VA
15000.0,100000.0,37.87,13.44,VA
20000.0,128000.0,22.69,21.00,VA
6375.0,50000.0,19.58,16.29,VA
21000.0,118000.0,9.27,8.39,VA
10200.0,50000.0,28.06,18.92,VA
7000.0,25000.0,27.7,11.53,VA
12000.0,50000.0,21.83,13.67,VA
25000.0,125000.0,15.79,7.12,VA
10500.0,36243.0,8.61,11.67,VA
19775.0,56000.0,18.68,11.55,VA
18000.0,85000.0,30.31,9.99,VA
12000.0,60000.0,15.78,6.03,VA
8000.0,68000.0,10.06,6.03,VA
15075.0,55000.0,26.26,8.90,VA
12000.0,86000.0,12.1,20.99,VA
25000.0,65000.0,18.02,12.69,VA
19200.0,73000.0,12.03,18.25,VA
20000.0,79864.0,11.14,22.06,VA
20400.0,57000.0,6.84,17.74,VA
6000.0,100000.0,6.08,7.89,VA
34000.0,120000.0,21.35,15.61,VA
34975.0,86564.0,26.68,6.92,VA
15000.0,92000.0,17.17,6.24,VA
22000.0,72000.0,10.11,8.67,VA
13200.0,55200.0,14.22,10.99,VA
28000.0,98000.0,17.96,10.99,VA
25000.0,100000.0,26.48,19.72,VA
16225.0,62100.0,29.74,10.99,VA
16000.0,58000.0,15.55,12.29,VA
12000.0,49000.0,18.29,19.52,VA
12000.0,50000.0,16.66,15.31,VA
19375.0,70000.0,23.32,12.69,VA
25000.0,90000.0,13.79,13.99,VA
17975.0,50004.0,24.6,25.57,VA
22575.0,49220.0,26.14,12.49,VA
12000.0,67968.0,10.61,6.89,VA
20000.0,115000.0,25.64,14.65,VA
8000.0,82000.0,17.4,10.64,VA
15000.0,83000.0,25.53,18.25,VA
16000.0,70000.0,19.36,8.19,VA
10000.0,43000.0,12.56,8.00,VA
9100.0,55000.0,39.84,10.99,VA
35000.0,120000.0,9.82,14.99,VA
6075.0,60000.0,12.98,17.27,VA
5000.0,35000.0,26.37,7.89,VA
32000.0,184030.0,24.49,10.99,VA
10400.0,48750.0,31.63,13.98,VA
24000.0,125000.0,11.09,9.71,VA
22000.0,85921.0,19.63,8.90,VA
20400.0,42000.0,20.46,13.33,VA
6000.0,163500.0,17.8,17.19,VA
12900.0,72000.0,14.62,22.74,VA
13500.0,72000.0,29.51,13.53,VA
13500.0,88000.0,12.85,12.99,VA
35000.0,90000.0,25.39,15.31,VA
8800.0,49000.0,28.19,16.29,VA
11000.0,47110.0,10.67,10.99,VA
21000.0,110000.0,33.08,14.31,VA
13850.0,31500.0,35.89,22.99,VA
13000.0,50000.0,15.82,6.39,VA
20000.0,92500.0,30.98,13.67,VA
10000.0,85004.92,20.5,9.99,VA
16000.0,155000.0,2.74,5.32,VA
21000.0,119000.0,19.14,13.11,VA
20000.0,128750.0,15.35,12.99,VA
8050.0,27000.0,29.91,13.99,VA
21000.0,114000.0,23.76,9.99,VA
35000.0,149000.0,18.78,7.89,VA
25000.0,145000.0,16.83,7.90,VA
25825.0,61579.0,9.51,19.52,VA
25000.0,120000.0,3.92,13.98,VA
18000.0,80000.0,14.07,11.67,VA
30000.0,99900.0,15.58,17.86,VA
30000.0,70000.0,24.21,8.39,VA
21000.0,95800.0,18.81,13.99,VA
14000.0,80000.0,29.79,11.14,VA
6750.0,56000.0,2.38,15.61,VA
2400.0,42000.0,21.2,15.61,VA
26500.0,102000.0,8.72,17.57,VA
15200.0,56000.0,30.03,14.99,VA
20475.0,98000.0,22.44,14.09,VA
10000.0,90000.0,9.95,10.99,VA
22000.0,50000.0,25.85,17.86,VA
8000.0,43000.0,29.14,7.89,VA
15000.0,96000.0,14.88,15.61,VA
22000.0,49500.0,26.79,9.71,VA
35000.0,103000.0,17.99,17.57,VA
10000.0,41000.0,14.61,9.17,VA
1925.0,44000.0,15.11,16.55,VA
9600.0,36000.0,20.87,12.69,VA
11000.0,58202.0,7.57,5.32,VA
29000.0,78000.0,19.22,17.57,VA
10000.0,133000.0,3.85,9.49,VA
10000.0,70000.0,11.04,15.10,VA
5350.0,21000.0,19.43,18.99,VA
28000.0,92000.0,18.67,17.57,VA
4200.0,48000.0,25.03,12.49,VA
7550.0,25000.0,17.28,15.61,VA
13750.0,27500.0,21.0,21.99,VA
18350.0,46112.0,7.83,20.99,VA
3000.0,88992.0,0.0,11.99,VA
20000.0,68040.0,14.22,18.99,VA
15000.0,70000.0,20.61,17.57,VA
3750.0,37000.0,19.43,17.77,VA
5000.0,85000.0,16.62,13.66,VA
35000.0,148000.0,20.31,13.53,VA
12800.0,62962.0,26.31,7.12,VA
13000.0,46540.92,8.87,15.33,VA
13000.0,40000.0,13.17,7.89,VA
4700.0,60000.0,19.64,14.09,VA
2200.0,55000.0,28.01,21.60,VA
27000.0,84000.0,19.93,16.99,VA
20000.0,142000.0,18.83,6.49,VA
20800.0,71000.0,21.5,16.49,VA
10500.0,50000.0,37.06,17.86,VA
35000.0,110000.0,27.08,24.99,VA
6400.0,112774.0,24.52,13.06,VA
23500.0,48360.0,15.31,20.99,VA
8000.0,98000.0,17.01,11.14,VA
25000.0,135000.0,30.53,6.24,VA
13850.0,50000.0,19.01,20.50,VA
12925.0,85000.0,30.98,11.22,VA
15000.0,82000.0,7.05,10.64,VA
4800.0,65000.0,2.99,6.89,VA
16425.0,36624.0,29.19,17.56,VA
5000.0,60000.0,31.56,19.72,VA
5875.0,66000.0,19.82,10.91,VA
23850.0,73000.0,22.13,17.57,VA
8400.0,35000.0,21.3,16.29,VA
15000.0,85000.0,14.19,13.33,VA
4200.0,28000.0,10.72,11.99,VA
17525.0,45000.0,30.77,23.43,VA
35000.0,88900.0,20.21,11.99,VA
20000.0,93000.0,24.53,15.80,VA
16000.0,74000.0,11.11,6.24,VA
19000.0,70000.0,21.03,8.88,VA
12075.0,45000.0,29.79,16.59,VA
28000.0,186800.0,20.14,12.85,VA
8400.0,62000.0,12.74,18.25,VA
17625.0,131000.0,13.26,14.33,VA
24000.0,140000.0,27.54,7.69,VA
14000.0,70000.0,25.68,7.89,VA
10000.0,151000.0,28.76,15.41,VA
20000.0,90000.0,20.85,11.99,VA
12475.0,48956.0,37.31,14.48,VA
7200.0,40200.0,1.91,7.88,VA
10000.0,35000.0,5.35,10.99,VA
10000.0,102000.0,10.09,6.89,VA
35000.0,112000.0,16.77,21.49,VA
13000.0,42500.0,28.78,9.76,VA
4000.0,52000.0,26.94,13.35,VA
8000.0,115000.0,23.35,12.98,VA
12375.0,45000.0,23.09,15.61,VA
25600.0,100000.0,15.73,8.38,VA
10000.0,47280.0,33.68,9.17,VA
24375.0,62000.0,32.34,19.72,VA
6000.0,105000.0,4.38,10.99,VA
6000.0,50000.0,15.75,12.29,VA
7200.0,80000.0,18.62,11.53,VA
10000.0,54000.0,13.51,12.29,VA
16000.0,115000.0,11.11,11.14,VA
35000.0,85000.0,20.3,10.99,VA
6000.0,126000.0,13.89,9.67,VA
13000.0,42000.0,10.49,12.39,VA
13350.0,50000.0,12.43,13.68,VA
10000.0,70000.0,27.45,14.98,VA
15000.0,53884.0,17.46,18.54,VA
12875.0,65000.0,14.58,12.12,VA
15000.0,65000.0,14.36,16.99,VA
6375.0,41000.0,31.65,14.65,VA
12000.0,48000.0,5.75,8.18,VA
20000.0,104000.0,6.02,16.24,VA
6000.0,27000.0,34.0,14.65,VA
10000.0,50000.0,11.33,21.15,VA
20000.0,85000.0,34.82,9.99,VA
23000.0,135000.0,6.73,18.43,VA
12000.0,52695.0,24.89,16.99,VA
19200.0,105000.0,36.02,10.99,VA
8000.0,160000.0,15.11,7.90,VA
29850.0,65000.0,20.73,15.61,VA
30000.0,89000.0,24.49,13.18,VA
8000.0,51240.0,27.66,15.80,VA
13150.0,74150.0,26.31,13.67,VA
15250.0,52000.0,10.96,12.53,VA
24625.0,56000.0,24.12,15.88,VA
20000.0,153000.0,10.57,17.86,VA
12000.0,119000.0,9.13,18.25,VA
20000.0,66000.0,23.38,14.99,VA
18000.0,65000.0,29.94,9.99,VA
35000.0,99000.0,14.34,10.99,VA
23050.0,55000.0,27.01,22.99,VA
24000.0,110000.0,17.53,7.62,VA
35000.0,100000.0,8.21,18.92,VA
6600.0,57000.0,13.39,6.92,VA
12000.0,60000.0,30.2,16.99,VA
10800.0,66788.94,25.98,13.33,VA
30000.0,110000.0,13.4,17.56,VA
24175.0,68000.0,27.21,15.61,VA
12600.0,35000.0,22.5,19.99,VA
12000.0,42500.0,28.41,10.15,VA
10875.0,41000.0,21.46,10.15,VA
8000.0,25000.0,33.94,10.99,VA
13000.0,72996.0,19.5,15.20,VA
35000.0,147000.0,15.08,13.98,VA
35000.0,115000.0,24.55,18.25,VA
15000.0,34000.0,21.43,15.61,VA
23650.0,90000.0,23.93,6.89,VA
20000.0,52384.0,10.29,17.56,VA
5000.0,55000.0,17.91,8.39,VA
4200.0,39548.0,3.49,7.62,VA
8000.0,60000.0,10.86,10.49,VA
15000.0,230000.0,7.89,8.18,VA
10000.0,45000.0,5.71,13.99,VA
20300.0,119000.0,20.35,15.61,VA
6600.0,27000.0,23.79,26.77,VA
10450.0,96500.0,23.59,16.49,VA
35000.0,135000.0,0.71,15.61,VA
25000.0,66000.0,19.07,17.86,VA
7200.0,90508.0,34.28,7.89,VA
6000.0,122557.0,15.12,14.49,VA
4500.0,33000.0,12.55,14.65,VA
6500.0,43000.0,18.0,12.29,VA
24975.0,68000.0,25.52,16.29,VA
10000.0,115000.0,11.87,10.16,VA
6000.0,25200.0,5.43,9.76,VA
18000.0,145000.0,18.95,7.89,VA
20000.0,73500.0,33.58,13.67,VA
20000.0,145000.0,21.18,10.99,VA
4000.0,35000.0,17.01,12.99,VA
14400.0,125000.0,20.75,13.11,VA
12000.0,56000.0,33.8,14.49,VA
12000.0,108750.0,14.72,17.86,VA
34475.0,77000.0,19.93,17.77,VA
8000.0,31000.0,14.41,13.11,VA
20000.0,95000.0,19.79,18.75,VA
14000.0,101000.0,13.79,6.03,VA
31000.0,142000.0,4.44,17.57,VA
17025.0,53000.0,39.24,17.86,VA
3350.0,37500.0,31.84,15.80,VA
16000.0,34000.0,33.57,16.99,VA
8000.0,51600.0,2.51,16.32,VA
5000.0,54000.0,34.07,14.64,VA
10000.0,38000.0,19.17,14.99,VA
30000.0,65000.0,25.78,19.19,VA
14425.0,28896.0,34.14,18.20,VA
2500.0,105960.0,13.93,9.99,VA
12000.0,128800.0,10.15,8.18,VA
18000.0,65000.0,24.24,9.71,VA
8400.0,31000.0,32.9,13.11,VA
9600.0,51000.0,25.79,9.17,VA
9450.0,28500.0,29.47,17.77,VA
5000.0,151000.0,23.25,5.93,VA
10000.0,114000.0,21.39,18.55,VA
35000.0,115000.0,23.44,12.85,VA
23425.0,76444.0,23.94,14.64,VA
17600.0,40000.0,17.77,13.33,VA
5300.0,35000.0,24.72,14.33,VA
20000.0,52000.0,34.11,21.49,VA
11000.0,56000.0,21.41,13.18,VA
21000.0,55000.0,22.25,14.33,VA
2000.0,30000.0,21.28,8.67,VA
3000.0,42000.0,23.6,17.57,VA
16000.0,130000.0,8.76,6.49,VA
8000.0,63000.0,26.08,13.68,VA
8000.0,40000.0,13.5,13.33,VA
16000.0,65000.0,24.08,14.16,VA
27500.0,93355.0,11.93,14.30,VA
4200.0,70000.0,10.51,18.25,VA
30000.0,130000.0,9.73,7.49,VA
11400.0,83000.0,9.28,14.48,VA
12800.0,58000.0,7.72,15.96,VA
28000.0,68000.0,19.43,13.99,VA
16000.0,42000.0,26.6,13.99,VA
14000.0,118057.0,17.03,16.55,VA
17000.0,60000.0,18.7,6.03,VA
28000.0,78427.0,14.2,14.33,VA
18000.0,53000.0,26.42,19.05,VA
6500.0,60000.0,20.42,9.99,VA
29700.0,200000.0,12.59,16.78,VA
4000.0,21500.0,19.82,11.53,VA
20000.0,86500.0,21.66,13.35,VA
24000.0,102000.0,17.43,11.14,VA
35000.0,125000.0,20.65,13.65,VA
15000.0,65000.0,25.83,12.12,VA
14400.0,34320.0,11.71,14.65,VA
35000.0,160000.0,11.15,12.69,VA
25000.0,105000.0,14.01,8.39,VA
24000.0,375000.0,5.55,12.49,VA
29100.0,65000.0,16.47,12.12,VA
14900.0,51890.0,27.1,18.24,VA
10000.0,125000.0,11.42,5.32,VA
18000.0,108000.0,9.67,6.89,VA
30000.0,93000.0,14.44,15.61,VA
12000.0,105000.0,8.73,6.99,VA
10000.0,56178.0,26.28,16.99,VA
19350.0,180000.0,13.25,17.57,VA
19200.0,105000.0,12.39,8.18,VA
13575.0,56000.0,10.11,15.22,VA
20000.0,108000.0,11.3,11.22,VA
15475.0,100450.0,15.24,13.33,VA
31000.0,62000.0,35.71,13.18,VA
14000.0,61089.0,0.08,6.03,VA
9750.0,21000.0,17.71,17.99,VA
16800.0,47500.0,22.5,16.99,VA
3450.0,47000.0,31.79,17.86,VA
25000.0,150000.0,27.73,6.89,VA
21000.0,80000.0,9.32,9.17,VA
23000.0,84000.0,20.56,14.65,VA
2500.0,78000.0,28.49,17.86,VA
35000.0,110000.0,29.76,18.92,VA
8000.0,72000.0,11.84,13.33,VA
9500.0,50000.0,16.3,8.90,VA
25450.0,58000.0,20.66,18.24,VA
14000.0,103000.0,26.47,13.65,VA
18000.0,57000.0,24.42,22.47,VA
12000.0,45000.0,19.71,12.69,VA
32000.0,93000.0,20.17,14.99,VA
17000.0,74000.0,19.41,6.03,VA
16000.0,104000.0,16.44,18.49,VA
8000.0,44000.0,30.25,12.49,VA
1000.0,36000.0,1.9,8.59,VA
30000.0,135000.0,18.57,15.31,VA
2100.0,35000.0,20.92,15.61,VA
32500.0,88000.0,12.11,18.75,VA
16000.0,56000.0,23.3,13.35,VA
30000.0,400000.0,10.32,10.99,VA
16000.0,75000.0,32.43,22.95,VA
5000.0,50000.0,19.83,10.99,VA
18000.0,88960.0,15.61,14.64,VA
21000.0,130000.0,24.89,10.99,VA
12800.0,62000.0,20.71,16.99,VA
6300.0,49000.0,12.61,9.91,VA
6400.0,52000.0,5.19,9.17,VA
12000.0,97000.0,23.48,12.99,VA
26000.0,80000.0,19.94,11.67,VA
35000.0,300000.0,6.4,20.20,VA
25000.0,72000.0,19.45,21.18,VA
35000.0,195000.0,11.94,13.98,VA
14800.0,50000.0,13.44,17.86,VA
26000.0,79000.0,19.59,10.99,VA
10000.0,37500.0,17.44,12.29,VA
2000.0,43000.0,20.48,15.88,VA
7000.0,42000.0,1.77,8.49,VA
25000.0,160000.0,29.87,12.69,VA
4700.0,60000.0,9.93,5.32,VA
25000.0,60000.0,14.68,18.62,VA
11250.0,39000.0,25.9,7.90,VA
8800.0,60000.0,20.26,7.89,VA
16000.0,110000.0,32.52,15.31,VA
10000.0,95000.0,12.09,6.62,VA
6000.0,85000.0,29.35,9.67,VA
15000.0,110000.0,5.84,5.32,VA
10000.0,72900.0,3.29,15.70,VA
6400.0,99264.0,10.03,12.69,VA
19750.0,45000.0,21.49,19.52,VA
27000.0,87000.0,26.1,10.49,VA
18600.0,56000.0,8.94,12.29,VA
9100.0,42931.0,14.68,9.17,VA
8000.0,78000.0,0.6,7.90,VA
32000.0,90000.0,18.6,12.69,VA
22000.0,86000.0,32.85,12.49,VA
4800.0,31000.0,24.93,13.99,VA
16500.0,49500.0,27.18,8.19,VA
15000.0,100000.0,20.92,12.12,VA
8875.0,90000.0,8.95,23.43,VA
24000.0,100000.0,23.46,10.99,VA
7000.0,31200.0,17.19,16.35,VA
28000.0,196983.0,18.7,10.49,VA
7000.0,96000.0,12.59,6.24,VA
35000.0,200000.0,12.89,19.47,VA
6000.0,48923.52,23.69,17.86,VA
