amnt,income,dti,rate,state
21000.0,75639.72,18.55,9.17,VT
24000.0,62500.0,30.49,16.55,VT
6000.0,38000.0,16.61,9.67,VT
12000.0,86000.0,5.04,13.99,VT
18000.0,60850.0,19.7,13.11,VT
28000.0,90000.0,14.2,12.99,VT
20000.0,120000.0,4.44,7.49,VT
15000.0,91000.0,28.79,13.18,VT
14000.0,80000.0,21.14,7.89,VT
35000.0,150000.0,8.78,23.28,VT
6475.0,18036.0,38.79,18.25,VT
14000.0,140000.0,18.74,13.98,VT
8400.0,93000.0,8.97,7.90,VT
18450.0,44000.0,27.39,14.49,VT
10000.0,30000.0,5.84,15.61,VT
12000.0,72800.0,22.28,7.26,VT
8000.0,32760.0,28.97,11.53,VT
5000.0,65000.0,18.87,7.12,VT
4000.0,65000.0,9.25,7.75,VT
7500.0,65000.0,14.44,7.29,VT
18400.0,40000.0,28.65,12.59,VT
11500.0,75000.0,20.24,10.99,VT
12600.0,67000.0,26.39,13.11,VT
5550.0,16548.0,22.04,16.99,VT
18475.0,44000.0,27.99,15.41,VT
23000.0,56000.0,27.84,10.99,VT
14100.0,60000.0,36.74,15.59,VT
8000.0,56000.0,16.07,19.99,VT
18000.0,90000.0,16.44,15.77,VT
10000.0,35500.0,22.21,9.17,VT
20000.0,47000.0,24.28,13.35,VT
5000.0,82000.0,19.29,14.49,VT
35000.0,85000.0,5.03,18.25,VT
8575.0,94000.0,16.51,18.24,VT
13500.0,38000.0,19.61,7.89,VT
10000.0,155000.0,6.19,13.18,VT
30000.0,88151.0,23.89,14.99,VT
34350.0,150000.0,19.57,21.99,VT
18000.0,39000.0,31.23,16.49,VT
4800.0,65000.0,18.89,6.62,VT
20000.0,135000.0,32.74,9.99,VT
10200.0,72000.0,10.68,15.61,VT
18000.0,82000.0,4.89,7.62,VT
32000.0,107000.0,19.13,11.48,VT
12000.0,57000.0,13.39,14.47,VT
25000.0,160000.0,7.89,5.93,VT
24000.0,67263.44,17.68,13.99,VT
12000.0,73000.0,14.45,10.99,VT
17500.0,35000.0,31.65,10.99,VT
8000.0,33000.0,30.33,13.11,VT
8000.0,80000.0,10.32,7.26,VT
8000.0,55000.0,20.93,7.89,VT
14375.0,40000.0,33.06,19.52,VT
5000.0,38000.0,27.76,15.61,VT
7000.0,44000.0,5.62,10.99,VT
11850.0,39500.0,35.3,24.99,VT
16700.0,38000.0,22.99,14.65,VT
11675.0,67000.0,22.69,18.84,VT
15000.0,65000.0,11.37,10.15,VT
2775.0,52000.0,25.92,21.67,VT
3000.0,65000.0,17.06,18.55,VT
8000.0,43035.0,22.84,15.61,VT
3600.0,35800.0,3.29,23.43,VT
15000.0,105985.0,8.72,15.61,VT
10000.0,70000.0,14.16,9.67,VT
