amnt,income,dti,rate,state
35000.0,110000.0,14.46,21.98,WA
14000.0,90000.0,3.95,10.99,WA
12000.0,44000.0,11.92,17.77,WA
6500.0,37000.0,15.15,8.39,WA
12000.0,47000.0,14.71,16.24,WA
8000.0,65000.0,13.37,11.67,WA
5000.0,84480.0,14.87,8.90,WA
17050.0,38000.0,26.43,23.50,WA
18000.0,82000.0,14.14,5.93,WA
18550.0,42000.0,15.36,10.16,WA
21000.0,86000.0,7.63,8.18,WA
16000.0,84000.0,27.54,11.49,WA
6000.0,42012.0,29.48,10.15,WA
15350.0,38400.0,28.63,13.49,WA
13000.0,70000.0,24.09,21.18,WA
30000.0,185000.0,10.28,18.92,WA
2000.0,174000.0,13.81,12.99,WA
18000.0,73000.0,16.11,12.99,WA
10000.0,60000.0,17.64,13.11,WA
12000.0,54000.0,11.98,13.65,WA
5000.0,70000.0,26.76,8.18,WA
15000.0,220000.0,6.15,13.18,WA
12000.0,48000.0,19.35,9.99,WA
15000.0,145000.0,6.39,8.18,WA
5925.0,64000.0,8.98,13.98,WA
13000.0,110000.0,10.94,13.65,WA
10000.0,105000.0,19.5,9.76,WA
10000.0,90000.0,34.51,15.61,WA
10000.0,90000.0,1.37,12.39,WA
11975.0,50000.0,34.93,24.99,WA
19000.0,43000.0,20.18,9.71,WA
10000.0,92000.0,10.55,9.80,WA
12000.0,28873.0,12.97,13.99,WA
12000.0,75000.0,12.88,7.62,WA
17400.0,211000.0,17.64,22.35,WA
24000.0,150000.0,16.73,11.53,WA
10000.0,65000.0,12.35,13.67,WA
35000.0,94826.0,23.93,15.61,WA
33000.0,150000.0,24.22,17.57,WA
2500.0,50000.0,25.99,8.90,WA
12000.0,42000.0,17.66,7.62,WA
12000.0,32460.0,19.63,12.99,WA
10000.0,160000.0,12.78,9.99,WA
9250.0,94000.0,6.38,12.12,WA
25000.0,60000.0,16.39,9.17,WA
12375.0,35000.0,27.78,14.98,WA
4000.0,89000.0,13.54,8.90,WA
11000.0,50000.0,11.79,7.26,WA
4525.0,24595.0,19.52,20.99,WA
8400.0,68000.0,27.37,12.49,WA
15000.0,70000.0,16.13,13.99,WA
8500.0,35000.0,24.01,19.22,WA
25000.0,96000.0,26.9,12.29,WA
14900.0,41600.0,29.95,7.69,WA
7750.0,40000.0,4.38,15.61,WA
9000.0,33650.0,14.73,17.77,WA
35000.0,79000.0,5.18,8.90,WA
15000.0,65000.0,26.98,11.67,WA
17600.0,91689.0,15.59,14.65,WA
21000.0,150000.0,18.42,20.99,WA
22000.0,100000.0,13.36,10.64,WA
35000.0,150000.0,11.75,14.99,WA
3000.0,60000.0,14.14,13.66,WA
19200.0,60000.0,15.7,13.98,WA
9000.0,27000.0,20.53,13.35,WA
12000.0,70000.0,34.03,12.29,WA
16000.0,90000.0,25.92,9.49,WA
21000.0,155000.0,11.32,18.92,WA
17400.0,92000.0,6.78,9.17,WA
9000.0,47000.0,16.11,8.18,WA
24325.0,61000.0,12.18,15.61,WA
8000.0,75000.0,9.78,16.29,WA
12000.0,38504.59,12.28,15.61,WA
9250.0,42000.0,6.23,6.62,WA
10400.0,35620.0,21.46,7.91,WA
6000.0,32000.0,22.43,11.14,WA
21250.0,56680.0,13.83,13.66,WA
10000.0,82000.0,37.79,14.65,WA
18000.0,45000.0,17.31,19.99,WA
1500.0,47400.0,22.25,7.90,WA
3500.0,80000.0,16.37,17.57,WA
19400.0,72000.0,27.62,13.11,WA
25000.0,60000.0,20.08,7.89,WA
14100.0,40000.0,14.19,14.98,WA
28000.0,128000.0,21.01,19.47,WA
16000.0,50000.0,20.98,13.66,WA
3000.0,35000.0,28.5,11.67,WA
13600.0,50000.0,11.28,11.53,WA
12300.0,38000.0,14.37,8.90,WA
35000.0,110000.0,24.05,13.18,WA
24000.0,120000.0,14.89,15.31,WA
35000.0,93126.0,14.5,19.22,WA
8500.0,114000.0,7.14,9.99,WA
10000.0,52000.0,21.25,10.15,WA
10200.0,99000.0,16.82,14.31,WA
25450.0,68000.0,31.29,23.83,WA
5500.0,50000.0,15.1,10.16,WA
12000.0,95000.0,20.49,14.49,WA
12000.0,65000.0,18.85,15.22,WA
11250.0,120000.0,21.78,6.89,WA
30000.0,115000.0,8.53,17.57,WA
6000.0,30000.0,23.24,9.49,WA
21000.0,92000.0,21.9,18.25,WA
10800.0,72000.0,25.08,14.65,WA
35000.0,156000.0,15.06,13.99,WA
27200.0,80000.0,32.52,24.99,WA
7000.0,60000.0,14.52,8.18,WA
7200.0,114000.0,12.12,13.49,WA
12000.0,33000.0,26.22,12.05,WA
9000.0,97000.0,23.68,11.49,WA
21600.0,100000.0,19.2,13.33,WA
8000.0,60000.0,14.74,15.88,WA
8000.0,33000.0,20.44,10.15,WA
23400.0,75000.0,25.16,25.80,WA
3975.0,12000.0,14.4,21.67,WA
10000.0,93000.0,7.84,8.90,WA
10000.0,50200.0,19.29,18.85,WA
9750.0,34000.0,16.7,14.65,WA
15375.0,43000.0,31.8,18.25,WA
29250.0,65000.0,10.14,21.99,WA
14000.0,55000.0,7.18,7.89,WA
14000.0,127000.0,11.31,7.26,WA
21775.0,57000.0,22.75,17.86,WA
28800.0,91300.0,25.51,11.53,WA
2500.0,14772.0,21.53,15.61,WA
10000.0,35000.0,33.71,9.99,WA
3475.0,17000.0,26.13,17.86,WA
22800.0,60000.0,29.38,17.86,WA
1500.0,28776.0,19.43,18.92,WA
10000.0,35000.0,15.67,14.98,WA
15000.0,85000.0,6.55,7.89,WA
12175.0,65000.0,20.64,19.52,WA
7000.0,56000.0,24.43,17.86,WA
21000.0,100000.0,15.37,13.99,WA
15000.0,85000.0,18.93,7.89,WA
15000.0,61000.0,17.35,12.42,WA
17500.0,76000.0,1.33,7.89,WA
18000.0,125000.0,31.27,12.29,WA
28000.0,103135.68,29.57,9.17,WA
12000.0,90000.0,32.95,11.53,WA
20000.0,65000.0,6.43,10.99,WA
9000.0,55000.0,8.52,9.67,WA
11000.0,54000.0,14.58,7.69,WA
15000.0,66000.0,9.35,13.67,WA
13650.0,90000.0,27.22,7.90,WA
13000.0,78000.0,11.29,15.10,WA
10750.0,31000.0,24.12,15.10,WA
8000.0,61600.0,18.7,12.12,WA
18875.0,66371.0,18.84,14.33,WA
32000.0,110000.0,26.06,12.39,WA
19000.0,50000.0,19.94,10.64,WA
11250.0,45000.0,23.17,21.99,WA
10000.0,50000.0,13.97,12.99,WA
5600.0,32000.0,30.72,12.49,WA
16500.0,75000.0,25.29,16.99,WA
10000.0,54000.0,15.8,12.99,WA
24000.0,60923.0,27.01,16.59,WA
12250.0,62400.0,38.94,19.19,WA
10000.0,45000.0,18.91,8.90,WA
8000.0,45000.0,24.0,15.59,WA
11500.0,35000.0,10.32,9.99,WA
7200.0,36000.0,24.47,6.03,WA
35000.0,104000.0,18.36,13.33,WA
32000.0,97000.0,19.2,11.99,WA
10000.0,75000.0,16.4,13.68,WA
8125.0,50000.0,16.3,13.35,WA
7500.0,70000.0,9.53,9.17,WA
15000.0,55000.0,32.38,12.69,WA
31450.0,75000.0,24.29,25.83,WA
15000.0,70000.0,11.79,12.49,WA
10000.0,62000.0,39.59,19.19,WA
12050.0,28440.0,4.66,15.31,WA
20000.0,155000.0,2.24,14.85,WA
18000.0,50000.0,9.06,13.99,WA
13600.0,60000.0,16.34,8.67,WA
17825.0,65000.0,13.22,17.76,WA
6950.0,36000.0,22.67,11.53,WA
7500.0,145000.0,5.53,10.08,WA
17600.0,57000.0,11.92,7.89,WA
15000.0,58000.0,20.82,21.99,WA
15000.0,65400.0,18.46,13.65,WA
28000.0,103000.0,29.16,8.39,WA
33075.0,189000.0,16.09,7.12,WA
5000.0,50000.0,31.76,13.33,WA
26375.0,60000.0,27.74,18.24,WA
31000.0,135000.0,11.84,23.43,WA
21000.0,55000.0,28.04,23.99,WA
5500.0,53000.0,10.39,14.99,WA
23200.0,81000.0,30.36,9.76,WA
10000.0,130000.0,19.56,9.99,WA
25000.0,114000.0,39.75,16.99,WA
16800.0,180000.0,19.58,8.18,WA
8000.0,60000.0,14.02,13.35,WA
14000.0,37500.0,13.54,14.16,WA
9600.0,80000.0,27.74,17.27,WA
21000.0,80000.0,22.16,15.41,WA
12250.0,59877.24,10.0,16.29,WA
35000.0,75000.0,32.03,7.89,WA
11000.0,42000.0,15.89,11.67,WA
16000.0,150000.0,5.02,6.24,WA
6000.0,66000.0,11.77,9.99,WA
35000.0,205000.0,18.33,11.44,WA
7800.0,38000.0,21.32,14.65,WA
5000.0,60000.0,8.32,7.66,WA
7000.0,45000.0,6.6,9.99,WA
5400.0,50000.0,11.69,10.15,WA
9500.0,68000.0,11.31,7.14,WA
12000.0,40000.0,20.57,11.53,WA
13000.0,73500.0,23.15,10.99,WA
12000.0,59000.0,7.61,11.99,WA
10000.0,140000.0,6.28,5.93,WA
25000.0,142000.0,19.61,22.99,WA
24000.0,120000.0,15.66,13.66,WA
8350.0,24500.0,13.87,8.18,WA
28000.0,285000.0,22.11,8.18,WA
5375.0,40000.0,25.35,16.29,WA
6750.0,55000.0,14.6,20.99,WA
9450.0,41000.0,18.21,19.97,WA
15000.0,67000.0,18.22,5.32,WA
6000.0,45000.0,8.07,15.80,WA
19200.0,48000.0,5.3,19.99,WA
7000.0,40000.0,15.9,16.24,WA
6000.0,90000.0,12.83,10.37,WA
26000.0,86000.0,19.1,19.19,WA
14800.0,74000.0,19.48,15.22,WA
16000.0,60000.0,13.16,18.99,WA
2100.0,24000.0,19.35,12.21,WA
6000.0,111280.0,14.38,9.99,WA
33000.0,140000.0,12.32,12.69,WA
12000.0,80000.0,13.9,10.99,WA
35000.0,142000.0,15.91,13.33,WA
18000.0,92700.0,16.0,14.48,WA
6625.0,40000.0,25.59,13.11,WA
35000.0,80000.0,15.81,21.00,WA
17000.0,66000.0,17.75,12.35,WA
4200.0,65000.0,17.45,9.99,WA
