amnt,income,dti,rate,state
12800.0,40000.0,14.55,11.99,WI
25000.0,85000.0,16.12,15.61,WI
9825.0,51000.0,36.56,12.29,WI
15325.0,40000.0,8.64,10.99,WI
24000.0,85000.0,13.91,6.24,WI
10000.0,185000.0,11.7,6.99,WI
15400.0,35000.0,21.67,20.99,WI
25000.0,83000.0,22.4,15.61,WI
15600.0,98000.0,16.57,13.68,WI
26000.0,90000.0,17.41,6.03,WI
3625.0,37481.0,28.18,13.67,WI
12000.0,180000.0,6.83,16.29,WI
20000.0,98678.0,8.56,16.29,WI
8400.0,21800.0,14.59,9.99,WI
3950.0,45000.0,21.89,9.67,WI
23000.0,50000.0,16.31,23.99,WI
10800.0,40000.0,12.24,12.29,WI
28000.0,264633.0,9.34,9.17,WI
3100.0,64000.0,32.66,18.25,WI
25000.0,72000.0,15.28,17.57,WI
21400.0,51000.0,32.6,25.57,WI
20000.0,63700.0,22.0,23.28,WI
3000.0,20000.0,23.11,20.20,WI
13075.0,36400.0,26.18,16.99,WI
13250.0,47112.0,23.8,16.55,WI
10000.0,215000.0,4.31,9.17,WI
1375.0,70000.0,11.13,9.17,WI
19000.0,62000.0,23.17,18.62,WI
8000.0,45000.0,15.76,12.29,WI
22000.0,60000.0,27.8,12.69,WI
15000.0,64000.0,22.63,7.49,WI
8000.0,45000.0,11.48,7.90,WI
6200.0,30000.0,23.64,14.91,WI
35000.0,90000.0,14.65,16.55,WI
20125.0,63000.0,19.16,19.99,WI
10425.0,45000.0,22.37,14.48,WI
12000.0,75000.0,13.47,10.99,WI
12000.0,75000.0,12.82,13.18,WI
9600.0,42240.0,15.06,12.59,WI
6000.0,51000.0,39.6,15.61,WI
1000.0,110000.0,18.23,17.14,WI
7500.0,48000.0,16.38,11.53,WI
19575.0,54697.0,18.49,19.47,WI
8000.0,43000.0,15.71,11.53,WI
6000.0,40000.0,2.7,9.99,WI
8000.0,44000.0,24.57,15.61,WI
27575.0,62000.0,19.3,19.05,WI
6000.0,25500.0,30.35,11.44,WI
21000.0,67000.0,19.25,12.69,WI
15475.0,51000.0,14.14,10.15,WI
10075.0,28000.0,22.37,17.86,WI
16000.0,52000.0,15.42,21.98,WI
22750.0,60000.0,29.7,18.24,WI
12800.0,32000.0,20.29,15.61,WI
8400.0,21516.0,9.98,8.18,WI
3775.0,25000.0,12.15,13.99,WI
9050.0,81000.0,14.46,9.99,WI
12000.0,56000.0,27.22,10.49,WI
8500.0,90000.0,6.99,14.98,WI
7500.0,82000.0,14.02,8.18,WI
20000.0,62000.0,23.71,13.65,WI
21100.0,66000.0,37.05,20.99,WI
9175.0,23000.0,10.75,13.98,WI
30000.0,74000.0,20.11,12.12,WI
21600.0,85000.0,14.2,5.32,WI
20000.0,75000.0,4.51,11.99,WI
25000.0,60000.0,17.12,23.99,WI
8000.0,80000.0,25.55,11.99,WI
10000.0,35000.0,20.57,11.55,WI
25000.0,80000.0,13.82,13.99,WI
4800.0,30000.0,8.96,10.28,WI
18000.0,90000.0,18.45,17.57,WI
25000.0,93000.0,16.79,8.18,WI
10000.0,56500.0,16.4,6.03,WI
14400.0,56000.0,9.56,13.99,WI
15000.0,63000.0,11.42,7.62,WI
16000.0,60000.0,25.02,6.49,WI
2500.0,32000.0,7.73,10.15,WI
8800.0,43000.0,24.73,7.49,WI
5000.0,27000.0,19.78,12.49,WI
9175.0,36400.0,16.72,13.33,WI
11000.0,70000.0,11.21,12.49,WI
25000.0,55000.0,24.37,14.16,WI
21600.0,70000.0,18.43,13.65,WI
12000.0,130000.0,12.85,7.26,WI
35000.0,96000.0,14.24,9.67,WI
35000.0,100000.0,9.31,20.89,WI
10000.0,40000.0,16.83,16.20,WI
7000.0,120000.0,14.16,10.15,WI
32875.0,175000.0,26.3,15.41,WI
10000.0,72000.0,17.53,9.71,WI
28000.0,120000.0,20.17,7.69,WI
24000.0,61000.0,11.08,14.09,WI
24650.0,225000.0,13.01,19.22,WI
6000.0,24000.0,6.75,14.16,WI
3600.0,140000.0,27.42,16.29,WI
7400.0,69000.0,16.94,12.49,WI
35000.0,94000.0,24.82,13.67,WI
6000.0,65000.0,18.37,14.30,WI
35000.0,85000.0,32.16,18.75,WI
35000.0,137100.0,28.38,19.47,WI
21725.0,49000.0,25.93,17.77,WI
5000.0,80000.0,12.58,19.05,WI
24000.0,96000.0,8.33,7.69,WI
20000.0,45000.0,30.8,14.33,WI
21950.0,50000.0,28.08,16.99,WI
35000.0,250000.0,23.28,7.89,WI
10000.0,33000.0,6.4,12.69,WI
8200.0,40000.0,38.58,17.86,WI
10000.0,47694.0,21.46,9.17,WI
14400.0,50000.0,11.41,14.99,WI
10000.0,146000.0,12.44,7.89,WI
25000.0,63000.0,17.26,7.26,WI
7000.0,57500.0,18.97,6.24,WI
1000.0,30000.0,1.0,17.77,WI
8000.0,33600.0,31.25,14.65,WI
18000.0,45000.0,17.81,12.12,WI
1500.0,50000.0,22.78,10.99,WI
20000.0,75000.0,17.39,10.99,WI
15000.0,42000.0,23.51,17.57,WI
8000.0,44000.0,7.23,8.19,WI
4500.0,52000.0,36.51,11.99,WI
5600.0,35000.0,16.32,5.32,WI
15000.0,39000.0,20.34,9.67,WI
24000.0,150000.0,27.07,7.89,WI
7000.0,84000.0,16.63,10.99,WI
5000.0,58000.0,18.49,16.29,WI
11200.0,48500.0,30.53,14.33,WI
5300.0,29000.0,25.29,7.62,WI
19200.0,120000.0,18.93,6.89,WI
3050.0,30000.0,3.36,7.88,WI
10000.0,65000.0,14.48,9.67,WI
20000.0,65000.0,27.12,7.89,WI
13550.0,47000.0,14.94,19.19,WI
13000.0,38257.0,21.11,9.99,WI
8400.0,35004.0,21.32,15.96,WI
25725.0,500000.0,13.44,7.49,WI
17000.0,45000.0,20.56,11.53,WI
25000.0,95000.0,11.43,6.89,WI
15000.0,37000.0,8.82,7.89,WI
20000.0,100000.0,4.61,11.44,WI
6000.0,28000.0,7.38,10.15,WI
23000.0,80000.0,18.48,9.17,WI
6475.0,35000.0,11.76,10.15,WI
9000.0,60000.0,23.08,6.89,WI
26000.0,108000.0,25.11,7.89,WI
13000.0,69000.0,20.9,8.39,WI
11000.0,80000.0,25.73,15.88,WI
24000.0,88000.0,23.15,8.90,WI
12000.0,54000.0,12.56,13.33,WI
11850.0,75000.0,26.99,17.14,WI
25000.0,85000.0,27.78,13.18,WI
18000.0,100000.0,22.32,9.17,WI
11100.0,51600.0,27.42,13.68,WI
27575.0,60000.0,17.52,16.99,WI
17275.0,60000.0,30.64,17.86,WI
35000.0,90000.0,20.83,13.33,WI
8400.0,34278.0,15.86,9.99,WI
6000.0,45000.0,19.63,12.29,WI
15000.0,60000.0,24.24,15.61,WI
6000.0,73000.0,21.29,12.69,WI
3200.0,58000.0,11.03,10.99,WI
9000.0,35000.0,21.71,16.55,WI
18000.0,100000.0,24.35,13.35,WI
19050.0,42340.0,26.67,14.99,WI
25000.0,75000.0,10.4,15.59,WI
7200.0,72000.0,12.07,7.69,WI
19200.0,118000.0,13.15,10.64,WI
10000.0,39000.0,13.48,15.61,WI
19400.0,55000.0,26.09,16.29,WI
9750.0,30000.0,18.28,12.99,WI
20000.0,100000.0,17.0,9.17,WI
15000.0,40000.0,21.21,11.53,WI
25000.0,85000.0,22.61,6.24,WI
2000.0,63200.0,16.43,13.33,WI
18000.0,90000.0,16.37,6.62,WI
25000.0,90000.0,28.44,12.12,WI
16600.0,43000.0,20.85,10.99,WI
25000.0,85000.0,10.93,6.24,WI
14000.0,65000.0,16.67,11.99,WI
13000.0,70000.0,15.48,12.35,WI
5000.0,86000.0,3.68,9.25,WI
17500.0,70000.0,18.21,11.55,WI
18825.0,65000.0,12.5,15.10,WI
16000.0,73550.0,20.74,13.99,WI
10575.0,40000.0,15.24,23.70,WI
16000.0,94000.0,15.15,12.29,WI
24000.0,125000.0,5.49,7.90,WI
35000.0,155000.0,31.36,12.39,WI
18000.0,70000.0,23.61,6.99,WI
7500.0,28000.0,29.49,14.65,WI
13000.0,48000.0,10.1,20.49,WI
10000.0,52000.0,15.49,6.68,WI
8000.0,35424.0,17.48,16.02,WI
25000.0,50000.0,20.28,20.49,WI
4200.0,32760.0,17.8,13.35,WI
24900.0,54139.0,22.59,13.44,WI
17375.0,128000.0,6.24,18.49,WI
2000.0,26000.0,18.93,14.65,WI
4825.0,57500.0,27.84,20.49,WI
7200.0,25000.0,18.48,17.76,WI
15000.0,59700.0,21.91,10.49,WI
25000.0,76000.0,24.98,19.99,WI
15000.0,35000.0,14.5,13.92,WI
19600.0,43763.2,22.81,16.29,WI
9825.0,31200.0,29.65,9.17,WI
20000.0,139000.0,21.29,9.17,WI
6000.0,65000.0,17.93,12.29,WI
35000.0,123500.0,19.76,18.25,WI
10500.0,85000.0,25.6,10.16,WI
11175.0,33000.0,13.71,20.20,WI
18000.0,52000.0,9.25,10.15,WI
6450.0,25000.0,11.71,16.59,WI
8700.0,42000.0,28.31,8.18,WI
3000.0,25000.0,18.34,15.61,WI
27425.0,70000.0,36.05,14.65,WI
20000.0,82000.0,17.77,12.59,WI
10000.0,58000.0,14.11,13.18,WI
24475.0,49000.0,31.4,15.61,WI
9600.0,58000.0,5.88,6.49,WI
4200.0,25000.0,29.57,17.14,WI
18000.0,57400.0,22.27,9.17,WI
5400.0,95000.0,9.93,8.90,WI
14400.0,47760.0,29.57,9.17,WI
20000.0,63608.0,11.03,8.18,WI
26400.0,186000.0,15.83,6.39,WI
28000.0,180000.0,8.27,11.99,WI
25000.0,62000.0,13.8,12.69,WI
35000.0,83000.0,29.39,14.49,WI
6075.0,32736.0,26.58,12.69,WI
13500.0,41500.0,8.79,12.29,WI
12000.0,40000.0,15.12,9.17,WI
3600.0,27000.0,20.62,14.09,WI
5300.0,38000.0,4.42,8.90,WI
8200.0,43780.0,23.19,12.69,WI
14225.0,34000.0,1.48,14.99,WI
7000.0,44000.0,22.66,21.00,WI
19600.0,45000.0,25.79,15.61,WI
6000.0,42000.0,25.17,12.99,WI
14000.0,37000.0,33.96,10.99,WI
15000.0,50000.0,21.48,12.29,WI
6000.0,78200.0,7.43,6.54,WI
10500.0,32000.0,21.72,16.29,WI
8400.0,80000.0,23.15,7.89,WI
10000.0,70000.0,11.14,8.90,WI
26000.0,85000.0,25.57,12.99,WI
12000.0,42000.0,12.69,14.49,WI
22750.0,62000.0,23.6,13.35,WI
10650.0,24000.0,16.78,17.14,WI
20000.0,110000.0,16.88,20.49,WI
10000.0,46000.0,14.09,7.69,WI
18000.0,65000.0,19.13,12.29,WI
13750.0,225000.0,9.39,22.47,WI
12500.0,65000.0,13.74,12.69,WI
35000.0,125000.0,12.9,18.75,WI
10000.0,60000.0,23.54,8.18,WI
10000.0,40000.0,18.84,8.38,WI
30000.0,75000.0,23.26,17.27,WI
28000.0,91000.0,21.5,9.49,WI
7000.0,28000.0,24.56,10.99,WI
24000.0,75000.0,31.9,15.99,WI
14400.0,56000.0,20.92,11.44,WI
21500.0,55000.0,23.72,15.61,WI
18150.0,46927.0,24.4,16.29,WI
12000.0,33000.0,29.09,18.84,WI
18000.0,60000.0,28.58,11.14,WI
14400.0,38800.0,27.4,19.19,WI
35000.0,140000.0,23.81,17.57,WI
20000.0,130000.0,17.72,16.99,WI
35000.0,160000.0,18.89,18.20,WI
7200.0,40000.0,12.81,18.55,WI
7500.0,31200.0,29.78,13.67,WI
14000.0,150000.0,14.6,10.16,WI
15000.0,56000.0,16.16,6.89,WI
13400.0,42000.0,25.66,19.52,WI
10000.0,45000.0,16.59,16.29,WI
15000.0,85000.0,10.53,12.49,WI
6500.0,29452.0,28.61,13.35,WI
10000.0,200000.0,8.95,9.17,WI
8725.0,49000.0,17.76,13.11,WI
35000.0,450000.0,12.74,9.99,WI
6400.0,35000.0,22.83,7.90,WI
24000.0,65000.0,36.19,17.57,WI
4800.0,46000.0,7.17,15.31,WI
12300.0,80000.0,16.15,10.16,WI
17500.0,58000.0,16.45,15.61,WI
5500.0,49000.0,3.38,7.26,WI
14000.0,85000.0,34.62,13.99,WI
9525.0,35000.0,27.09,20.99,WI
9225.0,62000.0,16.53,14.65,WI
12000.0,52000.0,16.22,15.31,WI
21000.0,103000.0,32.82,12.99,WI
11675.0,65000.0,14.82,15.31,WI
13200.0,27500.0,36.01,18.25,WI
7000.0,65000.0,12.43,7.26,WI
12000.0,72000.0,13.92,13.99,WI
15000.0,150000.0,11.06,9.67,WI
20000.0,71000.0,19.96,14.33,WI
8575.0,63000.0,17.39,18.75,WI
23000.0,77000.0,11.84,16.29,WI
5000.0,40000.0,22.26,9.99,WI
28000.0,158100.0,17.77,6.68,WI
9700.0,69000.0,7.6,7.69,WI
22000.0,80000.0,16.94,12.29,WI
24000.0,159000.0,5.09,6.03,WI
34000.0,90000.0,39.15,16.55,WI
8500.0,25440.0,23.87,15.61,WI
24000.0,54000.0,21.42,9.17,WI
6000.0,45000.0,18.53,13.11,WI
20000.0,60000.0,14.3,11.53,WI
12000.0,63500.0,23.36,7.26,WI
1500.0,42000.0,14.57,8.19,WI
12000.0,40000.0,19.32,17.27,WI
5000.0,40000.0,2.55,7.43,WI
20725.0,46264.0,29.13,18.99,WI
10000.0,24000.0,17.0,12.85,WI
5000.0,21000.0,32.4,13.33,WI
28000.0,113000.0,22.93,13.99,WI
6000.0,24000.0,14.55,12.29,WI
10000.0,51000.0,21.53,14.33,WI
15000.0,37993.17,19.3,17.57,WI
18000.0,88000.0,10.61,6.68,WI
12000.0,42996.0,13.87,6.17,WI
1000.0,25000.0,14.88,19.52,WI
6000.0,31720.0,28.83,12.29,WI
35000.0,90780.0,26.73,12.39,WI
25000.0,263000.0,3.42,5.32,WI
20000.0,135000.0,5.36,7.89,WI
10000.0,49836.96,15.82,11.99,WI
16800.0,42000.0,11.83,13.33,WI
8875.0,45000.0,25.57,13.99,WI
7500.0,30000.0,18.68,15.80,WI
4000.0,93000.0,20.5,6.49,WI
25000.0,100000.0,31.43,10.99,WI
10750.0,40000.0,13.2,12.84,WI
10925.0,43616.0,24.52,14.49,WI
6000.0,69000.0,29.67,12.99,WI
10000.0,36000.0,18.47,9.49,WI
12500.0,25000.0,32.26,22.99,WI
7000.0,38000.0,20.85,12.69,WI
12000.0,54000.0,7.36,16.20,WI
2700.0,100000.0,19.58,11.14,WI
25000.0,120000.0,7.62,13.66,WI
10700.0,32000.0,17.48,6.92,WI
5000.0,52000.0,18.07,5.93,WI
1000.0,30000.0,22.52,13.66,WI
24000.0,380000.0,11.48,7.12,WI
20000.0,100000.0,29.31,11.53,WI
10000.0,29074.0,32.72,13.33,WI
12000.0,56000.0,30.22,13.33,WI
