amnt,income,dti,rate,state
6000.0,19200.0,5.69,7.14,WV
35000.0,100000.0,19.73,10.15,WV
4000.0,58000.0,18.5,14.99,WV
12000.0,77000.0,9.87,6.49,WV
15000.0,40000.0,26.35,16.20,WV
10500.0,60000.0,15.39,8.49,WV
12000.0,47500.0,24.05,19.99,WV
28000.0,90000.0,25.99,17.57,WV
6000.0,24000.0,1.05,8.90,WV
17500.0,106000.0,14.92,11.44,WV
6000.0,47000.0,16.55,12.29,WV
20000.0,60000.0,14.0,8.90,WV
15000.0,53000.0,33.33,13.05,WV
6000.0,38500.0,19.64,14.64,WV
21000.0,80000.0,32.93,21.99,WV
5000.0,50000.0,12.79,11.53,WV
10000.0,125000.0,4.4,9.17,WV
2750.0,25000.0,10.32,14.30,WV
20000.0,55000.0,25.98,14.99,WV
35000.0,162000.0,10.14,12.69,WV
21000.0,59000.0,27.56,18.84,WV
35000.0,91000.0,21.15,19.99,WV
14000.0,43000.0,30.06,6.92,WV
7200.0,30144.0,13.61,11.12,WV
14000.0,82000.0,23.19,5.93,WV
25000.0,72000.0,35.07,18.55,WV
9000.0,84000.0,10.94,12.69,WV
8500.0,112000.0,19.83,5.32,WV
9000.0,42000.0,20.97,11.55,WV
27575.0,94000.0,23.44,22.20,WV
6000.0,39000.0,22.06,9.99,WV
35000.0,100000.0,9.22,18.25,WV
16850.0,48000.0,23.75,14.49,WV
2500.0,32000.0,29.75,13.33,WV
10000.0,94000.0,15.37,5.32,WV
10000.0,60000.0,5.6,16.77,WV
30000.0,122000.0,16.62,11.53,WV
10000.0,44000.0,10.28,17.86,WV
14050.0,39062.6,33.03,15.61,WV
8000.0,66000.0,21.13,6.49,WV
20000.0,68000.0,19.94,10.99,WV
25000.0,88000.0,24.46,20.49,WV
16000.0,87000.0,29.28,11.99,WV
9000.0,34800.0,22.55,11.53,WV
23000.0,54000.0,14.76,8.90,WV
1500.0,18000.0,5.6,15.61,WV
24000.0,125000.0,15.99,7.62,WV
13000.0,75000.0,2.82,17.57,WV
15000.0,35000.0,36.69,13.33,WV
35000.0,102000.0,18.49,19.72,WV
8150.0,35760.0,15.3,6.62,WV
25000.0,125000.0,30.83,12.69,WV
3000.0,65200.0,17.21,11.26,WV
4500.0,32000.0,14.74,6.76,WV
20000.0,115000.0,8.29,12.29,WV
10200.0,75000.0,14.33,7.90,WV
20000.0,70000.0,18.05,6.39,WV
15000.0,125000.0,16.22,16.55,WV
15000.0,53142.0,27.6,17.57,WV
15000.0,75000.0,13.21,12.99,WV
4800.0,45000.0,33.2,16.99,WV
15300.0,45000.0,27.44,22.45,WV
35000.0,100000.0,32.25,20.99,WV
12000.0,72000.0,21.73,11.49,WV
12800.0,60000.0,30.98,12.49,WV
33000.0,98000.0,18.05,21.00,WV
18000.0,46600.0,30.72,20.49,WV
13000.0,41750.0,29.48,7.26,WV
20400.0,68000.0,23.76,23.99,WV
6400.0,65000.0,20.61,6.92,WV
9550.0,53460.0,16.61,9.99,WV
17850.0,39720.0,20.48,10.15,WV
17000.0,85000.0,6.4,6.49,WV
11050.0,74130.0,0.31,13.98,WV
15000.0,78000.0,7.23,6.92,WV
10000.0,24000.0,11.45,7.12,WV
15000.0,55000.0,26.84,13.98,WV
8500.0,25000.0,28.94,10.16,WV
16000.0,45000.0,38.61,18.49,WV
6000.0,35000.0,30.69,9.99,WV
25000.0,60000.0,13.96,11.44,WV
12000.0,35000.0,9.16,7.26,WV
6400.0,53000.0,11.98,11.67,WV
25000.0,66000.0,15.76,16.55,WV
4200.0,53000.0,17.93,13.33,WV
20000.0,72000.0,7.87,11.53,WV
35000.0,75000.0,32.1,13.33,WV
12000.0,69000.0,32.31,12.29,WV
5000.0,30000.0,25.76,11.53,WV
10000.0,56000.0,7.69,9.17,WV
20000.0,66000.0,21.78,16.29,WV
16800.0,45000.0,13.68,14.33,WV
20000.0,150000.0,21.42,12.69,WV
12000.0,68000.0,31.47,14.65,WV
1750.0,9840.0,22.56,9.99,WV
10500.0,30000.0,25.92,24.50,WV
5000.0,66000.0,10.18,12.99,WV
19825.0,50000.0,27.17,21.49,WV
18000.0,90000.0,5.28,11.44,WV
16000.0,87000.0,23.06,10.64,WV
25000.0,75000.0,18.46,5.93,WV
12000.0,55000.0,26.9,7.69,WV
7000.0,22000.0,17.95,12.29,WV
19200.0,48000.0,21.48,16.99,WV
20000.0,77000.0,15.15,13.35,WV
20050.0,52000.0,21.26,18.24,WV
6000.0,52500.0,19.89,15.61,WV
18000.0,84700.0,13.25,13.99,WV
14700.0,49000.0,10.41,17.57,WV
17975.0,40000.0,23.91,14.99,WV
17000.0,45000.0,14.48,23.99,WV
22875.0,52000.0,28.23,19.99,WV
15000.0,125000.0,24.43,12.35,WV
22500.0,70000.0,22.65,18.85,WV
18000.0,89000.0,15.04,14.47,WV
11200.0,36000.0,29.2,8.39,WV
35000.0,102000.0,7.53,14.16,WV
5000.0,120000.0,12.91,15.41,WV
17500.0,75467.0,16.6,11.67,WV
12250.0,35000.0,30.97,16.99,WV
6200.0,44000.0,13.25,13.11,WV
