amnt,income,dti,rate,state
3000.0,108000.0,18.04,11.36,WY
4500.0,15612.0,28.44,12.29,WY
6000.0,32124.0,9.15,16.77,WY
10000.0,107000.0,12.05,15.61,WY
22000.0,86000.0,16.98,19.99,WY
12300.0,28000.0,20.62,13.98,WY
25000.0,50000.0,32.96,17.57,WY
14000.0,42099.0,18.79,11.53,WY
7000.0,35000.0,15.91,7.26,WY
12000.0,68000.0,7.11,12.12,WY
20000.0,80000.0,10.37,7.12,WY
20000.0,55000.0,28.23,11.99,WY
10500.0,45396.0,5.17,17.86,WY
33000.0,90000.0,34.7,18.92,WY
12700.0,70000.0,29.56,21.67,WY
17625.0,42000.0,31.52,12.29,WY
18000.0,96000.0,25.63,9.49,WY
15000.0,58000.0,11.28,10.25,WY
6000.0,25000.0,27.33,11.67,WY
30000.0,121800.0,26.43,17.57,WY
10800.0,115500.0,24.8,7.90,WY
20000.0,90000.0,22.24,10.16,WY
25450.0,60000.0,10.68,15.61,WY
9000.0,80000.0,18.34,12.39,WY
5800.0,59400.0,11.37,12.99,WY
15000.0,88000.0,10.0,16.49,WY
21000.0,80000.0,26.28,8.18,WY
12000.0,50000.0,12.57,13.11,WY
10000.0,40800.0,12.71,10.99,WY
1800.0,27204.0,1.46,7.74,WY
14000.0,95000.0,10.28,15.31,WY
15000.0,105000.0,19.44,16.29,WY
10800.0,65000.0,29.06,9.49,WY
8625.0,54000.0,9.0,7.89,WY
13950.0,40320.0,25.24,13.66,WY
18000.0,80000.0,13.35,12.29,WY
12000.0,38000.0,7.83,9.67,WY
22200.0,80000.0,13.59,11.99,WY
3000.0,74000.0,36.83,8.18,WY
24000.0,168000.0,23.38,18.55,WY
19425.0,55000.0,34.45,16.99,WY
15000.0,90000.0,19.49,10.99,WY
26450.0,58000.0,28.51,20.49,WY
15000.0,35000.0,29.25,18.54,WY
10550.0,30000.0,5.52,13.99,WY
7975.0,30000.0,24.44,19.47,WY
20000.0,60000.0,22.72,6.24,WY
31200.0,75000.0,34.73,22.45,WY
25000.0,110000.0,5.86,13.65,WY
16800.0,70000.0,22.78,14.49,WY
12000.0,46000.0,25.18,12.05,WY
24000.0,72300.0,14.41,19.19,WY
16000.0,57200.0,23.75,9.99,WY
20000.0,99000.0,28.28,16.55,WY
35000.0,144000.0,20.63,19.99,WY
7200.0,48120.84,13.77,7.51,WY
13000.0,85000.0,28.84,14.65,WY
8400.0,42240.0,17.13,13.98,WY
4000.0,40000.0,23.64,15.59,WY
15000.0,55000.0,5.67,10.99,WY
13400.0,70000.0,21.55,12.49,WY
13800.0,50000.0,12.27,15.41,WY
4000.0,47229.0,19.09,12.69,WY
9500.0,29760.0,39.84,11.53,WY
3025.0,60000.0,23.46,11.14,WY
30000.0,58854.0,20.33,15.31,WY
10600.0,60000.0,20.26,14.65,WY
10000.0,94000.0,25.39,13.67,WY
9600.0,55000.0,3.71,13.99,WY
3000.0,45000.0,7.44,7.05,WY
28000.0,100000.0,22.09,5.32,WY
20000.0,92000.0,6.69,11.55,WY
25000.0,84000.0,26.96,10.99,WY
6000.0,33996.0,24.71,12.53,WY
13325.0,29000.0,21.4,14.48,WY
20550.0,46000.0,17.4,24.08,WY
8000.0,28800.0,31.75,13.67,WY
14400.0,62000.0,26.21,11.53,WY
