date,Northeast,Central,Southeast,Mid-Atlantic,Northwest,South,Southwest
Jun-2007,19.672,4.054,5.714,6.061,0.0,5.263,4.545
Jul-2007,35.0,15.278,26.866,13.846,14.286,0.0,8.333
Aug-2007,36.923,20.0,35.0,23.913,25.0,0.0,11.905
Sep-2007,20.93,9.091,11.268,13.636,5.556,4.167,4.878
Oct-2007,12.346,6.699,10.582,15.138,5.714,8.974,4.688
Nov-2007,12.757,3.321,8.191,8.834,8.0,5.405,6.566
Dec-2007,18.561,6.316,10.432,10.511,8.861,3.846,5.674
Jan-2008,10.25,6.446,10.714,9.05,8.28,8.602,12.073
Feb-2008,12.977,10.0,9.544,12.472,16.304,11.2,19.324
Mar-2008,15.618,8.06,11.528,12.121,14.894,10.127,15.5
Apr-2008,12.203,6.583,8.023,7.35,13.265,3.247,11.698
May-2008,6.061,6.615,7.143,9.709,8.333,10.204,14.881
Jun-2008,7.692,8.127,4.412,10.0,15.789,5.405,13.165
Jul-2008,12.583,10.448,12.5,14.019,6.977,11.765,9.798
Aug-2008,10.656,6.464,7.031,9.426,0.0,5.172,10.057
Sep-2008,10.204,4.225,8.73,6.098,0.0,4.839,5.344
Oct-2008,5.952,3.425,8.791,5.721,7.292,3.333,5.667
Nov-2008,7.627,6.687,5.292,5.374,5.926,4.321,7.975
Dec-2008,9.552,8.438,8.287,7.371,5.213,7.006,8.913
Jan-2009,9.186,7.568,7.05,6.349,8.759,12.727,12.099
Feb-2009,14.912,7.048,7.931,14.575,10.112,11.215,13.102
Mar-2009,10.526,4.492,7.709,8.707,8.276,5.699,9.341
Apr-2009,7.057,5.887,5.008,7.081,4.902,3.135,7.335
May-2009,7.328,4.417,5.106,6.654,5.6,1.362,7.156
Jun-2009,9.37,4.605,5.475,6.104,7.522,3.865,6.659
Jul-2009,8.398,6.173,7.618,9.395,7.821,6.939,8.31
Aug-2009,13.249,9.169,9.98,9.148,11.268,8.824,11.343
Sep-2009,12.055,8.036,10.016,9.472,7.5,4.911,11.135
Oct-2009,14.307,13.517,11.964,13.466,13.208,9.045,14.366
Nov-2009,16.721,11.995,13.718,14.824,13.043,8.108,17.152
Dec-2009,19.441,11.058,13.996,12.192,16.76,7.143,15.72
Jan-2010,14.828,10.267,10.106,11.798,14.607,10.849,13.532
Feb-2010,13.69,10.097,14.184,13.025,11.65,7.826,14.352
Mar-2010,14.583,9.125,11.953,11.409,11.245,6.333,12.16
Apr-2010,15.143,11.069,10.045,12.236,14.523,8.455,13.106
May-2010,10.585,8.463,8.902,10.227,12.375,6.813,10.826
Jun-2010,9.541,7.968,9.615,10.658,8.895,4.602,9.799
Jul-2010,11.264,7.859,8.596,10.303,13.462,7.155,10.026
Aug-2010,12.06,7.872,9.43,9.378,9.333,7.757,10.472
Sep-2010,12.886,8.204,8.121,10.267,10.364,6.791,10.965
Oct-2010,12.63,8.3,9.493,10.325,8.505,7.335,11.224
